protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all
A2M	-20.4224824017825	21.6195902195924	17.2950564455439	-1.73109193660064	19.1643599813685	15.4305403301369	-6.13513989956226	20.8492515274003	16.8391877501535
ABL1	-2.69866562827519	19.909940616568	15.7026156352808	-34.2018911934007	21.5481855789139	16.9521086957136	-14.7094880527727	21.3258748507978	17.1335051267094
ABL2	-4.62161519902437	21.1437913448308	17.0649420379118	-4.96038705377007	20.046245661457	15.6712880400165	-5.6823686539188	21.0151702767019	16.683273041495
ACAN	-25.2503163324599	21.7610917364866	17.2509335500025	-54.777420185967	22.2025394187793	17.1366898341636	-43.2834449308069	22.0410663582607	17.4050698945452
ACE2	-13.1517196870435	21.3773477043969	17.2773673701297	-6.18741796407343	21.259933679597	16.4205215864114	-6.58070366738921	21.3626991233941	16.9627477107409
ACP1	-19.7303238685814	21.6392789643019	17.1908088335996	-11.0239748893316	21.6323857645032	16.483447555589	-28.5866423731862	22.0037499844239	17.2390717767
ACP5	-15.4906906935358	21.9401882703589	17.3996136397133	-16.0167708759135	21.2265727151309	16.7533147319239	-14.7444937903203	21.8141512813951	17.3122924653094
ACVR1B	-5.87407207578631	20.7714376316641	16.8815719002436	-6.87146209590893	20.0681038220731	16.2950350631813	-5.54392780324564	20.1993083903428	16.6327786151972
ACVRL1	-12.5668811207921	21.5305205203278	17.312209580992	-5.02395570444779	21.534539151474	16.2896628013595	-17.9150749539025	21.6475895363454	17.3260815669747
ACY1	-0.873768707134472	18.1055873244727	13.4530213409311	-8.80187905598203	22.234734095874	16.4166338268934	-3.13852823491101	20.8583035104642	15.4107658358178
ADAM12	-7.29756796932446	20.474388004069	16.7253772176307	-19.7194998034541	21.4714025272775	16.7389378913879	-7.16676109507363	20.8523285264185	16.8830030029197
ADAM9	-16.418155839811	21.9619066155083	17.2362181088394	-105.363925917847	22.1043532570118	17.214859936454	-36.6306996611766	21.9672973054724	17.4543477252805
ADAMTS1	-9.58834657100235	20.8604362003379	17.0498549815059	-15.3314108248515	21.7838170617128	17.0373474978276	-14.4775996269303	21.5269525551011	17.2842054781033
ADAMTS13	0.287131112255192	14.2434111270293	11.2032449752106	0.0300918077604641	15.8962218006814	11.5438777658701	0.0683618003825398	15.1249105211494	11.5641796705196
ADAMTS15	-3.57137637365992	19.5482746783216	16.393441117861	-3.73224184483061	19.7968254386493	15.5949663441366	-4.36159933418817	20.2414483353147	16.4686140404222
ADAMTS4	-0.549957727519907	17.3478453860841	14.3171755788294	-5.86640735379164	19.9644826099361	16.2017664226057	-1.37909091290289	18.7309880589801	15.5385856018497
ADAMTS5	0.539940817838315	13.472082182166	9.92244404767407	-0.176965318990074	17.7045718715032	12.3425868486217	0.261282424218005	16.0824034345209	11.1316217348134
ADCYAP1	-32.3153825909732	21.8941318616394	17.6622901640087	-48.9757531898874	22.0745085073659	16.9836758189446	-56.6942680590036	22.2090126648696	17.5504732010461
ADCYAP1.1	-6.19206663070971	20.5471125919033	16.4439987819485	-11.5828037919015	21.2273865471561	16.3220952372617	-8.39792206766421	21.235535451768	16.714306943078
ADGRE2	-15.0701290391191	21.2787032156236	17.1721834765967	-12.4760285374664	21.8595281123425	16.8164608725226	-43.4938073553014	22.0935963286688	17.5637820203733
ADGRG5	-32.3695515979709	21.7319128643406	17.5204351527585	-13.2746547761871	21.014620008122	16.769609499857	-22.7230373089568	21.5286182218853	17.376100268171
ADIPOQ	-1.72082847056795	18.4896027390744	14.4324820117357	-3.97008180171877	20.8743668263165	15.4503971370382	-4.19034291612812	20.6281980572364	15.9008584518194
ADM	-11.016155443261	22.189977252877	17.4850964512511	-11.6249004953802	21.0860921823429	16.3429255329076	-13.9247742225798	21.6655476756121	17.0604081680557
