protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ACVRL1 ACY1	-1.16642545394354	18.0342223194711	13.4594922078893	-4.49731228401937	20.8265159754547	15.0025105629955	-2.49956015746815	20.0901545196406	14.8913891018642	-2.7444426764793	19.6972985964993	14.6002109414598
ACVRL1 ADAM12	-8.76346796913806	20.3870206837056	16.3088242358611	-2.5013763484682	19.7796937363666	14.6414071184602	-5.72986511112559	20.4459844772945	16.3170196762902	-5.67683695473624	20.3145130414562	15.8325961903404
ACVRL1 ADAM9	-8.64337625234931	21.1029296890113	16.6744855663216	-8.85546182561902	21.301833609791	16.1778473915454	-13.5082535786046	21.4284998473016	16.8495642568097	-10.1473126554175	21.2637450472956	16.6303735841019
ACVRL1 ADAMTS1	-7.33426497025558	20.3516121639592	16.2674426199151	-3.07139482759288	20.0023814603004	15.015336881703	-3.71674068513942	20.2969895948467	16.0009647842418	-5.05496535178381	20.4061984778539	15.9552442165026
ACVRL1 ADAMTS13	0.269126822526817	13.9190785927345	10.7501748565168	0.0802577516275566	14.6029755410377	10.0579174853439	0.122623951292831	14.661339115234	11.0435677326633	0.145061219211284	14.5929663956652	10.6684568580833
ACVRL1 ADAMTS15	-2.1833749004807	19.329868213359	15.4996829390498	-2.39568909675954	18.9849565833498	14.8256436697754	-3.1181956175331	19.5874425299212	15.9712504516586	-2.85333807943566	19.3309444684006	15.6208367034189
ACVRL1 ADAMTS4	-0.719548702939108	17.1842341628669	13.8399242223081	-2.67443248510095	19.1528508075597	14.8386572262794	-0.984130778552325	18.5462461528585	14.8615609443589	-1.21069530674525	18.3930496517824	14.6780559340606
ACVRL1 ADAMTS5	0.487190394588771	12.7540571082563	9.64759567565829	-0.0671310891862307	16.3561285692346	11.2725897228407	0.269700796873207	15.6234516619133	10.7887555962796	0.230642916476733	14.9760144450644	10.8207370377247
ACVRL1 ADCYAP1	-6.59361029465152	19.7171294130678	15.9005689906528	-6.16396787378665	21.2284864156822	15.9404446037717	-8.88345985436744	21.0674414557789	16.6438168774789	-9.98045859045056	21.0543825076094	16.5643500976812
ACVRL1 ADCYAP1.1	-3.62954153271096	19.5940116591559	15.4558587583615	-4.01047207714496	20.5425688069699	15.6092337813627	-3.92723278508472	20.5222862713107	16.0912968979385	-4.44109752962419	20.2619784680724	15.8228036726674
ACVRL1 ADGRE2	-6.28545569849683	19.9950164692069	16.4035423552471	-3.62556268283096	20.4758718395273	15.7705154814342	-5.64140123326439	20.8527746747394	16.6856704509107	-6.74999045835884	20.655300993516	16.5829416466375
ACVRL1 ADGRG5	-12.1291200815563	21.0950239214208	16.891625209815	-2.07450706604354	19.5942676752045	14.5346969452805	-4.88060028397133	20.6419331215739	16.19959850917	-5.40473020968068	20.4671670341582	15.9869675736422
ACVRL1 ADIPOQ	-1.28696408831698	17.9740645583253	13.3939598014256	-3.64005607931681	20.1808573509732	15.147249666251	-2.97465648369766	19.7874343232048	15.0185632146123	-2.77499636033137	19.3731490918502	14.6617683109979
ACVRL1 ADM	-4.84822274994339	20.7334132134125	15.8054492739212	-7.38203823018083	20.092266870435	14.9613564839047	-5.55385451093315	20.910204509708	16.162016296792	-6.86904671842216	20.8560032743397	15.9877334962695
ACVRL1 ADRBK1	-3.50716804094883	20.0582224524154	15.743504279902	-4.66621849199021	20.0750224050358	15.1231087615217	-6.26751205425859	21.0755115921936	16.3838020038914	-3.99131767620915	20.444685737851	15.7538654110683
