protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ACY1 ADAM12	-0.94210518560522	17.8600363062364	13.2538747836735	-3.78547072610223	20.5543087493812	14.6385423714689	-1.34203420657072	19.995935614891	14.4307411647507	-2.43005234954226	19.7331648042851	14.3961912421718
ACY1 ADAM9	-1.40855283262381	18.2120721262103	13.4836941089616	-10.0550030275885	21.4209573121417	15.8366023322437	-3.36475013262362	20.6899971370127	15.3856067882322	-3.50403268699303	20.3091383628276	15.0050326264997
ACY1 ADAMTS1	-1.15111215482612	18.0776176001826	13.3726372838835	-3.60628155675782	21.7329527793635	15.2566710362851	-2.33539205611907	20.3232185741386	14.7745273709021	-2.56648767070461	20.1406693479804	14.705587105818
ACY1 ADAMTS13	0.438958963507047	13.2338172695257	9.84690608804334	0.148659363341547	14.7998770768037	10.3197180584032	0.165985949102905	14.6711488107501	10.7018402106854	0.268268135064857	14.3172308179286	10.2631035681016
ACY1 ADAMTS15	-0.346062266830139	17.115926595242	12.8893757543402	-1.87643874896095	19.1442463404638	13.9074581204274	-0.925601169115706	19.091192222986	14.0252878344545	-0.942444671931535	18.4509023896167	13.7749134666992
ACY1 ADAMTS4	0.0503456467214363	15.5382562926071	11.110364950886	-1.44533376747871	18.4462066321274	13.4085143222868	-0.539896007120341	17.8047232015183	12.9961668269741	-0.546259838280483	17.5602108802899	12.8074832007277
ACY1 ADAMTS5	0.577450259123969	12.5700209789916	8.860859523083	-0.301666938518947	16.7592455420292	11.698466961213	0.257133332762445	15.2962435541069	10.4838142429125	0.243028904456148	15.1621417200179	10.5496783365748
ACY1 ADCYAP1	-1.21056337604476	18.1788181747214	13.1831721233501	-6.70024667451979	21.4104303854302	15.4898474269437	-3.08181192931998	20.4032092060398	15.0522776220024	-3.26447421103143	20.1030013263666	14.8518202100775
ACY1 ADCYAP1.1	-0.736531195564587	17.623831077898	12.6526058585927	-5.25558271999632	20.4025398198033	15.1099808481939	-1.94022492095865	20.0618160463621	14.6372265996463	-1.92196688672877	19.4340077954648	14.1838632482985
ACY1 ADGRE2	-1.13127044979869	17.9139911019758	13.4100563010489	-7.0331695085383	21.5496962197987	15.7497190497677	-2.92521406272302	20.8422828222715	15.2278574331935	-2.87354776692622	19.9546469301197	14.8386835214333
ACY1 ADGRG5	-1.24615515230983	17.8735537779266	13.4115646987943	-2.59822312406176	20.3335032158368	14.3454583131073	-1.768926350209	19.7057726484188	14.2103516280067	-2.16855847234276	19.3877499321063	14.1547432816379
