protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ADGRE2 ADGRG5	-7.45492438308466	20.7806429532823	16.4048911066202	-5.25158925238697	20.1192635688431	15.5606447198932	-14.6286968565335	21.2147081682175	16.6790843489506	-7.72061963418402	20.7896968468033	16.4054929872224
ADGRE2 ADIPOQ	-0.653503788951482	17.3469264748198	13.0682858568354	-2.27705463320809	20.1017107573651	14.7570541797018	-3.6097845040776	19.8876909654728	15.1696251947807	-1.74113694580329	19.124798150773	14.3832003526078
ADGRE2 ADM	-5.22120595881246	19.509606186999	15.5859854277529	-5.56933481240104	20.7752547636003	15.5283564184238	-8.87895706603612	20.7164997106896	16.1923414173081	-8.41692942848517	20.8838156063239	16.2484018773132
ADGRE2 ADRBK1	-3.68601524514863	19.9841869935277	15.4682084000154	-4.94986373419898	20.0058713544365	15.0827471554774	-6.60372794609777	20.5441391768617	15.8246091279731	-5.53933989260403	20.3087399223882	15.8055110382174
ADGRE2 ADSL	-3.1698917666923	19.3012009531121	15.1998452094074	-5.83004518470477	20.7068934823321	15.3788119875142	-8.89581427254824	20.775382017044	16.1705684208769	-6.75850283036772	20.5854659214563	16.0023944568898
ADGRE2 AFM	-2.14797773725851	18.5897086342514	14.6123671608407	-3.17035445907134	20.7889376685906	14.3733659418351	-3.11798153594247	20.2042480384494	14.7954789809313	-3.03740002720329	20.0818246353807	14.9078860195628
ADGRE2 AFP	-10.3603947320193	20.6846175246214	16.5894811369708	-5.51372825091369	19.9336190696362	15.6503879091994	-14.6647439449117	20.9988158073381	16.646538800395	-12.4406899439072	20.7743777887797	16.6607734483024
ADGRE2 AGER	-3.76443219910471	19.8813672614495	15.3918969883491	-10.1687799842218	20.8688290015961	15.8676848602638	-17.3696277961987	21.534415211938	16.8515698174015	-7.8849756468177	20.8456700847782	16.2859004720414
ADGRE2 AGR2	-6.7354788669668	21.1282597889589	16.7103533567655	-4.25066427158678	19.5657830819679	14.7601191752698	-11.9083891708289	20.8566486307294	16.6137562147639	-6.77925395569878	20.6168108542714	16.0430600886551
ADGRE2 AGRP	-3.01260072291944	20.2960140699788	15.249078782852	-13.1759722244668	20.6162894865141	16.1572810212536	-7.18459896567934	22.0471854013135	16.764739128033	-8.54772257706408	20.8283857501002	16.2668110309002
ADGRE2 AGT	-9.42956096079072	20.5665462388775	16.3594209366423	-5.57843568031572	21.2552012267486	15.5279116566957	-10.3383238306027	21.4234984148826	16.5108434126328	-10.0271886456154	21.350191822187	16.4655364001125
ADGRE2 AHSG	-2.21284349107005	18.7399534698859	14.4322961371489	-0.579394610813601	16.8815031258018	12.5896136318958	-2.40886130671754	18.8957430686308	14.5065631108968	-1.54914049298843	18.2141825732728	13.8806089149468
ADGRE2 AIF1	-5.37935147942837	20.0251664240977	15.8879317615905	-3.59653474671915	19.4592101767328	15.3626389983475	-8.06360445035475	20.6981277235063	16.3474491584887	-5.65886137048709	20.1855391319604	16.1073879867668
ADGRE2 AIMP1	-2.04054329813876	18.868962732478	14.9842643745262	-2.55340415292564	19.7191592024001	14.4288384535875	-2.90208330162544	19.9899192432056	15.1984466242729	-2.73643323014031	19.770362572307	15.111322337809
ADGRE2 AIP	-5.6598183498238	20.237119585966	15.7142819529392	-2.75116155213809	19.9852836948416	14.8402887201114	-5.3821399392698	20.8915329548349	15.7984945160151	-4.73558346532773	20.4912676953627	15.7507077218213
ADGRE2 AK1	-3.65589989410564	19.5274297506465	15.5467856766571	-2.60186349090353	19.1108152721397	14.4490448893723	-3.63175032443465	19.703276354947	15.610860764692	-3.71291193917446	19.6753325284845	15.5424690735974
ADGRE2 AKR1A1	-4.2870724252516	20.1849078405608	15.8973498712772	-1.57131505987755	18.3900942476104	14.062208838393	-3.32350241123563	19.9173082485107	15.4738649839431	-3.27899710590741	19.6405316229546	15.4135014395244
ADGRE2 AKR7A2	-6.50388921444213	20.0477287095089	15.6287883302133	-2.65567463940542	19.4735363354147	14.7073090779535	-5.45025238068515	20.5127183514101	15.8016073357858	-5.29956099868662	20.1259873656969	15.7533473001748
ADGRE2 AKT1.AKT2.AKT3	-7.40724613437623	20.2379390994258	16.1675305692667	-6.11612481913999	20.486915036451	15.5484344858234	-9.78136208375049	20.8574990479703	16.2357994315144	-8.14637365034329	20.6733298815016	16.2399734182862
ADGRE2 AKT2	-5.99251009618044	19.8254234580846	15.6871888181687	-5.85886669482773	20.4921044689159	15.2604419013953	-6.41551891499629	20.8541909106445	16.0145975157986	-8.0547874924208	20.6523532866883	16.0353528464548
ADGRE2 ALB	-4.04826715497745	20.0461715136632	15.867391335894	-8.92859289359127	21.3590711951894	15.9687200408438	-36.2046254052071	21.7577404158847	17.1975361559616	-9.71166961983156	21.0103835542565	16.3845946649281
ADGRE2 ALCAM	-2.72881244885061	19.0844868400888	14.8508664301288	-4.70972355445696	20.8725099364582	15.291869000908	-16.252860673747	21.1343571927195	16.6519962648097	-5.39386562599913	20.6572049137401	15.8150560967576
ADGRE2 ALDOA	-2.39083579781707	18.8468123558995	15.0081887413672	-5.25452391232354	20.1626287157278	15.5679766196507	-7.65136503521657	20.7298556922682	16.2553419325063	-5.38483238603593	19.9945240503118	15.8358122249742
ADGRE2 AMH	-6.67363568910251	20.5478536955036	16.1739162126536	-5.86816895137278	20.5600993755115	15.4616663106059	-13.0631481018759	21.6932411812222	16.8981018972954	-7.57120418041468	20.8522221254756	16.2258088400512
ADGRE2 AMICA1	-12.3286795620639	20.8022049464206	16.6169319450092	-7.32618742615542	21.4540651524058	16.0726253989326	-17.3506831327461	21.2979916811263	16.9071284987529	-11.9324875530561	21.4246350777728	16.7151335213547
ADGRE2 AMIGO2	-4.41411633740685	20.7439866169184	16.2699500394414	-9.82183231798805	21.3268587265641	15.828258358488	-10.2763462119394	21.7557441084638	16.7468169532989	-9.33073949467344	21.2764036719347	16.5317469106707
ADGRE2 AMN	-3.29446102940943	19.0865138936787	15.0847562606132	-10.5745692594707	20.7462476846557	15.9329932827376	-7.36792773732012	20.4335301915132	16.056272473441	-9.07180052457344	20.5944202875567	16.3482263532999
ADGRE2 ANG	-6.81872137024193	20.3858704391495	16.0795953420599	-4.09678311934949	20.6829231750931	15.4324653900874	-10.470371294625	21.3175038351473	16.7195103373962	-6.2428703651619	20.9760200221511	16.266115016685
ADGRE2 ANGPT1	-5.44841104173928	19.8397049496848	16.2333017633	-2.11081529016098	18.5787377828587	14.1231635007062	-4.27534043241871	20.1211444317531	15.9195044676153	-4.27711815254953	19.7114404825726	15.7298225217332
ADGRE2 ANGPT2	-0.36179566395668	16.9261737063049	12.0755268998298	-2.28271925212114	20.2376464439424	14.2557473141276	-1.25556160082229	19.361224429705	13.9487855358559	-0.969351437578455	18.9401863197175	13.584125888808
ADGRE2 ANGPT4	-1.29930280505917	18.2408349221243	14.6480336256131	-1.89178042079967	18.9614665509781	14.7295700502634	-3.05066319765155	19.0714197670789	15.3275947010959	-3.41761999538743	19.2595255349062	15.4836221866638
ADGRE2 ANGPTL3	-2.15822702453375	18.8015046734115	14.8866726134662	-6.0311900945076	20.2347304018319	15.4183405067888	-7.86064945626923	20.3622017571198	16.331856751638	-5.42459899259187	20.038526609266	15.7870461309899
ADGRE2 ANGPTL4	-0.703649023954481	18.7845010194284	14.0018931165358	-3.87387305593428	19.4234564411982	14.6732700123226	-3.00431941689321	19.801207341063	15.7586084936902	-1.83734941421027	19.3328783253691	14.8150500403549
ADGRE2 ANK2	-9.49557724779045	20.5051907842889	16.5384455255113	-5.62714772472649	20.9513114853719	15.683100901636	-14.661773444485	21.0308804963313	16.7508840107312	-11.3813128749511	20.916946596147	16.5663731974929
ADGRE2 ANP32B	-0.608685987596116	16.901481652839	13.422404552457	-5.52380259091593	20.3665037882504	15.316744299377	-2.12166599929234	20.0976974488699	15.8361983811806	-2.003434311193	19.0799797284695	14.8657007318495
ADGRE2 ANXA1	-4.9657453627946	20.3130500938628	16.2029137358032	-3.06235237664134	19.8451230968023	14.9970019325337	-6.74132321980519	20.7185670795665	16.4870535964062	-5.66649887251584	20.255180686795	16.0946361444053
ADGRE2 ANXA2	-4.55524198763361	20.6462394081668	15.9456142281334	-3.46591669182246	20.0025891757299	14.8866097401415	-6.51233452894874	21.1909090959343	16.3160805337887	-5.11117682087812	20.6870032284029	15.9112869612156
ADGRE2 ANXA5	-9.71326532507775	21.0556327489565	16.6053707275845	-8.63499413636486	20.9752198167889	15.917440474771	-14.5086310861646	21.5347788868026	16.7951106898273	-11.4894256776868	21.3479892473001	16.6581369805109
ADGRE2 ANXA6	-4.44320110679756	20.2158787260987	15.9901975032498	-5.19499686913325	20.4128268691551	15.4061146308455	-8.54780148186581	21.1366350672923	16.6406529954377	-5.30733267476351	20.5454913678217	16.0237414140947
ADGRE2 APCS	-3.49928351753803	20.2869856443555	15.3143455927083	-4.31357303586027	20.2834790199644	15.4411132316221	-7.97541324064523	20.8044280666915	16.2030629363068	-4.29190367055558	20.5865188909953	15.6986259224601
ADGRE2 APOA1	-0.8683439008228	17.7343332100218	12.5648246535758	-1.79072478629931	20.5135754214543	13.8643794239915	-1.49285721190616	19.4453694373989	13.4139820577735	-1.3484058817719	19.5121502217671	13.3998767513806
