protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
AFM AFP	-2.64487537807888	19.9701413217039	15.0273550085914	-2.92959287012422	19.2925706881709	14.0625796238921	-2.2477002920773	19.8429837633948	14.7066662359148	-2.76794022840062	19.8003285225337	14.862835491167
AFM AGER	-1.95673169015686	18.7347336891409	13.8707221859315	-5.59618867775474	20.8255519411596	15.3705380919612	-3.30112317654186	20.7426171777643	15.4873228274977	-3.33410013197761	20.2837908492185	15.2491583769178
AFM AGR2	-1.94522304646506	19.1304729968293	14.417794268397	-1.5816997467597	18.5172215737947	13.5874154261426	-1.49591979008394	19.1660153497665	14.4841355585976	-2.06966292541984	18.9604536746999	14.404941271121
AFM AGRP	-2.41138677198925	20.2809173433554	14.8104672152033	-3.2500897950127	19.1106944720488	14.1528306873873	-2.01191292368915	19.902269456527	15.0242505627148	-2.70833638362035	19.8027206705393	15.0257015164543
AFM AGT	-1.70539216193568	19.0422937308331	14.2920515958021	-3.71707983823193	20.6051914423954	14.6741028345987	-2.70927767673999	20.5978387217328	15.191479472971	-2.48909039813496	20.2486293039814	14.9829757557642
AFM AHSG	-1.42986096764538	19.1553013211868	13.7987157214666	-0.628357393858327	16.8560767672545	12.7036222063148	-1.33908639959921	18.6479808093883	13.7712968490187	-1.1711886079044	18.5136352925428	13.6425377189816
AFM AIF1	-1.73812087901892	18.4026266496066	14.2935267617033	-0.970096695487861	17.9655185711879	12.8883806171593	-1.00928923631924	18.7091260932363	13.8606785423117	-1.26865324040975	18.4598345386441	13.9773704513472
AFM AIMP1	-1.47015938593259	18.4888548493258	13.8287919018415	-1.61686142581789	19.5853889522301	13.2207952507291	-1.45107135688116	19.2505926632279	13.8061408941812	-1.66208314925707	19.2678335749158	13.8247438380642
AFM AIP	-1.44339924054975	19.4715885378457	13.7530467767196	-1.91053865795562	19.4654063401821	13.6959503428072	-3.01730966446921	20.379177183316	15.2737012336558	-1.67653725783182	19.7809328717887	14.1063948325982
AFM AK1	-1.1854700156944	17.7936057961087	14.171502651322	-1.51066423883814	18.132417441538	12.9010508952113	-1.58166661252097	18.7411675708081	14.2842754010506	-1.43397908860533	18.4700096561391	14.0670932480525
