protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
AGT AHSG	-3.07845238144399	19.9644479299869	14.9191903527085	-2.47568557234476	18.4664011119127	14.5168385134548	-2.66514733711925	19.345965475614	14.7278607455621	-3.07499249175048	19.4168001524896	14.9650337832135
AGT AIF1	-5.58660257381946	19.988270615071	16.2375119900844	-5.31252704896572	19.9646996260364	15.3755478677834	-7.20864603468148	20.5817424726519	16.471242083543	-4.90778682086808	20.2144122105211	16.0817544560703
AGT AIMP1	-2.26443203715527	19.4555826591994	15.0488642064307	-3.3570521763654	19.4428430936098	14.4815498088304	-2.80081051564807	19.8188175140583	15.1803302450386	-2.826303536118	19.7645994282351	15.16939561087
AGT AIP	-5.47197979770667	21.1455164942057	15.9963013101734	-2.72116168888229	20.4622116951125	14.4117043016933	-8.61516231680942	21.3059748290865	16.3390688790768	-4.90347982725171	21.0244486843041	15.6320297976352
AGT AK1	-6.47420823447375	20.2385775120531	16.1547942149207	-3.6371860316146	19.5032330398622	14.8937457670616	-4.73033354763848	20.4007266052069	15.914205402332	-5.88942260213314	20.1989553210089	15.9377201346791
AGT AKR1A1	-7.95052571856402	21.3095764519202	16.8968975321988	-1.43820802514916	18.0875791856212	13.8096861079362	-3.29006465829626	20.0807063620142	15.6923159225244	-3.72377461947649	20.0989873265537	15.6615799261198
AGT AKR7A2	-3.51054939557118	20.9952977206048	15.0521177407966	-2.62812080409805	19.4488192550972	14.1089159763488	-4.88281208848277	20.962247159721	15.7698999090654	-3.81118892465566	20.4468461051859	15.0639308127565
AGT AKT1.AKT2.AKT3	-4.58544683992328	20.9877450825409	16.133673974643	-5.63650654963213	20.3107134852119	14.9856956969318	-13.958012005136	21.1392718004082	16.6294848183034	-7.53439628455682	20.9218307130064	16.062836480805
AGT AKT2	-4.89310032838984	21.2780213201118	15.8923717577034	-6.11826449687894	20.3181964593933	15.0049403322185	-9.42616851703261	21.0982422598897	16.3600937482631	-6.84030589158928	21.0203879816425	15.8059870697862
AGT ALB	-5.68363676622537	20.6974408070745	16.314474379178	-18.0062592910096	21.5343277831181	16.0775146117468	-27.2331236431372	21.6572514852064	16.8271860821771	-12.8329982890882	21.4897581222017	16.6361731123085
AGT ALCAM	-1.56936679868438	18.3342093530744	13.6335640451965	-7.0104697109145	21.480455920159	15.5403814815107	-7.44455964819978	20.8518609649979	15.9960261698115	-4.64619830281649	20.3399920979159	15.227619377055
AGT ALDOA	-3.61114988706778	19.5153942387483	15.6005034077477	-7.89494354321895	20.2246699091523	15.4230900021047	-9.54535614491627	20.7090274598283	16.1535987278645	-6.86951360094727	20.4255998105258	15.9493559911965
AGT AMH	-8.01538492998832	21.2841991142417	16.6500452863834	-6.76098950115771	20.6172161647907	15.1988384653416	-10.1034579995678	21.875362381303	16.5548467849552	-6.89768632490762	21.4754001702218	16.2805568098724
AGT AMICA1	-15.2305543008193	21.6367938621483	17.0593616922904	-16.3875769950955	20.7622407240068	15.9686340123865	-21.1244237073124	21.3671315099532	16.9750024954239	-26.0132594990331	21.6038533480603	17.0234092574851
AGT AMIGO2	-7.05359985823408	20.6839341570203	15.9633580886331	-9.99654975829064	21.6926416808616	16.0813038093223	-9.24146063759981	21.4091782418313	16.2210692075867	-11.1545188497451	21.2920782030259	16.4427464861197
AGT AMN	-5.06004627830129	20.5010261577574	15.8548902935047	-8.57127355823283	21.0938198097844	15.5082617437398	-10.1858127272191	21.206574146167	16.4060750198235	-7.72008557232751	21.0846800443242	16.1163192818467
AGT ANG	-7.91850229234248	21.0166326057862	16.385577804237	-9.79510439052681	21.2515991024611	15.9823856735973	-18.3588538980853	21.5322369682501	16.8986449104866	-9.55622940010643	21.3428947593719	16.6231933880962
AGT ANGPT1	-5.11457261715175	21.1644022293818	16.9336680912174	-2.96085924292152	19.6909825503994	14.661728799168	-11.4116559565314	20.917394642678	16.942865454079	-6.2768904294512	20.7279538435243	16.2808456923923
AGT ANGPT2	-0.414467647543161	16.8453222714094	12.3277534797523	-2.9584451700253	19.4561391506676	14.6578879410105	-1.33388537726016	18.7942003323301	14.1901287764905	-1.35819550869497	18.5141680802809	13.7840433694741
AGT ANGPT4	-3.2462507992726	19.1955450289877	15.7876364219745	-2.78760459804866	19.7543378168277	15.1234943749023	-3.04757159913866	19.9311746281107	15.94125441215	-4.32004219468868	19.9854088858635	15.9892183955591
AGT ANGPTL3	-6.54649845416925	19.9739162918182	16.0635507048511	-8.12072961874429	20.3864798781152	15.3987572315747	-7.46276078976233	20.5175704433411	16.3562039483837	-9.89880832721679	20.5413132087666	16.3130479219091
AGT ANGPTL4	-1.70947614119739	18.5040610389348	14.3515772057444	-4.98035942333088	19.7940277841009	15.3884906046513	-2.2268912889465	19.3985758406012	15.4385735528667	-2.5633629445166	19.4777350942002	15.3165666888598
AGT ANK2	-19.4819521925252	21.2176929467336	16.7758400451313	-15.6494647101565	21.030538964885	15.8804240313454	-15.7513556432797	20.9058691940859	16.6021322298441	-21.7882500272478	21.2829295350236	16.723109205075
AGT ANP32B	-0.643561426856372	16.8931160037686	13.9065546717887	-6.27388921195216	19.9313246303658	15.2181269698384	-3.10991030059391	20.03546560796	16.0944209665638	-2.69671594063421	19.0069912414292	15.1005466565392
AGT ANXA1	-9.5091225410716	21.0628758241852	16.5485950554143	-3.47384609501952	19.7684507034915	15.1514116350146	-4.64615494222497	20.6261678256934	16.161087979584	-5.52705965100377	20.6609314204036	16.1525273048969
AGT ANXA2	-7.23964483202813	20.5063039322347	16.0286701826108	-5.53161481539923	20.3692018007385	15.1212644766305	-6.26044476876936	20.7704822992579	15.9369760632669	-7.09302868853268	20.8289728155653	15.9942280928214
AGT ANXA5	-6.63742115290027	22.1013628546228	16.6480537885527	-10.1422622621814	20.9382753994708	15.6750791707073	-11.0735322503235	21.4702620768812	16.4740858803787	-11.9573150964055	21.5058769082011	16.5678668790382
AGT ANXA6	-5.17695583710743	21.5358184200378	16.4761552891538	-10.2945641785286	21.3301894245933	16.1853220617113	-29.5648108608842	21.8268068254528	17.29726273363	-11.135378705469	21.7397161042295	16.8678547022893
AGT APCS	-6.07145690484664	20.3469436923302	15.6819477559854	-5.14529880891217	20.4369278274897	15.2018647191302	-8.68607834027967	21.1522770529768	16.4102143339509	-5.70351662461097	20.8953628192005	15.8924518246421
AGT APOA1	-0.931339595119458	17.9919411843646	12.7357090058836	-1.92324431969256	20.6165015367724	13.7931472053444	-1.25141752409052	19.4740410487685	13.4858720558757	-1.37628978887189	19.5583419455222	13.4670509877721
AGT APOB	-9.49759537723162	21.2525482022054	16.7623674441693	-10.3517861127811	21.5471177817539	15.7797204442816	-11.3239323023827	21.6467350994385	16.5488055975481	-14.1578342192604	21.7021122949191	16.660486422254
AGT APOD	-20.7687727411183	21.3547940957815	17.394425297289	-12.5685349495988	21.2851247848154	16.0587718662075	-21.4277940288119	21.9099739524212	17.2694193804487	-25.4244038431967	21.6259452473148	17.0128987914751
AGT APOE	-4.15147639117815	20.362421983697	15.2048426430674	-13.6784470494174	21.1610719113422	15.7650804650694	-9.32444818600803	21.124391338227	16.2355261704287	-8.29026238245572	21.0256006920688	15.8728388032887
AGT APOE.1	-3.52064650038864	20.5028319634423	15.3620487577857	-13.0856494416188	21.3886769116068	15.9336649820297	-4.96262038497215	20.9572828748835	15.826160681109	-7.40650267015488	21.1169165486245	15.9681288730211
AGT APOE.2	-2.53787674065708	20.2194476435022	14.9141738228137	-14.8096583106015	20.9890304142191	15.9132107557358	-3.52771923745443	20.7420055331508	15.6782347104557	-4.90835580418534	20.8096478353699	15.6365823243393
AGT APOE.3	-4.43490075142972	20.7512826314251	15.864516905789	-6.11368445176165	20.632333795334	15.7037658157436	-6.53109390515662	20.6523978632938	16.1932932148267	-6.68949385931857	20.8238697012877	16.1080117080028
AGT APOL1	0.0762255139681093	14.5597537338968	11.6231871800783	-1.45759069321945	18.270447388458	13.4317846038081	-0.650008169068842	17.2119247751371	13.1499221114047	-0.553358623665185	16.9009597824166	12.884761685721
AGT APOM	-9.96853480694578	21.1511204631545	16.4334880493194	-5.64338993208793	20.1809008923599	14.8891224248539	-8.76659693788509	21.1570486977783	16.196031193539	-10.0093898778277	20.964168402506	16.1231490159022
AGT APP	-5.67991992055158	21.696217990628	16.7433647515853	-4.08571421327346	20.2344021447114	15.0457710806436	-16.5568918049213	21.2113083519779	17.0022962170498	-6.36246471036439	21.4051879940626	16.4703872623095
AGT AREG	-6.05710909437293	20.9515874845889	15.8764811455162	-2.79438139115029	19.9517297736485	14.602976509501	-5.64920479652148	20.9025018317395	15.9703001630966	-4.60936105744412	20.7614532102432	15.6739473472254
AGT ARG1	-15.361648311987	21.1940338552227	16.9750313584134	-19.5894022974742	21.3350416690342	15.9894104028689	-25.1779582871052	21.5574170888452	16.951215369739	-22.7101356526407	21.6416445992631	16.8635343513075
AGT ARID3A	-7.09163623894601	21.0838610558125	16.4531363404476	-4.9851026444414	19.6682693033792	14.851866460889	-4.66155548050704	20.4799456464466	15.767424470537	-7.10028298055921	20.6397973164145	16.1471779609345
AGT ARPP19	-5.654400560383	20.8103040930787	16.0374893799314	-3.44126526514473	20.2073636817525	14.9669506770938	-4.22645511989964	20.8377482984644	15.9247981463419	-5.4632348545855	20.9201244336471	15.9135101209691
AGT ARSA	-10.0743234427381	21.7851684632484	16.5660240621433	-7.88515091326678	20.7137882276668	15.7540952057551	-19.2584574084627	21.6807315960847	17.0234833600594	-14.2122903444396	21.5419314646638	16.757957784233
AGT ARSB	-2.72270047356366	20.3002458818436	15.2290829695814	-14.2933844124308	21.750838537455	16.1725170864289	-6.24187339654238	21.4331780456473	16.3332669770115	-6.00804671819733	21.2889160085709	16.0368849398049
AGT ARTN	-7.16423926402626	21.1706643016995	16.117632176705	-15.6025808309915	21.2960600822991	16.0918541869609	-11.3457213324967	21.5577042140935	16.685741807726	-11.6070464074975	21.3410865310053	16.3677963208068
AGT ASAH2	-2.95122771584065	20.1417657356876	15.3191064058351	-2.49319210536921	20.1761734417532	14.1439868787558	-2.7656076490554	20.7058553436215	15.3419795324664	-2.55284235450301	20.4434885207547	15.0637517761039
AGT ASGR1	-4.67480873124	20.3270386094927	15.723573708663	-12.1024917949896	20.9496117181479	15.8357013991903	-6.52723159438925	21.0275055708222	16.2118197214537	-7.66002404504503	20.7117075262262	16.1882929499069
AGT ATP5B	-15.4127251648622	21.1598233122288	16.4806964502743	-24.2907419384823	21.4629219747148	16.310470170349	-36.4290582463239	21.8949087445937	17.1928015682673	-23.2819588009848	21.5234984853573	16.7879155276253
AGT ATP5O	-3.81386672191245	20.5335517763687	15.8341827658822	-5.28297376365348	19.7586033429005	15.085112201556	-6.39916193237185	20.6817883181058	16.2491203817148	-7.18023329670608	20.5529104079582	16.0803927026927
AGT AURKA	-16.2658182483328	21.5348245252724	16.6737246042622	-10.3555920557629	21.1993164377048	15.6929778436653	-25.0071512072781	21.9522462105045	17.1165962333833	-18.2236508426359	21.5107174883865	16.5842920222819
AGT AURKB	-8.37708602575958	20.086132397741	16.3272103696501	-13.739340919681	21.3527204437978	16.0729508921947	-9.80420798205818	21.1337000970758	16.6065471229803	-13.3180395625953	21.0282808874251	16.520144465853
AGT AZU1	-7.21811490588779	20.9843501068133	16.2411674253079	-2.54122221493081	19.0377057800163	14.4709838342321	-3.2142618215078	20.2861815157935	15.6658712579788	-3.64927785868918	20.1881422096	15.7455272691201
AGT B2M	-0.0284669185985051	15.2499444591987	10.6564393878497	0.0933371370717716	14.328322752358	9.84713837337459	0.116807010641772	14.7193947257569	10.1785921965012	0.0597985779711778	14.7440213995265	10.3909195470397
AGT BAD	-7.8449801614297	21.0626316488536	16.1216298983636	-3.24186422968763	20.2906883001075	15.0435090599293	-7.4968659351565	21.1804504437871	16.2875500962081	-6.04357685065227	21.0257433675093	16.0288133087941
AGT BCAM	-3.56655737429102	19.8403331321495	15.7978855374285	-9.3423176785577	20.5029451956669	15.627550998705	-7.0739357530231	20.5717915080118	16.2453244432959	-8.08938965680896	20.4078288784896	16.1528618865411
AGT BCAN	-2.31826682453718	19.2573912705286	14.2734337321322	-3.39449142412702	19.0956192543797	14.2553590511915	-3.88663119933703	20.3150118217243	15.3707524121548	-3.09859568639433	19.5711766640772	14.7491384379598
AGT BCAR3	-17.1262385216469	21.3572114307882	16.7303719788127	-10.1457532195781	21.3404622746442	15.8204168146251	-18.7305833289276	21.4881757227827	16.9174768990377	-17.2898815696097	21.5712437521399	16.7601014750144
AGT BCL2	-5.25660363256229	21.481037069592	16.4156869551011	-2.09843262207762	18.1971583889529	13.9037706924314	-3.05315101713324	20.308290419656	15.5330437434452	-3.46227068565126	20.2203953602385	15.6442645420597
AGT BCL2A1	-1.6740294923676	18.4096637724985	15.062351939177	-3.90047437438114	19.4789537022081	15.5796899754936	-2.21478854658792	19.3080078806809	16.0686605065295	-3.42035069117665	19.47312362815	16.0891344353542
