protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
AIF1 AIMP1	-1.74961015753304	18.954286635843	14.2475357446333	-1.15689886667914	18.3775216608293	13.6132075658934	-1.78396794650827	19.1326713692422	14.3861089313493	-1.454757860352	19.0099448749203	14.3452737436962
AIF1 AIP	-6.84190557510477	20.4123922141037	16.1130650479025	-1.83710767212059	20.049832759885	14.7727822605878	-4.28354186951469	20.9128401168844	16.3965890974708	-3.625689193494	20.4329056786452	15.7728235378123
AIF1 AK1	-1.98739138074954	18.9652913543197	14.9726214921334	-4.13143980373875	19.6335615276227	15.2709924836486	-3.81646757669511	19.6791325703708	15.7413372281701	-3.21137750647745	19.5925628678453	15.5384816634208
AIF1 AKR1A1	-3.50416523148217	20.7334516407182	16.1051530595302	-1.05817919497264	18.2660347284435	14.2002428320943	-1.93161719611566	19.9287138837573	15.448272463374	-2.09962880469594	19.6314377366546	15.3254118542052
AIF1 AKR7A2	-2.7431028990932	19.5245449425854	14.8261949698296	-1.81700706508669	19.0860945531163	14.8136302909102	-2.93733116422306	19.9169077340885	15.6215751420089	-2.55577822739929	19.4062693088998	15.1140901218637
AIF1 AKT1.AKT2.AKT3	-2.65842282306539	18.9575265469961	15.0728508868525	-2.40427004733189	19.3742605437388	15.2539720614697	-3.24740611875823	19.7095925456969	15.6926442305114	-2.96164490365444	19.5241743685699	15.6076725522415
AIF1 AKT2	-3.67861921193753	19.2674100805333	15.4889581286533	-3.23657134933227	19.486233766459	15.3553445698355	-5.01243720156737	20.2021124155621	16.1777159692585	-4.18112121426612	19.8168818197575	15.8543176785538
AIF1 ALB	-1.09877380305362	17.8563909545655	14.1331569006441	-3.36002388088672	19.1663532640511	15.3675183479699	-1.97392382657698	19.465290052013	15.627154268207	-2.52665662095502	18.8321568332032	15.2063876007081
AIF1 ALCAM	-1.43782447395035	18.4710010736284	14.2104356990188	-3.07732119674911	18.874612269921	14.765477969815	-3.44226812075566	19.6659328079488	15.740403452163	-3.15831405633399	19.2782258856477	15.1066501149354
AIF1 ALDOA	-1.61067958225128	18.5373940578305	14.5117392700276	-2.49229133492954	19.0486946822346	14.9826154503648	-2.84070396694583	19.4901978683115	15.2798406702047	-2.62773802363845	19.0839777551452	15.1422384312805
AIF1 AMH	-5.67784832236969	20.6104768622987	16.3996275282487	-1.66893045201589	18.025775168432	14.1438920469589	-5.60981174188644	20.4936779860476	16.2110861637968	-3.94773613370642	19.9117881177604	15.7152666858709
AIF1 AMICA1	-5.79702500514585	20.5372500558297	16.355498936583	-2.7642655124912	18.976605265006	14.5746586730924	-3.48640536536426	20.0313702336607	15.6632712989336	-4.98177798129284	20.1133384091703	15.8776793317742
AIF1 AMIGO2	-5.56790267737396	20.3183840061516	16.2441573906926	-3.49176838145618	18.8696975331144	14.5144803899822	-6.21038133628294	20.1988167236615	15.9053636292829	-6.50696431056464	20.0868475944728	16.0339735287439
AIF1 AMN	-4.08580494710618	20.0341854732076	15.9729807218199	-1.86005462940369	18.1166486861805	14.37685603827	-3.59661411383502	19.7162223281087	15.7424047598467	-3.27267165855107	19.4960262461688	15.5230627544738
