protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
AMIGO2 AMN	-2.95597051268268	20.018028569182	15.4778385481906	-13.325607912776	21.3248768411737	16.1565815873248	-7.1826155109857	21.0352190283041	16.288284949686	-7.03452418155738	20.9716027636799	16.3149722346471
AMIGO2 ANG	-5.49025404267272	20.2422722090121	15.1634746242568	-5.42704565485477	21.2997448442341	15.5662867499487	-9.29337303620973	20.8973985465731	16.0306566376553	-6.31471052724137	21.0861405687962	15.9008008172988
AMIGO2 ANGPT1	-8.2314585595934	21.1169210921766	16.5655748079752	-2.83938146824965	18.9680709837317	13.7258949814796	-8.84526367348565	20.5545701340573	16.1315596397034	-4.87753634886779	20.3982245995212	15.6851276017492
AMIGO2 ANGPT2	-0.354438480384001	17.0523959102927	12.3294896615309	-3.16609638422351	19.0950292658214	14.2424617570041	-1.63790426610182	19.0307416256314	14.1593499859748	-1.49444014802215	18.5687798804776	13.7345353996339
AMIGO2 ANGPT4	-2.77111910665719	18.8796763713331	15.5810926961648	-2.51076922714218	19.4942566820287	14.6338615029389	-3.96923286153929	19.6011098908696	15.5526000376112	-4.29325177062728	19.825430675528	15.6481362959871
AMIGO2 ANGPTL3	-3.44940329258927	19.6256084563529	16.1959576743292	-7.77235904886792	21.1373171130043	15.9763891365009	-6.84347785904164	20.9722484443784	16.5943641638912	-7.21073691086887	20.6864246272192	16.4594730531609
AMIGO2 ANGPTL4	-0.873212534236526	18.5385693982118	14.6382732143697	-5.43975436735883	19.6991791283391	14.6249371892651	-5.65582594064451	20.1770612363231	15.886105103353	-2.29733822233301	19.4150455039285	15.2188187899799
AMIGO2 ANK2	-4.00551047842083	19.438127472398	15.6682045609168	-16.0244306713669	20.9116110624358	16.0372471594209	-5.66266133076285	20.0671009730203	15.938853317472	-8.08361551809236	20.5292038759184	16.3139835939177
AMIGO2 ANP32B	-0.712843676748079	17.6215070795714	14.0187269870894	-6.7396726659291	20.0041614021544	14.9100641531479	-4.55090587710879	20.0034719928249	16.143019390246	-3.08916326694895	19.5127729028578	15.4239582575397
AMIGO2 ANXA1	-7.53084824682779	21.030568497178	16.4225933671649	-3.29583968853372	19.6803922078579	14.4352311452049	-5.83606911839473	20.751478606081	16.3043864756951	-4.80094915204355	20.4787595728313	15.8668010161215
AMIGO2 ANXA2	-8.54580482299526	20.8170905310454	16.3461598217544	-4.80406206488325	20.0931160957481	14.7135463475956	-6.85452882390189	20.9760611858562	16.0340143906735	-6.29227434735605	20.7044167624441	16.0180982367392
AMIGO2 ANXA5	-11.6336742753372	21.2096724674129	16.641507830233	-11.5738744891563	21.0870728859313	15.9900951093745	-14.488627828283	21.5832618740653	16.6743125731641	-14.0765620480881	21.4531133278908	16.5702733256
AMIGO2 ANXA6	-10.2581149045746	21.6247794241975	16.7731331759085	-6.90157233581808	20.8207192560709	15.349371293424	-15.7796217187654	21.6627676025885	16.6795571743432	-10.0886379858239	21.4224116185855	16.5072948956477
AMIGO2 APCS	-7.36265781387792	20.813783053856	16.2124635542182	-4.73140841872543	20.4674517139429	15.4651882121265	-8.71928786581071	21.5434025133831	16.4985219502497	-6.33695999307327	21.0044308176156	16.1942931875348
AMIGO2 APOA1	-0.999099955447318	18.2737373863103	13.0290402153784	-2.67806090389642	20.3122022362836	13.9846228309713	-1.59696879888147	19.4206291923329	13.5721506374304	-1.72589704857687	19.4685719720966	13.7026270784856
AMIGO2 APOB	-9.14736727409543	20.5349033666958	16.3970608900527	-10.6203138157511	21.4226001358287	15.9180990344471	-13.2275352359427	21.3015152138703	16.6051494134733	-11.9277040473211	21.4196356311526	16.5138314433198
AMIGO2 APOD	-11.8781276076469	21.1905536132159	16.8036079083592	-14.0225391200329	20.5592668205509	15.5711016001338	-16.5595968541004	21.5009026498801	16.7348725100176	-24.3608171192502	21.5065814805544	16.7992796626835
AMIGO2 APOE	-8.63169244412431	20.3706807243895	15.9979536020408	-5.18219186058931	21.745637507376	15.5131761627332	-10.8309791060778	21.3229727079799	16.249127876501	-10.5822668813189	21.1941129648494	16.2790521852731
AMIGO2 APOE.1	-6.16258699395777	20.3258664745306	15.7830273876651	-9.3058883262929	21.788234394369	16.279618220083	-9.01575297188942	21.223934796743	16.4005120205513	-9.09991824087112	21.2334125413154	16.2699216408166
AMIGO2 APOE.2	-4.8418676941605	20.2836320687437	15.7549959276159	-10.1278898550649	21.4079675698154	16.1054638898356	-7.54788453918323	21.1014718778313	16.4215233999237	-9.25376716692614	21.0353686517337	16.2098679306995
AMIGO2 APOE.3	-8.28198140743188	20.8612602193748	15.9670214443887	-5.12104120294855	20.8948528187638	15.3551284648735	-7.49997190087501	21.32148935876	16.3891439501191	-10.2946162728877	21.059922253527	16.2360925705614
AMIGO2 APOL1	-0.0334807846839946	15.1066089046197	11.4100565088067	-1.61289885131174	17.9822830202114	13.5256890441231	-0.653699229680811	16.924464703509	12.7869671816081	-0.735504515210637	17.0001452615253	12.898552278129
AMIGO2 APOM	-9.48023868088182	21.0240720831864	16.0880824929359	-5.56143309614392	20.5028635042992	15.3349966423426	-8.17664822009461	21.2800849779687	16.3128485528679	-7.40714370285368	20.9034413030263	16.1351433351496
AMIGO2 APP	-8.87713020030485	21.4951524935968	16.7125690267752	-4.88058640247686	20.0874153006237	14.4800315271519	-11.2618522036067	21.3016000554297	16.4453600221109	-6.85110666292032	21.167379570622	16.0203532435879
AMIGO2 AREG	-4.87222315816939	21.1009166982838	16.2418447916483	-4.3450936293194	20.0708110438973	14.5870163882034	-8.99300050417964	21.3881281871041	16.4288267192089	-5.04710868295999	20.6451511701075	15.7172913962767
AMIGO2 ARG1	-9.0473572779143	20.7558970336151	16.4430945626529	-14.5962755543304	21.4551405754635	16.1696539988567	-11.469261296863	21.4104175398275	16.5869723496949	-14.9555328336261	21.3499092096692	16.6435726036864
AMIGO2 ARID3A	-7.75736426282603	20.6391365068624	16.1883370404226	-4.62104123590509	20.2338199456437	15.188238810848	-7.9544254790004	20.8635902047444	16.376257765459	-7.9687281172929	20.7660054820344	16.0993115757109
AMIGO2 ARPP19	-10.9529307074666	20.9921086558933	16.6387807242633	-4.46474510890142	20.0109957801344	14.4648762101299	-7.06774241592252	20.8258797778076	15.9818209981016	-7.23230362850335	20.7096966048385	15.8466211928594
AMIGO2 ARSA	-9.07140629879813	20.9600142362256	16.4689357041452	-6.32313805700708	21.9081510868982	15.7549174410668	-8.0182800080016	21.6555937920229	16.5395969821418	-8.32863617005302	21.6098315453119	16.4721279189661
AMIGO2 ARSB	-3.36662379931533	19.8185340231282	15.0628866945835	-10.7162269320353	21.5947870278228	16.0720829765004	-6.03667732334877	21.2489589010414	16.4046172975811	-6.41677567801954	21.0863137233501	16.0333363266873
AMIGO2 ARTN	-4.51456394031375	20.2149546321878	15.5065530310225	-10.0288387438538	21.5840515593102	15.993616426237	-8.22899998975469	21.2748136454776	16.4398749594244	-8.99671470965989	21.0852338705345	16.2216996962069
AMIGO2 ASAH2	-3.73097622855754	20.0547629546108	15.5419091216337	-3.17877926859658	20.3887696723261	14.249256675366	-3.33634797789672	20.2116446801255	15.170419580189	-3.63584349300868	20.5969042311723	15.2860967615042
AMIGO2 ASGR1	-2.59128265899295	19.4865145441914	15.5941851132106	-15.3475501481326	21.2764011	16.110069228515	-7.53644436124157	20.9001148418855	16.5164076527248	-6.24323474958127	20.6439362337954	16.3093843686137
AMIGO2 ATP5B	-6.30984078874192	20.9780604966037	16.1056974805155	-10.2660868326018	20.5845685263949	15.1491581037918	-8.61027357538175	21.1981923890843	16.068917774952	-11.4646677667933	21.0058691195966	16.054636434527
AMIGO2 ATP5O	-1.78779605660004	19.009909598336	15.3491614165697	-5.80441571523768	19.3081608478556	14.8273931712514	-4.40873389834125	19.9481101617219	15.5724496621679	-4.5918233442333	19.5645507270929	15.6401503474039
AMIGO2 AURKA	-9.22145741785608	21.3360127546832	16.5664044205312	-9.89428184985322	21.4475764537157	15.9460417444597	-17.5031775405667	21.79736878454	16.8334628408252	-11.9210262376055	21.5754997089083	16.7087790262726
AMIGO2 AURKB	-4.14945277549759	19.1246342320934	15.7526013582158	-15.2680850306122	21.3385300627445	16.0165319144266	-8.15949893544103	20.6952424777757	16.4541516282806	-7.99067752862726	20.4296573651075	16.1807223068192
AMIGO2 AZU1	-7.55283660100567	20.7705770260508	16.1746465720302	-1.6855849514689	18.5641551670629	14.1526775110071	-3.45053120951402	20.3624011627839	15.9380788205914	-3.18556514857878	19.6929259893805	15.4350845655806
AMIGO2 B2M	0.14373868490244	14.6421132099919	10.3563500125453	0.0555158371505532	14.7917454298958	10.2069881636896	0.10988076991007	14.7753942317231	10.4703726831005	0.109945430261039	14.741632291085	10.3732762528769
AMIGO2 BAD	-7.40880901892624	21.2348372781108	16.3999824717065	-4.78480670530984	20.2481902513805	14.8273168270261	-11.6007204059396	21.525498239971	16.4862720965857	-6.7845155034098	20.8120079788348	15.9242478176021
AMIGO2 BCAM	-1.42395910690305	18.4279415515549	14.7523891603947	-3.90533008847917	19.7276094328633	15.2360968623048	-2.60999666474394	19.4541155823216	15.4606224154695	-2.99390799709726	19.3082043868589	15.4708905175413
AMIGO2 BCAN	-3.11559849673443	19.5806339190191	15.301902741548	-4.12650568723682	19.9064389287807	15.0836268156359	-4.71461715382616	20.2667873722477	15.9115472455327	-3.7174105221283	19.8962114904622	15.4921148431295
AMIGO2 BCAR3	-6.53362031841148	20.4902775934895	15.5928814611671	-17.9950906044635	21.2389637918435	16.0762754839726	-14.6532828166528	21.1083033859318	16.5695889106641	-9.33247696033278	21.1440293674396	16.3429177126642
AMIGO2 BCL2	-5.36104728044009	21.0569905834673	16.2901106928227	-2.11790957828504	18.8702092128545	14.1253267946562	-7.15451846960426	20.7025602236051	16.034478849259	-3.32855956699468	20.10871533037	15.4809543940009
AMIGO2 BCL2A1	-2.13958691074061	18.9328595796198	14.929169711758	-4.96861061705834	19.5573371531938	15.2605618466649	-3.07585151752672	19.5031494924664	15.8305384033823	-4.1480545894415	19.4800781958987	15.8226090293482
AMIGO2 BCL2L1	-6.38982083494111	21.2704065310576	16.630664586425	-4.33454942754052	20.5319273014589	14.7878978906367	-10.4109773427646	21.3499592416034	16.4230228414086	-7.17236501864585	20.8956522860796	16.0034165919242
AMIGO2 BCL2L2	-3.4636749044959	20.1117751421683	16.2881747956465	-7.77904135984979	20.6689362160924	15.4766148802341	-9.55217379642935	20.9417650110832	16.4157997828904	-8.28279433865337	20.6188878331806	16.1842794878486
