protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ANXA1 ANXA2	-7.05524788700785	21.0360526847877	16.3457684980063	-2.15298891495816	19.4407146236529	14.2292090337578	-3.72875934878247	20.716656228291	15.7065664882359	-3.85400944626025	20.4627804562298	15.6497833821772
ANXA1 ANXA5	-7.30787655443087	21.0277249963756	16.3723176076148	-1.71822051103243	19.4504837814311	14.2510460867412	-5.99811887301659	20.5254903929686	15.9819819408969	-4.33091604712942	20.5351310095237	15.8039013872149
ANXA1 ANXA6	-12.1396577246548	20.7638933250685	16.5493011982242	-3.46465178772134	19.1023959596389	14.7095766200372	-5.21783998375448	20.2240426134268	16.2324350442168	-7.25760623941298	20.3043946253973	16.0678231294708
ANXA1 APCS	-7.30215821655463	20.6011981064557	16.053266876222	-3.32294927694713	19.1145187668617	14.4817702284265	-4.91326193164229	20.0523824764656	15.515003976224	-5.73823000521681	20.0569494266393	15.5623680933731
ANXA1 APOA1	-1.5160827936198	18.053195549867	13.1936589282625	-1.28814046001255	19.2034930894019	12.9504930368748	-1.20944258118806	18.9891499270812	13.3888004406677	-1.4828831922318	18.8760860141103	13.2835565302106
ANXA1 APOB	-11.4932101857661	20.5069387809662	16.3695782239276	-1.9437519771184	19.3818578326297	14.2914926676376	-3.77195977966931	20.2460843494678	15.9176875323542	-4.07378150910259	20.0918257193535	15.5222184756584
ANXA1 APOD	-20.8392538574378	21.2102077910033	16.9976624432344	-1.65951874009633	19.5258343815391	14.5283213392197	-4.78237889442961	20.4728818045354	16.3088989113442	-3.90084958112306	20.5475709092141	15.9559388377232
ANXA1 APOE	-5.08057671544288	20.1449400931441	15.5737492320168	-1.78371286006931	19.0003121102458	13.9004553350715	-4.26974305455893	20.2275994007873	15.4974871429438	-2.92915455080814	19.9127174338952	15.1609682140875
ANXA1 APOE.1	-5.81391899381015	20.3955767423102	15.9778250030365	-1.79258463012175	18.9145154850897	14.034183270254	-3.92514774094823	20.3272338753169	15.9443573600306	-3.39569162036926	19.9923847815793	15.4599431834716
ANXA1 APOE.2	-3.84977354689225	20.4618107801269	15.8599899717587	-2.13971406244391	19.1884385526611	14.6074591684671	-3.50458853938846	20.0673046237725	15.8747304946111	-3.11812056230578	20.1720084548792	15.6203156513605
