protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
APOE.2 APOE.3	-4.96621441967453	20.583586544825	15.9683891151725	-12.0177753015475	21.0236456426111	16.3704871538182	-8.98103474078311	21.3027109077179	16.8957508440612	-8.80724666402842	21.1094484945335	16.3857601693897
APOE.2 APOL1	0.125535023846471	14.5240378976206	11.1390436671065	-1.38498513942365	17.9417942347414	13.4269844034882	-0.340893318821865	16.3906590182823	12.617339333207	-0.459537519648782	16.485029302144	12.5774853452478
APOE.2 APOM	-3.58728532008888	20.9256899615908	15.6606985337132	-5.58966232142018	20.3785718778344	15.6302598304542	-6.17656524168506	20.9185857875295	16.2812534549762	-4.21029291165903	20.6940583287943	15.8826542921262
APOE.2 APP	-3.95604962782034	20.6723597908789	15.674999243074	-4.47522529826263	19.7989344504764	14.916568790712	-7.19455109330216	21.0012911099581	16.5128365390592	-5.33997914224388	20.5202981722929	15.6857146392089
APOE.2 AREG	-4.39347913677608	20.3011391230232	15.4913153900405	-3.4108056779034	19.55466823079	14.5347406530063	-6.04396399360352	20.8655177629047	16.1022913821827	-4.11809851729388	20.4044130241555	15.559120530557
APOE.2 ARG1	-3.61335526258054	20.7385212444183	15.4847264524874	-6.43420201560298	20.2565262284059	15.6291833300436	-4.88075202156243	20.6782121016465	16.3208505044448	-4.94796658450956	20.68783459163	15.9080034667497
APOE.2 ARID3A	-4.53891795192021	20.3463260551978	15.6283144593188	-4.14837465765014	19.8842503364057	15.2603258307613	-4.0950557051585	20.6482317585029	16.1484147397657	-4.72386713701947	20.3028709647171	15.7329381607516
APOE.2 ARPP19	-3.69403032217708	20.4071573278686	15.3375680778157	-4.42442688500093	20.0386397360105	14.9154398827544	-7.23223149282187	20.6081157428774	16.1921506009029	-4.52593015232408	20.5268728347118	15.6670492657024
APOE.2 ARSA	-3.40690987520377	20.3008830277384	15.4757113257916	-3.81737631731879	20.4478344618184	14.9681136517754	-4.13496465871103	20.632965532881	15.5461717604735	-4.01122097760583	20.5938736119328	15.5683024939412
APOE.2 ARSB	-1.9636686764311	19.0695393864272	14.3811134812741	-9.66850590964503	21.017249936537	15.8548155572696	-4.09068825282729	20.2933718408404	15.7137086140742	-4.19879714721235	20.1951411525065	15.2968510130816
APOE.2 ARTN	-4.38785395806674	20.2593298649068	15.8046277822367	-17.8530515024285	20.9310762401937	16.4993620471829	-9.04333505780392	21.0397977308092	16.5277059704834	-8.47092878763135	20.9398052375362	16.3280740770087
APOE.2 ASAH2	-1.77451569677451	19.7214585638304	14.7189835808178	-2.39144115048878	20.3831749474449	14.4122204130977	-1.73485624606989	20.2216705175228	14.6248887957402	-2.17443486229363	20.3509663171379	14.7972131874614
APOE.2 ASGR1	-3.30822516281045	20.0689344099493	15.7634026733598	-10.6556801601253	20.2552751852334	16.0643847920098	-4.65709431134735	20.5063841092078	16.3332520650038	-6.2877907407906	20.564294095343	16.2112021382872
APOE.2 ATP5B	-5.09701161799479	20.2990601523521	15.4454388880739	-6.66483275710951	20.9746040912173	15.880404481717	-5.67034139716767	21.2792882627798	16.3600802850845	-6.83424485653427	20.8061994206783	15.90615732557
APOE.2 ATP5O	-1.39866745685472	18.8062413680908	14.1501973418793	-4.23542134003916	19.611376108397	14.7924743110765	-2.38788329434287	19.8241744702039	15.1193213383035	-2.74967871697346	19.6499999701672	15.0414331780501
