protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
APP AREG	-9.79407171658562	20.8870798796569	16.261284125527	-2.49498339783966	19.9560977008259	14.6332618049172	-7.81593210869769	21.05397142032	16.4194113986787	-5.98019219707216	20.9129722209978	15.9950393958246
APP ARG1	-11.1156594477042	20.8263796154384	16.6958319906443	-3.46006125488085	20.0184810734106	15.237149782608	-9.02757275430299	20.5420834699264	16.556242347738	-7.53911511662598	20.7112369954166	16.33565599781
APP ARID3A	-7.68554839915522	20.8845294157034	16.5718129705959	-2.88935145000229	19.2247879320385	14.3323365201298	-6.91220413748688	20.7268859547064	16.4583657451283	-6.74550550402092	20.6168866481286	16.0708106117631
APP ARPP19	-4.10630801983702	19.9167990642914	15.4447350630572	-3.82595803136909	19.8020649172578	14.7135788228105	-5.48503322749514	20.4477801289907	16.0704326569722	-5.13833733976061	20.3980548470427	15.7031746200056
APP ARSA	-13.111063763943	21.4101703863824	16.5702097296834	-3.37807763414697	20.2082868295674	14.6104774317926	-6.14118900354799	21.4539891444921	16.4990968876757	-7.65931409665065	21.0375805490237	16.0020287057142
APP ARSB	-2.48785185273516	20.1486427424247	14.988024644189	-4.03272668448682	20.7759606444243	15.6576513733668	-6.33154299802995	21.1818799781711	16.2886663333882	-3.87378925970174	20.4920173295972	15.5624813656196
APP ARTN	-7.83467604398762	21.1535817450274	16.5901061074179	-2.41005141455697	19.4641597063188	14.7029095384748	-7.27338216764017	20.8835895611853	16.5614264469218	-4.76901074690139	20.73416447858	16.094955506916
APP ASAH2	-1.84743247520197	19.9991550833695	14.5997781773495	-1.51797344325646	19.6395758453997	14.0957469382087	-1.67789219730487	20.1322584568207	14.7348321628408	-1.84613744255183	20.3042730267695	14.8157095491888
APP ASGR1	-2.8470929527705	19.5459436473696	15.1320501619322	-2.1078924710184	19.6465760354989	14.8645653489499	-4.58533985318695	20.0338099125994	15.7376496582349	-3.37796539592554	19.8961161094666	15.4254294157252
APP ATP5B	-15.6822578681506	21.4459298630883	16.5526861680254	-3.21287468721334	19.6533060148034	14.5449808235461	-7.56697482240345	20.9447603076318	16.150882401946	-6.75210678339184	20.9628784882789	15.8749412204285
APP ATP5O	-1.37458517856889	19.8302915446357	15.4317099543001	-1.48897483909416	18.4908990470648	14.1805334549801	-2.30143546414646	19.0600790532605	15.4243598409968	-1.82728408757746	19.6595275654112	15.3407611580807
APP AURKA	-14.4144636345922	21.7379131420605	17.0637512455825	-2.80856404382568	20.4548083221372	14.8492018044972	-13.1073537858186	21.4963629928056	16.9486224950211	-7.2926929652403	21.464805987209	16.5885377726632
APP AURKB	-2.56217088507249	19.9189679850271	15.8837976559005	-2.86826522472955	20.2654384175747	14.6391057100196	-3.99615334694998	20.4262247219814	16.0135981116842	-2.81560941443762	20.300357238317	15.5762081139323
APP AZU1	-5.02890923338209	21.0662944646057	16.0289153421259	-1.547801888171	18.6691693849117	13.9378481523506	-2.8867945837914	20.0778827123416	15.7537193621425	-3.11858344897891	20.2047884887	15.3675943648511
APP B2M	0.142843594048345	14.440135780142	10.383808066867	0.292935873695099	13.6612448880193	9.39227828340625	0.209002200326562	14.3025228638147	10.2483709009726	0.200670560424423	14.2096287824116	10.0950583561933
APP BAD	-6.54796934931891	21.0751203807227	16.1800695092798	-3.45875377501962	20.3055053079081	14.9729058622215	-7.65624832062484	21.0563143020257	16.5249379916807	-6.22753838172392	20.9978363526466	16.1109128193772
APP BCAM	-2.70051301483945	19.5435041716641	15.5495038187492	-1.82703440348573	18.7010447669237	13.7530952130407	-3.07172588533785	19.5808729185063	15.73669169869	-2.82408415162493	19.4486462795444	15.1090708875809
APP BCAN	-2.46408424092888	19.1905050088789	14.9500934394873	-1.05689605749084	18.5591244177805	13.660489947102	-3.0836391283993	19.8821782102621	15.8033905215663	-2.22989805200033	19.287697110803	14.9196243440196
APP BCAR3	-6.73923927772652	20.2560886444028	16.2264800072194	-3.44305832307863	20.486917321314	15.0866824326361	-5.77107823733351	20.4168323511167	16.2508548527117	-6.58694918145371	20.9069545905047	16.3322714915069
APP BCL2	-7.35083917841065	20.9583291271736	16.1519327620183	-2.1229587998224	19.2343266180796	14.3531217585664	-3.63143686811832	20.3410028735383	15.8505554594051	-4.30394465886523	20.4906587492676	15.7447201076319
APP BCL2A1	-1.99892362367441	18.8078337667841	15.3778152648314	-2.39322449262462	19.1132897464132	15.0139636642299	-1.86943082436682	19.0131972593551	15.6918428369657	-2.16826985145069	19.235394021636	15.6136208158638
APP BCL2L1	-12.73639443478	21.3701148141796	16.6037670510154	-3.5867283647603	20.0630823994989	14.7334460295595	-8.6148195510309	20.832100074477	16.4691086567154	-8.41756595263398	20.9666555526253	16.1484173564713
APP BCL2L2	-6.1009751472079	20.5397661846522	16.489328811521	-3.24592290994081	19.6901219110463	14.5704194078125	-7.47136438508873	20.9125334913935	16.6086047057317	-6.66534189207217	20.6390876460422	16.1711743098729
APP BCL6	-10.6326629487647	21.5147167480559	16.2475466193436	-4.78433509667981	20.5560701684092	15.2793070510992	-10.1752770967456	21.4497927723717	16.8552962456342	-7.41875060450507	21.2411534181051	16.0792608649667
APP BDNF	-3.3431805529826	20.526499565247	15.171615581617	-1.69633783159557	18.807847442348	14.17595765298	-2.7061240269815	19.9974787312385	15.4356687077104	-2.7623519517869	20.0597273603244	15.1720387435369
APP BGLAP	-4.91688981878128	19.3213101814203	14.708296519817	-3.13570564643691	19.4932477512802	14.5240974329944	-4.74531822745255	19.8307857412658	15.61492140891	-4.36124881678907	19.8009771185493	15.1254123749261
APP BGN	-0.964088498889171	17.4557531262884	13.9162759565346	-2.20022766694072	19.6772335047678	14.316869345608	-2.12450439382566	19.4824737285036	15.2164258716179	-1.60693161522741	18.9675938243251	14.3771940435402
APP BID	-11.6485168313189	21.3148110912374	16.7894044907885	-1.47383417183665	18.057906466324	13.2354179578891	-4.13724553832603	20.2061633707798	15.5634428287212	-3.84143410141924	20.1088900532139	15.4481262802694
APP BIRC3	-2.64561379741165	18.9597430793808	15.3849015636331	-2.42905836483166	19.0874734921047	14.3002080226475	-2.72480957653111	19.4453864162111	15.7517947082818	-3.1158611563614	19.4237841685183	15.4761538021953
APP BIRC5	-12.6475665221151	21.230159267285	16.9457541582802	-2.80373301669108	20.0752024654683	14.5678791651672	-5.4368732417201	20.8426445748118	16.3125990762379	-5.63986210371864	20.8080789779638	16.0224705275158
