protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ARSB ARTN	-2.65096197160997	20.0276264146752	14.9056840905861	-14.302946922076	21.1484901862446	16.389013192727	-5.16797132941009	21.0434406270202	16.1986829612457	-5.41036044389215	20.8091316686178	15.8845881489204
ARSB ASAH2	-1.92480423195988	19.4468892097775	14.6251423964681	-3.40625392975334	20.6402887553135	14.6191165396011	-3.07350732755592	20.1471833415915	15.25200418635	-2.9424170193862	20.416392066421	14.8575677522922
ARSB ASGR1	-3.30593816674609	20.066957170981	15.1178190517137	-11.7369356094252	21.1817219571503	16.1409969450159	-8.54491359821637	20.7807058503105	16.18617078089	-6.37584168758561	20.8349514038124	15.8791918032843
ARSB ATP5B	-4.89841194742429	20.3070542746385	15.7801191515547	-17.4573454539904	21.767336912867	16.4411685886275	-11.7078763416908	21.3227911448403	16.5776078947822	-9.6049983435184	21.3142431945004	16.3821474615706
ARSB ATP5O	-1.29457229878508	18.8295050199222	14.5022974711244	-7.7774640659577	19.9907102212169	15.4731363327189	-3.67494741664523	19.7871603793919	15.4764860052812	-3.00208824825888	19.7854432326826	15.3711279949114
ARSB AURKA	-2.72909261290261	19.9070861517205	14.5877925618244	-8.97732787568303	21.3336082421204	16.1622896573595	-6.28984103126609	21.0107360767433	16.0633739324041	-5.52499878473561	20.9335839093487	15.8342895754181
ARSB AURKB	-1.32360966428554	18.8100433165542	14.1515133753199	-8.79172943778242	21.0459797473283	16.2424709772124	-3.27196592179396	20.6191134703078	15.8059744744548	-3.67863800655666	20.2666905546686	15.4342705106662
ARSB AZU1	-3.22547100602754	19.6843496231194	14.7843328751834	-1.83956211050321	18.4298670007557	14.3792162314583	-5.04605815401851	20.1513203832622	15.7561695233311	-2.83022902998837	19.2224719761202	14.8555806510106
ARSB B2M	0.120252213820884	14.1874198684872	10.1791626026858	0.110783293348408	14.5400252352459	10.1540778309712	0.207081791756732	14.3269598259457	10.1568343669288	0.112089473580147	14.4655809862245	10.2827988074178
ARSB BAD	-1.93730745827724	18.7525484884251	14.3547509575905	-3.17310738437575	20.4585835066977	15.5209022203274	-5.88989067919292	20.6659415944522	16.0697421486431	-3.30311376281661	19.9853288893927	15.4360535555931
ARSB BCAM	-2.12095768086706	19.3223621501585	14.668331380088	-11.1906569094201	21.1210078356967	16.0018948450844	-4.28756610285496	20.4407246714688	16.0688054123604	-5.02182330239086	20.4145218247921	15.5501521351569
