protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
AURKB AZU1	-2.62554709823798	19.5384069723337	15.0209521462712	-1.84717360142271	18.4765000715322	14.1596901461741	-2.70191304601312	19.4960112643008	15.2724895187345	-2.26696190598506	19.1970022926551	15.0611349278127
AURKB B2M	0.112595704724789	14.4685408659867	10.5646761127179	0.133701712465136	14.5015949125008	9.94035947471999	0.0878649962611869	14.8010033391719	10.4313206608206	0.163805086197217	14.5507061291467	10.3751530942099
AURKB BAD	-5.24381290607838	20.3030256107708	15.9919690059189	-2.60994788290434	19.7805753585373	14.5046381771909	-5.52394156382861	20.6988975961682	16.0549128458482	-4.26221954904606	20.221457729438	15.6456377421857
AURKB BCAM	-2.09620878917541	19.1071655569653	15.3959209181013	-17.8033734964201	20.9166198528681	16.2548245248126	-6.86898889760981	20.3483188960076	16.3142393669603	-5.3798906268529	20.4001764282906	16.1886801275403
AURKB BCAN	-2.15202699251731	18.799288827075	14.7596321283158	-2.17484129585768	19.2993608879661	14.4010796165381	-3.33953673380069	19.8635083944381	15.5136413756525	-2.629578957636	19.093254493165	14.7710230185392
AURKB BCAR3	-2.74924037655031	18.9437319441981	15.1936729158092	-8.93253879022026	20.3038983550452	15.5853248520321	-5.13453513789398	20.0700079703888	15.7921380377271	-7.10778885314286	20.3551027380411	16.0494971512225
AURKB BCL2	-5.08619770397847	20.2222929459968	16.0117389697086	-1.64208701613558	18.3801866580616	13.9055549421335	-2.93669582995085	19.7558429909528	15.4804156362577	-2.54092021998889	19.3882110843156	15.1739470271347
AURKB BCL2A1	-1.67511623458738	18.3226316967237	14.786436382957	-3.03600031260478	18.9892917296904	14.8402524227131	-1.96810303755561	18.6449749599031	15.3880644291526	-2.47741369758035	18.7761367286691	15.3514680021154
AURKB BCL2L1	-5.89779604440155	20.0392749557406	15.9802651983849	-3.53512380263922	19.923106320521	14.3965560359012	-3.7976057263431	20.3551169346555	15.6307306017466	-4.46710534132022	20.1699995004093	15.4531732259225
AURKB BCL2L2	-2.70758017598051	19.5602279875848	15.9389770162388	-11.1073286704795	20.620126799061	15.9283617208841	-9.44852791225467	20.5997708330636	16.5228536490335	-6.24717734334737	20.5175488544704	16.3607946627361
