protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
BCAN BCAR3	-2.26640121675893	18.6395051325875	15.0168470988867	-4.10493935131801	19.4725702939849	14.8166684506895	-4.22523265842389	19.8816029842773	15.9781910540226	-3.48707444636547	19.4944254156863	15.4200923906634
BCAN BCL2	-1.6414084494339	19.0364858691564	13.9028400430365	-0.925028168293379	17.4821039480253	13.4285707305099	-2.08150477103603	18.8707340557186	14.7808212493525	-1.75336536109565	18.5743545320604	14.3543109067312
BCAN BCL2A1	-0.080501568565331	15.9454075794417	11.9720938721477	-0.462512403070469	16.8503995120815	13.5597750699424	-0.579635351319478	17.8446904419958	14.2381112768729	-0.372505906506045	16.9243607050428	13.3056159199536
BCAN BCL2L1	-2.72563247802905	19.0901386445744	14.5388355085795	-1.88862117703532	18.5486518485559	13.8680106153539	-3.68054330571761	19.8009000010183	15.3059190252746	-2.31500090780047	19.1194855541208	14.5865550934447
BCAN BCL2L2	-1.28343885914069	18.6466524235164	14.2415548254709	-2.98183344477009	19.036631841024	14.433864527776	-3.12567682683875	20.3198871507078	15.5741148377864	-2.79771661344286	19.5096015339514	14.8710817789861
BCAN BCL6	-2.70127938179588	19.0512850862373	14.6417143137778	-3.82237523644868	19.3589040437032	14.5460782761106	-4.56560119216907	20.4223159737035	15.921391736557	-3.64734619772018	19.5718845620344	15.0539272243647
BCAN BDNF	-1.73267041192454	18.4225440476995	13.9457248485267	-1.50245826983304	17.9890321043624	13.6192697817174	-1.6629211963389	18.4608392801041	14.3918785517586	-1.69376612855731	18.3186654594418	14.244705820019
BCAN BGLAP	-3.5620141539677	19.236387780939	14.9539683662403	-3.16616766448999	18.9921519139812	14.6142703974356	-3.61017043763283	19.6304835810333	15.3279312007688	-3.61910244604791	19.4372863950015	15.1562681566951
BCAN BGN	-0.721384253138621	17.3998025764816	13.2828208629623	-1.1681198369199	18.3207412881043	14.2466555502685	-1.09417540001422	18.3198910244659	14.5642675108583	-1.0877389727253	17.9527174324166	14.0381285624768
BCAN BID	-3.71524296231458	19.8320219661391	15.1989488558533	-0.796560525501752	17.5648548144329	13.1771824400176	-2.58437566692092	19.7843226970609	15.1151386576221	-1.84844821552522	19.003277615818	14.475021040486
