protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
BCL2L1 BCL2L2	-10.6609404132343	20.6728424854464	16.6335729865872	-4.72286029037285	20.1944511691623	15.1242578400759	-9.43632516946473	20.8717960033461	16.4448843795402	-8.30853168384404	20.7897782521694	16.1355056376911
BCL2L1 BCL6	-8.75428543216509	20.6496948013929	15.5195304468056	-4.8393660779342	20.4151836860716	15.0382154991724	-8.95111297254758	20.9286365590464	16.2768894673908	-7.5873693193412	21.0281768683393	15.7475324648829
BCL2L1 BDNF	-3.1455194423819	19.5615267100851	14.9803300930591	-2.19452555085989	19.2140537042021	14.4779444133073	-2.99131952772089	19.5755187641758	15.2155818985735	-2.96402464937813	19.602136672294	15.1936304138301
BCL2L1 BGLAP	-4.40959420896704	19.8738053430647	14.9792082608296	-2.78294478984198	19.5485063775731	14.4617405899067	-4.85342517866905	19.9886684810434	15.531298568339	-4.16722452350627	19.9982696716592	15.1398566639847
BCL2L1 BGN	-0.646515595900183	17.0520374991763	12.8787859665125	-2.48059596709505	18.9254543829503	14.0325831728667	-1.04449794504018	18.5209240913134	14.4533019951772	-1.53061932089835	18.4021002556387	13.8849752525719
BCL2L1 BID	-6.79768628306654	20.780759670164	16.2289504982543	-2.14213695963413	19.2161148074781	13.9151397403434	-3.32943572871743	20.2228015887418	15.4236284136697	-3.80147072659936	20.2091477550624	15.3734663039968
BCL2L1 BIRC3	-3.28729038554074	19.4617109070337	15.3433324768107	-2.3251636103524	19.0766022580565	14.0963335247522	-2.02153107504194	19.3836301196395	15.1728153423015	-3.28462205763811	19.4181843233165	15.1320900361085
BCL2L1 BIRC5	-13.3799696675453	20.7885986650237	16.5451619203886	-3.75732039149989	19.6415286641131	14.3317899194089	-5.47564313257939	20.683340888174	16.0527125164913	-6.86376676844807	20.421694890278	15.8335039555898
BCL2L1 BIRC7	-4.64060792969312	20.3340041429169	16.5754967253702	-4.64466670176466	20.4276941312102	14.9632499739701	-6.34619272582236	20.9193936918365	16.2812670040102	-5.95274151843161	20.6760225038628	16.1010534745717
BCL2L1 BMP1	0.136078466133486	14.6411247834091	11.2223496909491	-0.445440389905591	16.1716025456091	11.9000361580642	-0.0857814299368103	15.5167885785316	11.7457318815191	-0.136557557521631	15.6873016437843	11.8320963364327
BCL2L1 BMP10	-4.70490003490067	21.3030247409783	15.3511303087958	-1.76068090001148	18.9115509245651	13.1064013954515	-2.98702960536262	20.1233433675724	14.8582264012148	-2.79559814942326	20.2207496607468	14.3928246159529
BCL2L1 BMP6	-5.95235843510265	20.0796616370918	16.0386361681894	-3.93380699847077	19.9391650150762	14.697701048815	-4.75746346847078	20.5660320006669	15.91779295502	-6.37268288133585	20.4177176203298	15.7084685726
BCL2L1 BMP7	-14.9921796226388	21.1931722381572	16.8016795626206	-3.70661319387511	19.3692760544753	14.6791364228754	-6.4406521490195	20.514494283421	15.9450311711186	-8.22895291849608	20.7085182329777	16.0162644591414
BCL2L1 BMPER	-5.39396043831275	19.9842417485477	16.0566917787023	-2.94274104160535	19.5212851648696	14.1577782431693	-3.88769416204154	20.2391914953052	15.897442500905	-3.78041737558242	20.0215240828046	15.3440419984835
BCL2L1 BMPR1A	-2.63900455203086	20.0839657395731	14.8635225713102	-4.31025657381303	20.1541413444734	15.0065377927497	-4.37255435787564	20.2669015301808	15.4428229759301	-3.25598208812647	20.3538494000188	15.1790503388117
BCL2L1 BMPR2	-10.1794033102795	20.7197187840872	16.0775699632163	-4.64754029748619	20.203097841632	15.1161847862608	-7.74669998963633	20.9571274189833	16.1836314316905	-8.08870132367484	20.801325055658	15.990441520313
BCL2L1 BMX	-16.7966394196964	21.6500206806787	16.6726140542633	-4.54052707818249	19.5333951997264	14.6456076660726	-9.41159388005413	21.0920071478495	16.4042494017952	-8.89897557799053	20.7898555654528	15.9904371674882
