protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
BIRC3 BIRC5	-2.83621704604299	18.9982367316712	14.9250275421306	-2.58568141767427	19.0869770722147	14.4240579753202	-2.07858934934431	19.7447309396768	15.0996766484959	-3.62100957739614	19.5952260121943	15.3071845548207
BIRC3 BIRC7	-4.01571561600722	19.6649013296137	16.5489325173335	-5.41428446299545	19.9299507603686	15.605693038858	-5.24035020250191	20.1792173622993	16.4479023514393	-7.20503117520428	20.2426823391703	16.5549640807769
BIRC3 BMP1	-0.0869072050227302	15.8887995316416	12.3751398205531	-0.260039902794448	15.9879119408856	11.8220054597904	-0.185821371273062	16.123433559941	12.4030430838563	-0.170833669304668	16.0777098375315	12.3115142360486
BIRC3 BMP10	-1.44052176832151	18.6728408014561	14.344210399406	-2.24723735953409	19.4573816566734	14.1063417710793	-1.98335164905622	19.2413106424361	14.4657548255611	-2.28872010707478	19.4084490328508	14.573258951137
BIRC3 BMP6	-1.98702722296181	18.1773537631961	14.1893982824332	-4.4358341408213	20.4746554080712	14.8527498859506	-4.07136806986315	19.9229674001804	15.4233408078071	-3.86370630776009	19.754070896119	15.1794879333364
BIRC3 BMP7	-4.68562480439009	20.2798043290142	16.559719981292	-6.9849332219392	20.1333586034429	15.5268238525827	-5.81346940013007	20.3660579138933	16.4924312519389	-6.36702516623575	20.3918123828915	16.4562872639059
BIRC3 BMPER	-1.53240545683612	19.184738444348	15.4796238689303	-4.8675640948782	19.7028346871723	15.1902235900911	-3.69253964365023	19.5773755027056	15.9619728483606	-2.9909170991803	19.5805121739119	15.7200185608622
BIRC3 BMPR1A	-0.948415785902796	17.7186575164271	12.985808984401	-3.31883719568726	20.1139476785091	15.0755512103066	-2.54458606409117	19.241146093453	14.9042954137086	-2.0116798120811	19.1559990665067	14.2969487728002
BIRC3 BMPR2	-4.66950540274351	19.8821628621953	15.7888211656329	-5.92161396288295	20.1790361804208	15.463973538838	-4.58473622956584	20.1562073192616	15.8881420151904	-5.8477577095351	20.1073083327911	15.9415944051261
BIRC3 BMX	-2.41283733785686	19.3708490911116	15.4496157129025	-4.04754711106126	19.3313787576946	15.418808500499	-5.54844515015845	20.3614085700448	16.3529085505631	-4.54715293294803	19.9402728919221	16.0265285465251
BIRC3 BOC	-1.20379167017267	18.0564414575548	14.1397254726817	-1.22476692423231	18.0908505117364	14.0321593138445	-1.36401625702881	18.3855956884038	14.6032624596206	-1.43957725559829	18.294145616244	14.6292886926571
BIRC3 BPI	-0.723986757180345	19.0680861112945	15.2632120576231	-3.20563450305123	19.9573823712068	14.8085385696348	-2.54208424051643	19.8526082246294	15.9658066180064	-2.04573706874492	19.8258948212461	15.6592262202309
BIRC3 BRF1	-2.13715284283089	19.4078670933789	15.9802048172229	-3.58410061753292	19.3593028363811	15.4017198535154	-2.62775370929214	19.5124294175014	15.8983984528282	-3.76343968136222	19.5184541656708	15.9729924210473
BIRC3 BSG	-2.41577665442394	19.600684928631	15.7545530676786	-4.92766013959759	19.5032908629693	15.3942365419474	-2.93573380848542	20.1838908235255	15.9370144269418	-3.96911400173596	19.9383771559505	16.0203977840452
BIRC3 BST1	-5.03959155911485	20.4753327446396	16.3600666888179	-5.06247638387695	19.8075084858898	15.6034150344761	-4.72199229036384	20.3640087585253	16.3825236167019	-5.86058537432991	20.2735187462735	16.3490463413828
BIRC3 BTC	-0.718872896152174	17.8466853364974	14.6550064415734	-2.63057832336093	18.6198372494297	15.0072280898865	-1.29622777697029	18.5513823037826	15.1874186322143	-1.73503519513707	18.4445156895976	15.2273618568558
BIRC3 BTK	-1.91568435947057	18.828897716084	14.6737878187547	-2.01398519959349	19.3023892115364	14.5094758771807	-1.97987630222518	19.7276253070075	15.1362206730528	-2.18055140422317	19.3366657871135	14.9284384285251
BIRC3 C10orf54	-2.97812817608458	19.4099826067707	16.0234204258251	-3.16625540732634	18.8114878658347	14.4961175426862	-3.63205350149609	19.7151564660777	15.972413343565	-3.18126862493769	19.2825939583064	15.5282411113661
BIRC3 C1QA.C1QB..C1QC	-4.06451883930784	20.0303018954447	16.0057768070727	-6.95528001275259	20.6158058905053	15.6837143116819	-6.4799484994547	20.6536725720896	16.3502717182038	-6.69407270232693	20.4815159244932	16.1956838638912
BIRC3 C1QBP	-5.34356617239637	20.7462648589989	15.7775182107194	-1.81150236264795	18.7012604076931	13.9417544856683	-5.85030373710901	20.7241883149831	16.0660853685524	-3.96568663647115	20.120783612847	15.4289634771395
BIRC3 C1R	-0.476658044761864	17.6947370170538	15.1628271342529	-1.13617475175591	17.6060701642146	14.2626036959927	-0.860516076430541	17.9522346506544	15.1580746851721	-1.03918614552637	18.1768036412214	15.2181131280306
BIRC3 C2	-3.95626716464644	19.7798370682644	15.875312436032	-2.29670700683295	18.9716661464607	14.87552350123	-4.40970902889039	19.9015003538602	16.1401571985291	-3.94592693372039	19.7434379533041	15.8515235168211
BIRC3 C3	-0.174208233805409	16.467121253577	13.6989851059217	-0.591465612202072	16.9645389289378	13.0576164555975	-0.40469690729837	17.0635100367553	13.6681459654198	-0.458341535718974	16.9255935709248	13.6219134419611
BIRC3 C3.1	-3.4241317710717	19.861918289497	15.7533267375439	-1.30983112583487	19.1549603561295	14.0432925900029	-2.12563742743821	19.4499665159863	15.5002458972024	-2.57126278636428	19.5755429352617	15.5291121678236
BIRC3 C3.2	-3.2496784303416	19.9669152284243	15.7794732263477	-1.4152352685309	18.0552445443843	14.0364954875427	-1.48712623317544	19.2493889035208	15.4865459195485	-2.30415952032549	19.2117114292163	15.4369914487678
BIRC3 C3.3	-2.5902555421423	19.4038743190387	15.4923169730242	-0.299945677603288	16.1401151935422	11.5186685787863	-1.21555785370105	18.4848819174914	14.2518667426374	-1.36888121622773	18.1285807829226	14.0154544555119
BIRC3 C3.4	-0.588963352841366	17.3647689994799	14.2562639575194	-0.534590458797768	17.6626237194142	13.2480036080442	-0.749240411082974	18.0213481147775	14.0615814450123	-0.719218117431073	17.82060623268	14.19392486074
BIRC3 C3.5	-2.1970230043114	19.6657054763338	15.7402922574216	-2.05964249950304	18.8785213771134	13.638727029375	-2.36360953322415	19.7816155403804	15.3826245029	-2.59271029770802	19.556058683257	15.0674589716727
BIRC3 C4A.C4B	-2.75458697490096	19.808692835147	16.1978228943895	-7.24343186448235	20.5651970668158	16.0579800605782	-4.47406075243043	20.2199741313577	16.3001228029997	-5.56174118258385	20.3733934678418	16.4629045319391
BIRC3 C4A.C4B.1	-3.97890062616787	19.4490715571304	15.074995438464	-3.12982849418595	20.2790059733357	14.6983254333714	-3.40972715202924	20.0225646005891	15.253462798312	-4.63716569722847	19.9007891168748	15.3382210295709
