protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
BMP6 BMP7	-3.50986933525006	19.5315599305395	15.4889324331629	-9.07183863146266	20.9808948297851	15.7340224079325	-6.01987698177095	20.1481245953287	15.7190089068837	-7.70053172783679	20.6970137973356	16.1424287705433
BMP6 BMPER	-2.77681437704495	19.1959571940054	15.1460338593101	-3.12996722325889	20.5713057137966	14.7172257028701	-4.50394218288216	20.059437879879	15.7064222043709	-3.24019486625753	20.3799179359785	15.4666898867932
BMP6 BMPR1A	-1.30376285736875	18.2296356098876	13.8130026853784	-4.79510332368337	21.5798339799793	15.2890695209091	-4.18063350021679	20.3434198210279	15.3751900476452	-3.5294057824707	20.2437491460165	14.9971868322334
BMP6 BMPR2	-6.39067106300884	19.996911304676	15.8580732374762	-7.59332967967083	20.902197804115	15.3712505312883	-6.71089664102091	20.773415146196	15.9187184382695	-7.77604023718241	20.7632548246992	15.9895534322472
BMP6 BMX	-3.99565406301443	20.0348649917093	16.0995276075106	-3.22914943108876	19.9696989510082	14.4717195250006	-6.48763663592231	20.709903412477	16.1749297327658	-4.18258616267024	20.7867808680321	15.992067118596
BMP6 BOC	-0.906007297843624	17.8661324606735	13.9016391632978	-1.88458976799563	18.2438463000874	14.2511600138923	-1.18074451261729	18.0918377142598	14.2941819526779	-1.82617449614213	18.7639935117435	14.7437521310657
BMP6 BPI	-0.202804594418924	16.2996178257023	12.9824231503037	-3.65660361166781	19.976819600243	14.2327486210756	-1.65856974554395	19.2034554667158	14.5674341651794	-1.87888519339203	18.8399591125742	14.3691137378851
BMP6 BRF1	-2.82437378314592	18.7710111379432	15.268805912116	-3.21352361402503	19.5490330571091	14.3454960894024	-3.47939243377539	20.1564011008947	15.6891804954065	-3.99336519243531	19.6434201729699	15.4215386904369
BMP6 BSG	-1.31299110475218	17.6576758772528	14.143529943649	-4.68571317178765	19.6723906395693	14.7446820904081	-4.18335770097663	19.8383456662218	15.6792629485151	-3.9773362942198	19.3942664377793	15.3907564850608
BMP6 BST1	-2.6283127419784	19.9760575616686	15.015478231332	-6.06816997775123	20.7486353276606	14.8235190767287	-5.07227677860107	20.1446897320475	15.7433703144929	-6.06713781995519	20.7462781088661	15.6460334088165
BMP6 BTC	-0.441694155263259	16.8476598293594	13.5922210246547	-1.58204428349204	18.7274574666602	14.2012801987138	-1.20505851997598	18.4909492754121	14.8759144572317	-1.13900332850096	18.3027324967596	14.601797548957
BMP6 BTK	-1.58638354519502	18.4071343792586	14.4544206242381	-3.13380006599055	20.0410348665354	14.6322964170403	-3.58876412687778	20.0773391646685	15.6273326495243	-2.84718278101812	19.6157158653391	14.9774091013695
BMP6 C10orf54	-1.50219164371725	18.7530261989915	14.7171709710221	-4.34306045794199	20.3165505405099	15.2155250721415	-2.61502066783197	19.3749520924593	15.7321196255156	-3.44639812856004	19.8283472484737	15.547294721346
BMP6 C1QA.C1QB..C1QC	-4.10671546071388	19.983454185665	15.5890940152542	-13.8719821898318	21.3032363280211	15.8449907659745	-13.9719486830473	21.439384430744	16.6241006990507	-10.4290695334245	21.0352442500971	16.2316036028754
BMP6 C1QBP	-3.00853475671953	19.7799876077491	15.2586458578591	-4.07229280774904	20.5011282320989	14.8813112469766	-4.19772243603058	20.515003232715	15.5359698439276	-3.91300061546691	20.4756645560626	15.4353907707116
BMP6 C1R	-0.615339545644383	16.9159249463664	14.2119463910465	-1.47799687311363	18.3385535633724	13.8565190173401	-1.08884901829858	17.9151949015577	14.571074292251	-1.16826447522109	18.1244454867185	14.5612349968654
BMP6 C2	-2.62075065908436	19.1640556331465	14.4538720010748	-3.79971669696526	20.0513627582135	15.3001164442191	-3.39220915066881	19.9775319847432	15.5137246872062	-4.67248973835884	20.2355266690414	15.5577622210723
BMP6 C3	-0.18659802288722	15.9196072142552	13.1300475531102	-0.600148651558827	16.5625328472129	11.8346108719196	-0.327436036026733	16.6975790579551	12.9990120172658	-0.310442670037324	16.4364354943354	12.8546122571002
BMP6 C3.1	-4.7613356822194	20.3385327959501	15.7469764231174	-4.38486127345859	19.6695826543578	14.620554213543	-3.20434272195742	20.2707657905267	15.3658831896387	-5.76508715596201	20.4489488990131	15.6460008382366
BMP6 C3.2	-2.91481052013704	19.4181664962558	15.0075897061928	-2.4936635684845	18.2746510641794	13.4102205401231	-2.51395407494969	19.1654236510304	14.8289244376166	-3.39686743918636	19.3856126419088	14.8827365993176
BMP6 C3.3	-3.45999799419936	19.0725074028932	14.8864702926161	-1.02811271004694	17.5514372147005	12.0419724083322	-2.47952484184344	19.4897593376415	14.6499363702394	-2.39416525721888	18.7586517757951	14.0009453027876
BMP6 C3.4	-0.8608799289727	17.1630607754034	13.579342760591	-1.4308858250601	18.2642404769514	13.157201066655	-1.17598538442083	17.9990125820696	13.6088092348417	-1.40947676348015	18.0156971767911	13.7104247101484
BMP6 C3.5	-5.65106765778322	20.0175077877162	15.8614095845557	-2.32789930499271	18.9538317985956	13.2909578331594	-3.89975648946186	20.1171160270771	15.2254879684667	-4.29012665098642	19.7720378399046	14.9744722304448
BMP6 C4A.C4B	-4.14083891946434	19.068018784383	15.4876624665535	-3.84542878344828	20.0352967561244	14.2017727825664	-4.20211981604059	19.6783089838249	15.3477210898041	-4.99294338796558	19.8041311975266	15.3521186229136
BMP6 C4A.C4B.1	-5.83787375868006	19.8447397549043	15.40027210559	-10.2061121122166	21.1375681800221	15.6361974875897	-8.95046897007041	21.186600144249	15.9987212096243	-9.25789218351275	20.9595178177098	15.9916207293497
BMP6 C5	-1.36351011722621	18.4585479258613	14.4648190059723	-3.63131696107633	19.4054574516186	14.4854148283962	-2.1438835499814	19.0680027187123	14.7256396172802	-2.39620436109116	19.5927053300632	15.0649236400165
BMP6 C5.1	-2.20620336651471	19.1450034967122	15.4045426088535	-4.9475185572492	19.7774563211166	15.2651004410373	-2.11652009422629	19.4788840897661	15.3959177404244	-3.82036214118001	19.6946414528492	15.6852798408626
