protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
BMPER BMPR1A	-1.86806517048348	19.3825870730404	13.9944451372999	-2.69805649842865	19.7731856025345	14.3720516039032	-2.22291011591105	20.0932002447556	15.0344722674989	-2.2943595301544	19.8320579597356	14.4925448426833
BMPER BMPR2	-3.58683850626665	20.1803560993703	15.5376762783609	-3.48220382507915	19.9807097829265	15.1179701786663	-3.85999387158028	20.211375083975	15.8141479833348	-4.00450624212549	20.2620891800095	15.605499121802
BMPER BMX	-3.26642886355235	20.0448900620141	15.432990297456	-5.77075251153557	19.4277997254627	15.3611505809718	-7.41783480888091	20.6014238618784	16.4220843370883	-5.60055832392674	20.1722243910509	15.8406820313329
BMPER BOC	-2.68270157108811	19.5414933774865	15.3496527100984	-1.51662937440279	18.2571892451876	14.1592307709809	-1.96148221929845	19.3149031008612	15.2397480656871	-2.30755042566467	19.2119406835273	15.23825687632
BMPER BPI	-1.36876108231023	18.856199433302	15.2993601794763	-3.54121350231422	19.9486879606011	15.3359734929116	-3.28569522311557	19.5258602648959	16.069330522933	-2.67534445919681	19.555086159061	15.7096519998514
BMPER BRF1	-2.61048835001812	19.4588142634241	15.3372649071769	-4.14693227774081	19.5712112535644	15.0348110559674	-2.76566213369197	19.4738459626505	15.709957962629	-3.81962516809728	19.7996290845696	15.5590749088444
BMPER BSG	-3.01333649669724	19.7224566357927	15.192211515534	-4.91986721480388	19.5155940422113	15.280615516566	-4.61107306360504	19.9153014761744	15.7038625437637	-4.57622230744781	19.8756720774474	15.6561072876401
BMPER BST1	-4.93610929902147	20.2539206326184	15.8953877102754	-3.21946360172943	19.7577489895596	15.0607930721611	-3.64839265806872	20.3289298197441	15.894296062331	-3.88838088078195	20.2028299707995	15.7129083413144
BMPER BTC	-1.62677795354498	19.0516476204715	15.5592994968717	-2.14341579462355	18.3697480205856	14.5877129743367	-1.97527340453741	18.647634115836	15.4937767670205	-2.07540716025869	18.9775732925363	15.3965104775431
BMPER BTK	-2.84248191911133	19.8926243875518	15.3439261827009	-1.68652874510311	19.2934035871662	14.3177392725896	-2.46248571071103	20.4100308133228	15.8920740673075	-2.15922356038809	19.8969391842905	15.1472465072389
BMPER C10orf54	-2.36735520869206	19.824087172538	15.9281377562698	-2.84379503582571	19.6747276866481	14.8198031270405	-2.88490731563703	19.9665940327357	15.690475965579	-3.14983070519703	20.020749135869	15.7307389591131
BMPER C1QA.C1QB..C1QC	-3.01408798558974	19.5078106576471	15.268580029525	-7.61003547443351	20.4368038190558	15.5133075785567	-6.60028314188883	20.6381190614823	16.3074530656182	-6.99929379125984	20.3188099355555	15.9149919126669
