protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
BPI BRF1	-0.764673034976702	18.4816946574367	14.5964963114191	-6.46284554677046	19.7992655562761	15.4805082986555	-3.02487119480347	19.369664982379	15.8108947433426	-2.20904469418662	19.3194760925193	15.3148884093114
BPI BSG	-1.14702276660948	18.9253556639121	14.4374995837604	-6.08004818865762	20.4174822659048	15.1706979324519	-2.64002816702587	20.088404345045	15.2395314612629	-2.77576964988324	20.0053035526265	15.168845837578
BPI BST1	-0.812562208234247	18.5283464731302	14.6028934444066	-2.78936822676685	19.935697688052	14.8059787671746	-2.05740604661114	20.1319816052113	15.7933249718921	-1.58195812666599	19.5781674149545	15.1259504129506
BPI BTC	-0.479113539125543	18.3717417754661	14.8616693084867	-2.42325722410083	18.602892728376	14.9698386656388	-1.70840132675311	18.7604656101571	15.6649092683871	-1.23482654095821	18.6820319073166	15.1431673133472
BPI BTK	-0.895529513802946	17.7641827208899	13.845130809853	-2.09427701225389	19.1517923772189	13.8886174514585	-1.94463944170841	19.0932896730406	14.8238850539727	-1.56421532735074	18.8025746160704	14.2909143571627
BPI C10orf54	-0.914043712814306	18.9282826916566	15.0425107617814	-3.30117952903132	19.7014395655281	15.0354764877006	-3.60822824901085	19.8425122424602	15.8513637231146	-2.22737661441658	19.5381803278299	15.4851762845024
BPI C1QA.C1QB..C1QC	-0.944034569246709	17.7133336642618	14.2998524841616	-7.12435159254328	20.7213467638991	15.5607697399526	-3.77896593335308	20.0485878106294	15.6602887079306	-2.56293253751428	19.6040705937567	15.2633630819084
BPI C1QBP	-1.70315280593801	19.3014293133143	14.0401822982906	-3.86517316963718	20.2861035158616	14.9032802002728	-3.32696328125385	20.4417600497386	15.6708310416773	-2.78312043708977	20.0589426194476	14.8547094878067
BPI C1R	-0.727420690218072	18.0769523502005	15.1641157883012	-2.03809170749186	18.784061170921	14.9807073558049	-1.02896137381737	18.4951232336448	15.6766707663579	-1.44778501584802	18.5780868680101	15.4835585824969
BPI C2	-1.22801644012874	18.3835349432907	14.9813150364476	-7.02111030405535	19.9164932768939	15.6698882132923	-3.04670642975887	19.483502039674	15.8570663859921	-2.82519438463387	19.2744741856819	15.6916621448001
BPI C3	-0.436829961474853	16.7861044270285	13.9927829075059	-0.340754679575622	16.8321994128828	12.697591447356	-0.532880035947405	17.3400076690073	13.9001736766069	-0.366280298950804	16.9365700123978	13.5580775037707
BPI C3.1	-0.948821031555044	18.5401708097097	14.7947460403862	-3.43680789491613	19.2526726927225	14.7612237059288	-1.89447337211313	19.128384714322	15.1124056697647	-2.07850541266183	19.1797114815605	15.1415134105307
BPI C3.2	-1.14309292901438	18.2042463880715	14.6286813005868	-1.97106849636601	18.2329068025208	14.2680482951381	-1.70510703296565	18.920493398411	15.2303332887277	-1.76146225937385	18.6896739754902	14.8724499016217
BPI C3.3	-0.722888737707857	18.9260825743933	14.8061532903246	-1.15479573060852	17.5225807419043	13.0503911257518	-2.15653612530604	19.1772712586966	15.0262874204412	-0.912818735749542	18.469509685509	14.1689511003446
BPI C3.4	-0.812198008765896	17.5624766185827	13.9530085274489	-0.927037914158124	17.2543118598289	13.2765823829576	-1.04916393341334	17.8079592342929	13.9885861601474	-1.10956351990568	17.8609009115421	14.1317683994283
BPI C3.5	-0.530855226171256	18.5788189564311	14.3151581791035	-2.09520973717578	19.0183732982107	13.5387603502686	-2.08767468324805	19.3691156626708	15.1180777539915	-1.20585568002108	19.2169570997027	14.3541593400227
BPI C4A.C4B	-1.16863082607706	18.5139484832164	14.9185385235948	-9.74222746652442	20.5414233040483	15.5127480676822	-3.79584212941914	19.8441184629872	15.7474203556046	-2.83270144888564	19.9697496815971	15.6970000083683
BPI C4A.C4B.1	-1.60929938842475	18.705162525058	14.8112276959531	-8.82669527781632	20.8673080052927	15.6505399248124	-3.89805464647915	19.9720028776745	15.5299129609234	-3.84364896807558	19.9892131193839	15.7688040793042
BPI C5	-0.621289006427511	18.839318364088	14.225161634412	-3.39360212174817	19.2611102138427	15.2870845296942	-1.42270584441047	19.0265240410993	15.1955522545194	-1.38167614882756	19.3136515521282	15.0903530948167
BPI C5.1	-0.807298009389017	18.6462285622227	15.0753342937366	-3.53728390985691	18.7003581430436	14.8118625983368	-2.63891839980416	19.2066756391722	15.6500446764296	-2.16972071038387	19.1447425812143	15.5152556980824
BPI C5.C6	-0.682869976877259	18.6378411224684	13.8087309312187	-9.08689306138093	20.7163871373502	15.8632954090671	-2.34594015741186	20.0569213361689	15.3468738223812	-2.38303482464557	19.8167403473325	15.2961820821294
BPI C6	-0.596504977916543	18.3768264748811	14.3650163432229	-3.70611103190129	19.8385932619601	15.4481141573113	-2.06268794175609	19.2713318021838	15.1524625629719	-2.05271403730849	19.5055550799876	15.3533608083984
BPI C7	-0.190465575132763	15.9521974285007	11.9257091285469	-1.94184631265121	18.6376907619926	14.2635234811857	-0.777071061834475	18.0689486559092	13.7586330368973	-0.784202175380163	17.7004465976498	13.5869736721739
BPI C8A.C8B.C8G	-0.953654885608095	18.7413271510221	15.0673572143097	-4.80597750327587	20.6413418006559	14.9352646780486	-2.63488868968417	20.0700317432879	15.6956241140014	-2.18319027094187	19.908148778896	15.3281126152173
BPI C9	-0.186812526517162	17.1384898901981	12.1606565448496	-1.07000517869544	17.5838343699046	13.0122922928394	-0.527323478492406	17.6664266480795	13.064345902568	-0.635034891744311	17.4846465936624	12.9291010169252
BPI CA1	-0.356425110350761	16.7856163800957	13.3894136770311	-4.52115752416613	20.0597126464995	15.4451438946924	-1.64675366097515	18.9543036633848	15.0890997213052	-2.05934812377545	18.8648559901817	14.9399975510112
BPI CA10	-0.739350255945927	18.2537678647034	14.2225817353319	-4.43189066713435	20.4005808586471	14.5221075103375	-2.39168541163308	19.469355969176	15.0055160577425	-2.07808934591793	19.5940994236627	14.8869239258326
BPI CA13	-0.740198996518823	17.5418546799294	14.0439828396475	-2.89472857684665	20.0851768662964	14.6862574010275	-2.61285774083345	19.3257838220553	15.1272778134807	-2.08856253087943	19.1047000042173	14.8183605392403
BPI CA2	-0.617411746411317	18.6853246863309	14.5181232242694	-17.1158955425207	21.4303953961922	16.4230454262436	-3.08118615029449	20.0082016438209	16.0874464652069	-3.13222960422911	20.0761834755927	15.8535146826443
BPI CA3	-0.238159296487702	16.4746794075203	12.4944217446251	-0.739219725772597	17.2287986746937	13.1869814418439	-0.602550015616004	17.5270398713226	13.5613083737385	-0.331718861957539	17.0045285424202	13.1326210349466
BPI CA4	-0.741790988291066	18.7271194608786	14.6567210115499	-6.65319504141415	21.0898925536715	16.0112796622913	-3.57271747190078	20.1385152846487	16.0265138990809	-2.57149997496756	19.9494271461857	15.6789552139397
BPI CA6	-0.0828434891634886	15.9646620057138	11.873095224767	-0.761325997189192	17.46059849511	13.2349383496994	-0.514495715173	17.0957392443878	13.262720490118	-0.520377167708628	17.0062407402686	12.8736920907049
BPI CA7	-1.04303070947078	19.220249240792	15.4891246600299	-5.49301634996189	20.9264578943068	16.0396712977306	-4.27400029833219	20.4455595595275	16.3440102620108	-2.88357265931926	20.2873362526904	16.1338595744932
BPI CA9	-0.380283276834738	17.711090896875	14.1690015812995	-3.99288585403641	20.7069603681499	15.1340937884779	-3.50149355601529	19.9299085173354	15.9437003537962	-1.43302703662867	19.5801191447253	15.0883222348525
BPI CADM1	-0.756856936161797	17.6120443397154	14.0869884757851	-3.71414757349497	20.4141800657485	14.9212862921596	-2.60138476105965	20.110378244513	15.858943107215	-2.17161040969437	19.3105204622694	14.9810493510979
BPI CADM3	-0.199684330719272	16.8247777983463	12.7847294656705	-7.30932943677857	20.0447756634602	15.4183269313906	-2.26392527969903	19.734138413351	15.1935325067055	-1.90870773229091	18.8974748029471	14.6872967864152
BPI CALR	-0.411593609354169	17.5876547364232	14.1579457111555	-8.13108764633464	20.3613903152728	15.7821130358904	-2.26218653587931	19.3042845378679	15.6599970813812	-1.93894309906163	19.2417820992054	15.3987390323178
BPI CAMK1	-0.648798748063746	18.1904159071453	14.3462055115331	-7.473161888923	21.1679236931974	16.0980935173125	-2.32549916680049	20.0451964003742	15.8153936352464	-2.4219548996722	19.8624913013446	15.5059700057748
BPI CAMK1D	-1.06691594327917	17.8583103897541	14.0023761323266	-7.01662477949681	20.6315169097753	15.9277992945658	-2.63882677473254	19.6368370338154	15.3594993758856	-2.6914544177677	19.887101774566	15.6715293392265
