protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
BRF1 BSG	-6.79224814309444	20.3109139356066	16.4545441991914	-6.40937480671931	19.7639895233193	15.2974605667306	-6.45465222596481	20.2316317892307	16.217653655693	-10.481128175006	20.2283148862691	16.3087676247893
BRF1 BST1	-4.97452842565735	20.243475951252	16.1594247497916	-1.67444747118738	18.9888473148021	14.1033708694142	-2.84933565817364	20.1100791385079	15.7669865790784	-3.49049218270156	19.91088572721	15.5570042996283
BRF1 BTC	-1.04772124531518	18.2801019246794	14.9591863305453	-2.90046072405185	18.8771247021042	14.8583907414819	-1.50600407879587	18.7232128081327	15.2884187672938	-2.24572139837559	18.870064609485	15.2898056526255
BRF1 BTK	-2.80472811626602	19.3555598462218	15.3871905951749	-2.54291756797801	18.9025525734995	14.7378712930724	-2.780228137361	19.4232220986671	15.5203369012328	-2.84313638407409	19.2911798906673	15.3898890517809
BRF1 C10orf54	-2.61279521233942	19.287911253891	15.9177083118203	-3.6382423923163	19.2619077882203	15.2747098148571	-3.44771845760764	19.4050986515499	15.9580942206803	-3.79775755799612	19.5076898890942	15.9586715155397
BRF1 C1QA.C1QB..C1QC	-3.30019242521135	19.8528357531421	15.8621937034051	-6.56394527437379	20.0824859318651	15.3432073898134	-6.96886860950139	20.5230967868273	16.2560315750515	-6.46350960770019	20.289761871893	15.9792751796857
BRF1 C1QBP	-7.21101904968298	20.9211451655436	16.2235124471979	-2.3692317728749	18.4453696411183	13.9733887288514	-3.32560827514598	20.3513548672419	15.6441851608051	-5.26850355668616	20.1577332850479	15.585538654945
BRF1 C1R	-0.70698667956897	17.9137310237649	14.8498957544343	-1.8803909603953	18.062256212378	14.6302213837951	-1.55601193321266	18.2986159225229	15.3005212735635	-1.76435273602617	18.3465992740348	15.1897492142162
BRF1 C2	-3.7979413475794	20.1379813711906	15.87096493228	-4.22642227788438	19.4463038958181	15.3315181385979	-6.17233541267048	19.9793048365545	16.14440343435	-6.13328049134698	20.0161955589505	16.0783508866521
BRF1 C3	-0.490585179246188	16.9617907123667	13.7027138940589	-0.889462399118634	17.3043436532772	13.1961745596203	-0.794012529919759	17.4443373834473	13.9791655395359	-0.899097146202926	17.3340021888849	13.7549812786665
