protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
BTC BTK	-0.637491485479867	17.4821446196862	13.9700059019953	-1.18748673088677	18.7364965734608	14.5866928365145	-0.891047762179632	18.4737604665351	14.7354416897426	-1.05283265471316	18.4277200324716	14.7424453017005
BTC C10orf54	-0.65546756017471	18.4876563276515	15.0964490943436	-1.81320297415209	17.8703884199938	14.209252208178	-0.905617584994556	18.2218841976305	14.8648905691299	-1.34398138009805	18.4969272003064	15.0272936920028
BTC C1QA.C1QB..C1QC	-0.568390185634585	17.5113211633975	13.905752465522	-3.00071050510124	19.3673753862339	14.8926992376999	-1.71894005151962	18.9249344713856	15.1738706591608	-1.90589357553594	18.6959910918671	14.8741352362033
BTC C1QBP	-1.81633278360905	18.764417435871	14.4565117266164	-1.04225639674166	18.4177409950156	12.9288225515244	-1.58632164996088	19.0033459603202	14.5520512200801	-1.44120624279421	18.8902327739879	14.0381089111104
BTC C1R	-0.855886728912969	18.1773332581604	15.4931923426007	-1.54937754822166	18.30101054274	14.1370031934917	-1.25513057907153	18.4729288374123	15.4502434153195	-1.513478505435	18.4655218136991	15.1794678312693
BTC C2	-1.50533442527709	18.4081259880255	15.1021192977455	-1.93992185941468	18.3912094486346	14.5882733665968	-1.46816590513982	18.6560194806425	15.3142467865648	-1.76320434002754	18.587970244776	15.0943043743717
BTC C3	-0.347833697079614	16.1794228213844	13.159320029166	-0.418960344557459	16.7555642647928	12.4638202192221	-0.501674172650748	16.7045882278561	13.2933984363748	-0.473643903172755	16.7666132672313	13.1440318495955
BTC C3.1	-0.9022725647062	18.1577302292428	14.6938676220718	-1.17175897499963	17.6083412039618	13.9410344722327	-0.84141861657203	18.1030927911061	14.7775719954499	-1.17202346814031	18.1990437951076	14.7808510786339
BTC C3.2	-0.575535156776563	18.1731950381522	14.3366445397319	-0.943330460447433	16.9044468999133	13.4635303651964	-0.748356537755125	17.6647028855503	14.4950890651346	-1.03960786740242	18.125500434382	14.4261808658118
BTC C3.3	-1.27639969602595	18.5190776322716	14.9516806677931	-0.321481788937593	16.42513136288	11.9657309994701	-1.01693425640916	17.9199762276166	14.0593648948827	-0.849190019133333	17.8507283120941	13.8758439101809
BTC C3.4	-0.411005085440092	17.0535688917008	13.3765053218323	-0.201201729084985	16.0582078926338	12.0793983114236	-0.460754645859054	17.0218104956601	13.4116076042282	-0.53411881669132	17.0046037446161	13.3062880732627
BTC C3.5	-0.608613489228226	18.7753666648185	14.6372448765683	-0.895529667924256	17.714190365081	12.9348911269502	-1.00246613915773	18.462590816809	14.5860414668313	-1.32453715737529	18.6271246151242	14.2839956908004
BTC C4A.C4B	-1.23679873521276	18.6533381475764	15.5306949615199	-3.13882351083474	19.2141824937747	14.5873769925387	-2.26361800974222	19.0756154074802	15.5971641402516	-2.52190645175211	19.2545768708922	15.3982612874583
BTC C4A.C4B.1	-2.12408640832939	18.4593967405839	14.9105383596575	-1.9998111741085	18.6222051173678	14.4502777839098	-1.91139587476909	18.780323271016	14.8646462623855	-2.24668010674698	18.7657514893363	14.8944668718899
BTC C5	-1.04335361558186	17.918716068619	14.6448453450108	-1.54315248468924	17.8403402817916	14.0721499309569	-1.95837647026057	18.3292124344267	15.1209641295147	-1.58460711014366	18.3700439629154	14.921521668159
