protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
C4A.C4B C4A.C4B.1	-2.74287907221657	19.5215182759322	15.3875858277194	-4.04692332065738	19.595505771999	15.0456150739058	-3.98323067061131	20.0057099014263	15.6769320612176	-4.95849937103439	19.9515815550554	15.7788324756416
C4A.C4B C5	-2.2310568169882	19.2265273565852	15.3939112945912	-5.07146709926375	19.2484158748773	15.2787511438775	-4.01198890691935	19.6387982750564	15.8220889569878	-4.87600611188817	19.6430372966353	15.8591568069111
C4A.C4B C5.1	-4.60074560191823	19.7138875635718	16.0973529476944	-1.79578170482587	18.8623748776017	14.6142464091927	-3.37976914241391	19.5710947846053	15.9648927303918	-3.24559313440664	19.6029385390117	15.9006439662214
C4A.C4B C5.C6	-3.82414384484757	19.9919903369175	15.902263996234	-7.24169790155004	20.2815764732696	16.0314030026639	-10.8858005549724	20.6178443938682	16.7614195196439	-8.70234399056064	20.5595457064712	16.503937685542
C4A.C4B C6	-5.09387631092655	20.401356351683	16.6109632164757	-13.7851047478509	20.4007844897852	16.0337375520848	-9.82490082279437	20.6242365573063	16.8271751976919	-8.8120385281587	20.725581048188	16.7416655501084
C4A.C4B C7	-0.461488956651418	17.3839262134499	12.8838303378115	-2.1515035719655	19.0423190063381	14.4121849534948	-1.44266990234837	18.8461435749244	14.3215307516749	-1.24914831299619	18.6522328784463	14.0371812906784
C4A.C4B C8A.C8B.C8G	-6.2309452587175	20.0834152318853	16.3550125439876	-2.40366429529728	18.8145569363002	14.2980031189013	-10.2761023428895	20.5910616476601	16.5871365759246	-6.0594610174386	19.8367405066412	15.9472590816772
C4A.C4B C9	-0.555769727163428	18.0727586346336	13.2908734397447	-1.33464232796528	18.1060963263486	13.6623434835468	-0.722911943469314	18.5426451826031	13.8480045217541	-0.89374729181544	18.1681901096146	13.7515627385226
C4A.C4B CA1	-1.5057591789974	17.8339713610772	14.7697935597615	-9.71392123170469	20.8325202483205	16.1218743347095	-3.24883617105557	19.4750769101469	15.8675619582623	-4.48730154812133	19.7843390029351	15.815482458436
C4A.C4B CA10	-5.36221253465872	19.8862075901913	15.8742784491763	-3.12672105345763	18.8807358825736	15.1090114732288	-3.38020516158272	19.5303143159615	15.8451645192427	-4.70026478314783	19.6195281677231	15.9150343170665
C4A.C4B CA13	-1.33452641588437	18.8131964444506	14.8228496970843	-4.18887515719239	20.3725810303811	15.543887683826	-5.20382479043002	20.2178869176345	16.0893454217293	-3.12108399597462	19.9484478072024	15.6235148860208
C4A.C4B CA2	-5.13376113893871	20.3266078756228	16.5279258299916	-20.9197199076157	21.4729978226375	16.3889131801069	-14.3726825722802	21.0092590408334	16.8769088918339	-11.9168117992717	21.0670029923932	16.7995464609772
C4A.C4B CA3	-0.422881785795006	16.0385333781416	12.9250819346371	-0.666459982340786	17.7728642343106	13.0511214349899	-0.558315828708989	17.760500904845	13.8996139676817	-0.678531908602799	17.2308022475765	13.5349126413962
C4A.C4B CA4	-6.59683592785074	20.294191028366	16.5708407908763	-6.83087211302396	20.0354630345707	15.7504130123007	-11.2174841608301	21.0271771885156	17.130778831708	-9.99266503969323	20.5362332279224	16.7387916014917
