protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CA7 CA9	-2.42880386491821	18.6707443840421	15.2368799174975	-26.4895919696639	21.8580744241416	16.8172601018301	-11.7474586726278	21.2661750105647	16.7444530578728	-7.36154129142007	20.5593041457306	16.3952839154635
CA7 CADM1	-3.57071829350323	19.646671098526	15.2577880732794	-5.80067221019749	20.8461570050707	15.8868257220064	-10.4128576863805	20.947485222497	16.5263012393113	-5.11558894068883	20.5178341982584	15.9790297708186
CA7 CADM3	-3.20744095668085	19.6947175906286	15.5866459762895	-10.0261006494063	20.6957100846394	15.9210727762556	-9.44887579911845	21.1736820535075	16.5498695077697	-8.12633310620971	20.6399334246431	16.0484664771471
CA7 CALR	-1.65188762213881	18.3495626685412	15.1403596212911	-6.67595306186065	20.1751363213336	15.8297535663968	-5.05061638637902	19.915781705256	16.0149047713845	-3.78943960526611	19.6970389087693	15.8752086867128
CA7 CAMK1	-5.09191270687502	20.4634759007489	16.3106461637263	-33.9183206284019	21.5847037427367	16.5253519388503	-15.1439706168821	21.4880896835271	16.8446375998724	-12.951470440086	21.3382276566029	16.8014474329993
CA7 CAMK1D	-3.34735783664501	20.0525487659649	15.333999750996	-29.0929538768103	21.1216516825241	16.6723712417029	-8.12608144326235	20.5343627392376	16.117167275037	-14.2359471442482	20.9119673773524	16.6438088338974
CA7 CAMK2A	-4.82151425573722	20.156705769315	16.0342549772714	-11.0898084949866	22.1149245041592	16.1538331827418	-8.61430380380443	21.0415994219747	16.4320002686348	-10.7947190602578	21.2956493224248	16.5327423910238
CA7 CAMK2B	-6.32742678518366	20.3928041578728	15.9782187572037	-17.2647263361376	22.3446694298281	16.3931561914877	-13.9473786330511	21.280160260964	16.6563634524537	-11.1268792442903	21.3527654519776	16.5027154610046
CA7 CAMK2D	-4.58492726261227	20.2361667309933	15.9908905487403	-23.012619642548	22.305902558101	16.7208838205158	-10.9310162958726	21.1757554197558	16.6418461791879	-11.4466185423058	21.2874587246035	16.6694578529139
CA7 CAMKK1	-5.13669683403472	20.3687349921628	15.9785918255687	-3.30975812766576	20.420490907471	15.4039036418883	-9.40337480377499	20.6982328494548	16.4950936953037	-4.50894352094414	20.4845350562856	16.0906852559564
CA7 CAPG	0.511873260044345	13.0665895097025	10.0046614245277	-0.165780551850416	15.7822753280427	11.8146438673645	0.31926503068473	14.5932730154231	10.8380505544922	0.253533611243717	14.6858574877183	11.1758221134439
CA7 CAPN1.CAPNS1	-4.34718093933272	20.1566374195629	15.7750522288899	-4.59477536397245	20.3031601676492	15.4190921097179	-5.78702762500661	20.8797497209862	16.3331886203114	-4.93793730463497	20.6252535673265	16.1355199269509
