protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CAMK1 CAMK1D	-6.26481336506077	21.1943387183673	15.7953396650826	-19.1291824695645	20.7293945311581	16.2193075787549	-7.87236399894385	20.7433483318722	16.1462079942435	-16.4713166797523	21.2042565018855	16.6549931795514
CAMK1 CAMK2A	-9.64737434303878	20.9222024642341	16.666474937379	-11.8585319351823	21.9437705088969	15.9213451342224	-20.6813861774955	21.6624419831537	16.8737808820082	-13.6849172853852	21.6985675529971	16.6470401873519
CAMK1 CAMK2B	-5.18944503045738	20.3018774240998	16.0552857109719	-17.5870954977771	21.7703811187724	16.2287141277424	-13.1451223700544	21.3058777907063	16.6746752909774	-9.75690124025822	21.2339786162293	16.3778016814407
CAMK1 CAMK2D	-10.5188850552847	20.9344407434648	16.6544921324668	-17.9003071336223	22.1514602837495	16.3469647788573	-32.1919802460158	21.68301266665	17.1273929027498	-19.6829446664494	21.7682923624352	16.8319469033745
CAMK1 CAMKK1	-4.83138589323718	20.4459444962941	15.9215142112586	-2.42071926302114	19.8167871423019	14.9523481680123	-4.00183594794216	20.1862191860806	15.8546856864536	-3.71522888169544	20.42945448491	15.7911867748313
CAMK1 CAPG	0.604060819767889	12.2579419408827	9.25641376716522	-0.0893219029505146	16.4044135845041	11.7226422938366	0.373726873189951	14.5610534701555	10.6573201797911	0.30416681821234	14.6303316750881	10.7887174798427
CAMK1 CAPN1.CAPNS1	-7.78448389260838	21.606479344775	16.0295415273574	-4.63793449210372	20.5148457297864	15.7433552945051	-10.4082445544648	21.5121544025733	16.6797741921216	-7.53111272386733	21.2302638418359	16.3580219550294
CAMK1 CASP10	-18.3558891570376	21.5673469042615	16.5058103439032	-21.2555919804923	21.565488521334	16.2450826113998	-29.8215380217945	21.713620117989	16.9693327028504	-32.0154202607856	21.8418050753251	16.8832637432243
CAMK1 CASP2	-9.14557367209907	20.4757661725513	16.469983790729	-15.4935702670297	20.7588099676662	15.867294092494	-11.8558708130099	20.7395897991585	16.6371238073061	-14.7493724633671	20.8904881480945	16.5066030971265
CAMK1 CASP3	-3.88286165632131	19.9709543226693	15.5814046951795	-20.1464194297484	21.3969692899898	16.2754013473086	-12.3335280815461	21.091377349964	16.7496434219924	-10.4740111420962	21.0357196422558	16.4365644383741
CAMK1 CAST	-5.21745709973267	20.6875669397007	15.6995853459535	-9.79782934640766	20.9952989288687	15.8304951974907	-9.42729367651891	21.2386390938152	16.4977920874336	-8.82549710982303	21.0449983264323	16.1590838320011
CAMK1 CAT	-4.95849977788961	19.9203253535824	15.7054094761817	-2.41437204987065	19.6193028731473	14.664680857593	-5.29202706246634	20.2749032174815	15.6439504706681	-3.96086374174474	19.9300659462291	15.5807156260332
CAMK1 CBX5	-8.43926067982786	20.8636061487116	16.4690782358861	-7.71602755659409	19.9354055343236	15.1978877752774	-7.17194417530458	20.8203800881599	16.2241398449147	-12.3846240591533	20.8608364260195	16.3908980048793
CAMK1 CCDC80	0.614778827745148	10.8700130044284	8.21560992543268	0.315313053510343	13.5521174672411	10.4793585811592	0.552801224554929	12.1172661517643	9.34951059425762	0.463150006196997	12.405335246641	9.67618359307788
CAMK1 CCL1	-5.83556320723238	20.9326600365503	15.9192406753659	-15.8881109667899	21.3592058945421	16.2661095724918	-25.0647572986523	21.3999367507026	16.9949703642664	-12.92829441104	21.3914133767412	16.6085358274439
CAMK1 CCL11	-1.58058824906037	19.431395296491	14.7924994352357	-2.18212386194118	18.8220444634304	14.3221307752585	-1.40952765367791	19.5441502168346	15.107672738698	-1.42619409594645	19.494359775031	14.9412124139417
CAMK1 CCL13	-6.26232885409223	20.7066177476582	15.9617860124968	-6.4905848596058	20.0517521445808	15.6205422513006	-5.09711206198418	20.3373575623527	16.152017855211	-7.37972163792347	20.6307119405293	16.1102906171914
CAMK1 CCL14	-1.86234014947908	18.7865338643277	13.6762991447985	-3.009493869727	19.6722494885823	14.3359295828745	-2.00505289450607	19.6506068841804	14.4060517296486	-2.31547968687988	19.4191689817535	14.2943259946443
CAMK1 CCL15	-2.93886965468919	20.2573941049695	15.1861201245398	-3.79737475179438	20.2993079407428	14.6436702857576	-3.89540845030929	20.6419483426409	15.4060004561694	-3.56881393157567	20.5149356377456	15.1972756198358
