protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CAPN1.CAPNS1 CASP10	-14.8959659793912	21.3621261855193	16.2580016202862	-4.87415152834465	19.8745173633618	15.2336905474609	-8.76674235180343	21.5069068371894	16.6248007031992	-9.38815494639255	21.1345175622664	16.2712605947091
CAPN1.CAPNS1 CASP2	-5.92202068618561	20.296692666623	16.0011607448619	-2.65437127588855	19.6288760569381	14.7041174589135	-4.70699031229912	20.4765345092274	16.0923703037194	-5.28278602627775	20.1665833349809	15.8519086398297
CAPN1.CAPNS1 CASP3	-0.826226029043681	16.9475524810425	13.2008352396888	-2.30726260110969	18.5495491090885	14.8308506582043	-1.58977898318896	18.3296945256165	14.6535549956433	-2.06609509070765	18.3002877506688	14.7094052562657
CAPN1.CAPNS1 CAST	-5.23603197166554	20.756401000695	15.531833151182	-3.58764910828324	20.3112703143523	15.2754909288177	-8.11155587034549	21.0047592562639	16.2628019871204	-4.71416130275581	20.7742453881585	15.732168112453
CAPN1.CAPNS1 CAT	-2.54933438173103	18.9702064784918	14.6260359826636	-2.81078552199268	18.7117593436318	13.8948718645405	-3.56186015916517	19.9238906854111	15.113236579442	-3.98530984547194	19.3429865917621	14.9372729408738
CAPN1.CAPNS1 CBX5	-9.22187956263465	20.6601507579087	16.1991450906943	-3.01264915119701	19.1170798225651	14.0599817717276	-4.44410437627673	20.2963334471874	15.5329007855354	-6.00481301892276	20.2823782903788	15.5753851637414
CAPN1.CAPNS1 CCDC80	0.69274473329613	10.226980199094	7.62172865014622	0.495019258881642	12.0511622109922	8.79994101368742	0.592185866700843	11.7188441260287	8.5826290739066	0.5728527612793	11.5439694675461	8.59546036800452
CAPN1.CAPNS1 CCL1	-12.36832736243	21.0399979149892	16.3699050003292	-1.90566892948969	18.8671986467945	13.7309425564872	-6.26424919438373	21.1734608205659	16.4369305444659	-4.70552749886016	20.2961891299556	15.452888326229
CAPN1.CAPNS1 CCL11	-1.23072597403061	18.3707846467998	14.003350095559	-0.547387687435065	17.0142446678445	12.7410919707189	-0.879453964094041	18.1924056731617	13.7378191009184	-0.860012665422517	17.972550071978	13.6368710253374
CAPN1.CAPNS1 CCL13	-6.81221473571051	20.3392556738029	15.8546461356274	-1.38264346300446	18.8451184818839	14.0996652695087	-3.60603263140843	20.0605539637851	15.6058398489707	-3.28737446370833	19.9459271915337	15.5042350477823
CAPN1.CAPNS1 CCL14	-1.22096859310197	17.6742010020559	12.6529912002612	-1.31461070296341	18.6951498058892	13.1929734817487	-1.56985898114326	18.5966176005572	13.4336568001943	-1.37605655314607	18.3837819646721	13.3777086307174
CAPN1.CAPNS1 CCL15	-2.87560167192571	19.6944086104656	14.7709211505323	-1.80198609502707	19.5459237319996	13.6656125184623	-3.00577630136198	19.9648039345359	15.0176671174997	-2.74954072240102	19.8474642940918	14.6210697135226
CAPN1.CAPNS1 CCL16	-11.8933740213726	21.3787944378813	16.5503225157808	-2.8777359704611	20.302340214136	15.180836761331	-11.5399683558625	21.4619490207654	16.5942128526328	-5.99186751599473	21.0583335929036	16.2251841597595
CAPN1.CAPNS1 CCL17	-9.69531312626173	21.1291183303738	16.334305568544	-2.66374125314855	20.2329387880131	15.2147326340674	-7.89241340928482	21.0357827250489	16.0771183493615	-4.97230655527907	20.9414911454368	16.0573640025449
CAPN1.CAPNS1 CCL18	-0.0552562808488497	15.5214375848409	12.2335713068402	-1.15452787533906	17.7061282756511	12.4528062492463	-0.80967801147551	17.4764372768603	12.9996066042363	-0.436021397662456	16.8578890273808	12.6095342985277
CAPN1.CAPNS1 CCL19	-4.17883708877379	19.9339110555993	14.7807418957403	-3.09718703934148	20.304801382321	15.0258837211098	-6.68255146210787	21.0091164041108	16.0676975261344	-4.49998521305556	20.4684801309969	15.5563672650389
CAPN1.CAPNS1 CCL2	-1.51861463139608	17.6383209638009	13.985215890916	-1.02540305711045	18.1064763387005	13.6788990861394	-1.38301751943157	18.2709441381026	14.3887776862351	-1.36400382070961	18.2710685841507	14.1959924186934
CAPN1.CAPNS1 CCL20	-8.43427493903292	20.5375193705985	15.8818144466999	-3.39342418509084	20.0311792067418	15.2058302197986	-7.92937459647333	20.6821723699014	16.410907785789	-6.23566928003412	20.4834206444275	16.0181749785954
CAPN1.CAPNS1 CCL21	-7.64953859366044	20.4703023355631	15.323381044657	-5.69682261715744	20.6969098464787	15.5534657726345	-6.40334063150034	20.8307079204719	15.7396607237108	-9.55347748123899	21.0932465952568	16.1484380725993
CAPN1.CAPNS1 CCL22	-6.68472415579832	20.3341497886111	15.6736717546098	-2.90937166055545	19.3499774601986	13.9348729253194	-7.45252499365401	21.163796951498	16.0200540867195	-5.12405770614472	20.226808207582	15.2272297711752
CAPN1.CAPNS1 CCL23	-0.411594714750733	16.1818827892175	12.2160908617751	-1.76474735170601	18.9100989855307	13.7203916700108	-1.14422329685048	18.3435980976196	13.3902377363814	-1.13737310524309	17.9754686489185	13.4343681292721
CAPN1.CAPNS1 CCL23.1	-0.473155404187095	16.3452801547523	12.660963753376	-1.31970879710919	18.9953391458172	13.2731350933045	-1.05884682254069	18.6175204559067	13.6920672708874	-1.01911067421706	18.1033401414507	13.3528300202324
CAPN1.CAPNS1 CCL24	-4.14627465204581	20.6696653994448	15.6746447921408	-2.31935796266811	20.0280596756985	15.2131464254873	-6.24674166819924	21.0360833649669	16.3057127516739	-4.71574808327632	20.5371794483655	16.0766390717817
