protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CAST CAT	-2.22499536470805	18.6405699543778	14.7080294731286	-2.33953161158473	18.8347167624669	14.1883779586341	-3.74745526493797	19.4697082087825	15.3189596684804	-2.42423188172753	19.0556897009994	14.828511164103
CAST CBX5	-2.494185071114	19.8881871343769	15.3142064111676	-3.96979472634615	19.5109920842603	15.1011685501859	-5.59564370067952	20.6048771403675	15.9986200903917	-4.55520625790542	20.1193106210029	15.6887463870554
CAST CCDC80	0.658617846136992	10.7091696201567	7.96014550824057	0.221649567218747	13.6303227768779	10.6526637674765	0.485390295754755	12.4902986626849	9.5758997765121	0.466891566021432	12.3728184191698	9.44445614370575
CAST CCL1	-4.5484991863376	20.5923681163672	15.6671468862551	-6.83345682758226	20.4102586638715	15.2325718864502	-8.85879078292253	21.1636110184079	16.3420099145296	-6.4455152534301	20.7339571887425	15.7873243584207
CAST CCL11	-0.25153736627093	17.5621198998897	12.2935216000721	-1.17076385765811	17.8369330532769	13.6232484244563	-0.767665355799066	18.1374872203032	14.0723420220848	-0.840849396015011	17.9274151914214	13.3967773183082
CAST CCL13	-3.82778426433284	20.3408063834181	15.5645814349294	-1.8129874530597	18.4864754854267	14.3585964851479	-4.17410673903815	19.8831182151614	15.7066627958075	-4.22804522786358	19.8726629193393	15.4497902609813
CAST CCL14	-0.661483558808728	17.6201979650797	12.4639741151729	-1.42572672413736	18.8306416853455	13.3748159886012	-1.33915715787871	18.6022967795302	13.8004211259779	-1.10797179038828	18.5055246795119	13.3346545540525
CAST CCL15	-1.9986451442559	19.4386854113942	14.4313445057643	-3.37784431185315	20.3908091598244	14.4172557223168	-4.70926701206674	20.191005374912	15.3877574327552	-3.09591363734812	20.0461443536351	14.8471600970349
CAST CCL16	-4.12690571460335	20.6228437062662	15.432644683257	-3.21220472488562	20.1362444266447	14.486792167184	-6.74006612884986	20.7644976016254	15.9014229591801	-4.72433604816955	20.5417691860639	15.3363774323284
CAST CCL17	-4.59512084094899	20.9227456708905	15.6949067747494	-2.50120240562174	19.7628734259249	14.229926584053	-4.42598123345692	20.6991532705536	15.654068904418	-3.75267408031289	20.4832608387723	15.3171101031774
CAST CCL18	0.0245009853985136	15.7167660545471	11.6361257131078	-0.671676229995645	16.5319882786265	12.3061021109118	-0.648973809037116	17.0227365151973	13.0659104296249	-0.37237540584225	16.5435245523802	12.5862538222654
CAST CCL19	-4.16969304932188	20.1977751588419	15.3467985094891	-8.17737003471603	20.7100526207329	15.5249707429106	-6.76279868991802	20.7956554580495	16.1291417344877	-5.93297501887467	20.5660061013899	15.6988779575244
CAST CCL2	-1.1129300299622	17.5891559889123	13.8409956934225	-1.3048211089058	17.6485264407874	13.2509218222264	-1.20197344159494	18.1853196825071	14.2925447510994	-1.53660597115547	17.9537497686193	13.8961629373812
