protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CCL23.1 CCL24	-0.563919019715021	17.1647539268939	12.9546660360045	-1.32673604736414	18.2034579578239	13.4193660773771	-1.62233695937459	19.0758012136884	14.3548941074751	-1.2243417980629	18.3061999935705	13.8803997940907
CCL23.1 CCL25	-0.469778849064519	16.5518451316283	12.4819377954578	-4.78181189905924	20.9122740186899	15.2883746890888	-1.83257481705115	19.3067015240705	14.1727022321049	-1.74108934512638	19.0884951415816	14.1039609512128
CCL23.1 CCL26	-0.403255810802562	16.9825069077845	13.0338863203174	-1.92568515571409	18.4126420016292	14.000998306146	-0.973020555562839	18.1336806273222	13.8078752362694	-0.995890156561416	17.9977321807156	13.7431375418071
CCL23.1 CCL27	-1.00438341557719	18.0838695710396	13.7887831310888	-0.668914338124782	17.5642414042393	12.4131461791446	-1.03844037661083	18.6058822988477	13.6190366177523	-0.897620329101777	17.981204944631	13.2958874559981
CCL23.1 CCL28	0.0641233667147501	16.0032276082521	12.2408829952724	-1.23410582907026	19.1237477695983	12.9537958933404	-0.739757975333237	18.0882006141705	13.1354832560372	-0.45757472463388	17.9423736757018	13.0183496895923
CCL23.1 CCL3	0.110673675060927	15.4331147273459	11.5564151975657	-1.64260966898645	18.7483774756943	13.7128512062861	-0.551405486459617	17.312151712801	12.9293981582926	-0.316494497908472	17.2318982851423	12.7811492624635
CCL23.1 CCL3L1	-0.83987196784199	16.921741465408	12.7170154226582	-4.34180057868204	20.7416930715178	15.1418817193365	-1.62349451103483	19.1507415360977	14.2846341087298	-1.96681176737804	19.0620278169477	14.0930899705769
CCL23.1 CCL4L1	-0.479903595933014	16.6881252679661	12.3575146763742	-2.70162385523282	19.9821975686054	14.551583137779	-1.67582390464215	19.0376324715385	14.3424903837991	-1.44503827709891	18.7293125180452	13.8660201834191
CCL23.1 CCL5	-0.54888256048455	16.7611125431448	12.6438896487023	-3.06267537659886	19.4864162229574	14.0653880920528	-1.60021965528707	18.5812518178472	13.9209957848549	-1.40002993961818	18.5940055216005	13.7723779781243
CCL23.1 CCL7	-0.812080087168468	17.5341412918566	12.7387600980245	-1.93383454570657	18.000949621262	13.4907720121825	-1.44488674501056	18.7378158291174	13.6977979964059	-1.24922385509304	18.0071022547593	13.366264678035
CCL23.1 CCL8	-0.217633254284391	16.1925643705057	12.2137734421012	-2.11910858885686	19.2771554511773	14.4082426462448	-0.981635451546184	18.0655487260668	13.4365079309562	-0.938051856262897	18.0499120542259	13.481351136718
CCL23.1 CCNB1	-0.803917732667873	17.2460903271322	13.1511735309595	-2.36434417026064	19.4214751975859	14.1778362708758	-1.66075018859244	19.1728315593454	14.3608402614214	-1.7349230078018	18.9243424768047	14.1738286893588
CCL23.1 CD109	-0.889229334235079	17.9197785590574	13.3393956307771	-2.38257664570974	19.2241329309923	13.8635526179746	-1.62561208353869	18.9510418562554	14.0636191944765	-1.57437343267551	18.8329559322588	13.906274192289
CCL23.1 CD163	-0.80535546757908	17.478690017716	13.1168257847609	-2.86210339371802	20.1731968564976	14.96429598651	-2.00003740936909	19.3706848271726	14.21215598458	-1.70143623991105	19.0429856149466	14.2663351693391
CCL23.1 CD177	-0.510088913111671	17.285935323101	12.3491417496424	-3.5709204828196	19.1604388000414	14.1761264086123	-2.03571096158301	19.2047004114848	14.086253847856	-1.68341674259161	18.7578576770162	13.8424547974642
CCL23.1 CD200	-0.674570386425593	17.3689573209918	12.9112568586045	-3.10017312916718	19.2682211667101	14.4466211979913	-1.74270797875382	19.1911699608336	14.2561392337048	-1.61045958482604	18.8592633139359	14.132202974325
CCL23.1 CD200R1	-0.322269603851624	16.2562683826138	11.8758713842939	-2.2349908024769	19.0124932152607	13.5775893037726	-1.42764739046936	18.3721255486698	13.380382590388	-1.18889712440675	18.054244857044	13.1446807065027
CCL23.1 CD207	-0.487683521420144	17.1946401016517	12.6304884118275	-3.55107846583646	19.7241935850963	14.2650513425225	-1.36679210439664	19.1078229194652	13.9741682124622	-1.43494672545403	18.944175437997	13.8262633325179
CCL23.1 CD209	-0.651156107639489	17.562882322998	12.8684959853472	-1.60410806132173	19.0356048660065	12.5979936068345	-1.33034263753345	18.8964424416964	13.5001520169545	-1.16035007611872	18.5378087374405	13.1293151328735
CCL23.1 CD22	-0.790113183479766	17.636307795904	13.2936140633126	-1.29373609243969	18.4122419963472	13.4492587907178	-1.14112527296922	18.6092523970114	13.8658474846924	-1.12044014638368	18.3161138850665	13.6702437137467
CCL23.1 CD226	-0.611631531962583	16.7731530469398	12.8922280631181	-3.61072454327396	19.3000946404718	14.318775048796	-1.88427944726972	18.6839776332345	14.3132850383924	-2.13793889833093	18.5748818732416	14.1129548049603
CCL23.1 CD244	-0.332605054350122	16.6266604676729	12.4746333817813	-4.66383738553889	20.552918209866	14.9620942932425	-1.68135378617544	19.2218629938152	13.9988875332573	-1.56105502751418	19.2430538920134	14.1402172552843
CCL23.1 CD27	-0.677918177477419	16.9266361544942	12.7729643787607	-4.62418498873182	20.0142361139563	14.8514651319624	-2.05467737623913	19.2278033021914	14.2611183530809	-1.89969045874487	18.8564894926989	14.1140312477425
CCL23.1 CD274	-0.589531739319473	17.2540585430371	13.1744136402848	-3.4879182373036	20.0686384006565	14.6823844489005	-2.18282001173193	19.2838907208815	14.3538786532176	-1.76425590271997	19.0407682016311	14.1738459249025
CCL23.1 CD300C	-0.514365546293701	17.3546175646262	12.8916475431163	-2.50535074923778	19.6429812635363	14.2479775628117	-1.09247670562846	18.6668241754564	13.8328813915263	-1.28044783801196	18.7121186722772	13.8973080052027
CCL23.1 CD33	-0.960285179855288	17.3288355886427	13.1805940045536	-2.99483454823161	20.1451448244207	14.7814561350924	-1.31522749215079	18.8886166005515	13.9524673911746	-1.75635059127209	19.0134384356973	14.1888602899095
CCL23.1 CD36	-0.373627077068117	16.5348386345361	12.4563950517757	-2.52575275995546	20.5848689860489	14.5693555802238	-1.51933010637729	18.7273989243429	13.9310733642943	-1.36612051384615	18.7647341268718	13.7946920262048
