protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CCL3 CCL3L1	-0.0310790656426596	15.438089112061	12.0659367385568	-2.5942735160287	19.374784759267	14.646841965203	-0.753178531939783	17.9954560979127	13.7839919389777	-0.830969669580718	17.7982184905691	13.6312288683831
CCL3 CCL4L1	0.141752316078524	15.3672323796555	11.1204912419552	-1.33985690392076	19.0046532865855	13.5459883021801	-0.357946995333669	18.256404843893	13.176138271446	-0.320530067934396	17.3412154346689	12.5229572282467
CCL3 CCL5	0.0510744541267302	16.632601253641	11.905677150786	-1.96772799924186	19.5208025133673	14.6786350353086	-0.598614656816172	18.5377384126228	13.9374888844434	-0.510040935073169	18.3030377167576	13.4703496030727
CCL3 CCL7	0.066173329182374	16.1472801639937	11.5560140795998	-0.953723133821894	17.7496287277704	13.0868831640709	-0.365653991722966	17.5809681518657	12.8832307045574	-0.251964174323222	17.2323127185956	12.6090917371193
CCL3 CCL8	0.053064482223781	15.9968415117002	11.2973076468942	-0.879407379032087	17.372944919049	12.8341589165421	-0.176688713587123	17.1903865155796	12.4480139785323	-0.266759186832954	16.9446253137203	12.3544933919205
CCL3 CCNB1	-0.115754817491526	16.5791536074829	12.2101712774887	-1.56802322344262	19.1854117197222	13.996342619803	-0.846675051795911	18.4506109547307	14.0788927877972	-0.710324151388555	18.1132969603497	13.4063788707207
CCL3 CD109	0.132233500657709	15.2379799379586	11.4833018396015	-1.49636401988851	18.0588893915272	13.5474561665107	-0.774142478770813	17.8837870138635	13.5732831541224	-0.535991691393174	17.4228121163506	13.1545782578045
CCL3 CD163	-0.246145778448514	16.2801319385864	12.2922939693129	-1.11349730828528	17.7629056308404	13.2382921432519	-0.787403707839183	18.1164429049828	13.4924056676406	-0.640795026995111	17.257618995567	13.0841487208921
CCL3 CD177	0.149028266969886	15.5841907978878	11.4611357357307	-1.58346708060116	18.0708943795562	13.6180009649156	-0.999160322794006	18.2550407708671	13.8597886556327	-0.521114848007844	17.4911804731515	13.1615191079112
CCL3 CD200	0.0910202295267277	15.4852976102365	11.4570386295555	-2.8987786606671	19.1906514115565	14.0055384842689	-0.722540773624615	18.3269308341282	13.3923531538907	-0.730792481740458	17.7048429460795	13.0609142177506
CCL3 CD200R1	0.0431951185125906	15.2708732822892	11.0327694438294	-1.30466854249407	18.5285006625265	13.1234030946351	-0.5772190245919	17.340703533339	12.6540054526856	-0.431353143617433	17.1441029658239	12.320391353865
CCL3 CD207	-0.00722014896541867	16.8413647803876	12.3650146528836	-1.31777382973997	19.5501834201476	13.3099618094121	-0.739571713645865	18.2567553250434	13.3997316527326	-0.505152274531718	18.2922711842518	12.9817565049873
CCL3 CD209	-0.124429672279552	15.7206319939959	11.8903107969568	-0.965622388626616	18.7558833037555	12.166665072511	-0.355299448344913	17.4753811490383	12.6419835422377	-0.354311522954081	17.2860075486495	12.2513911128148
CCL3 CD22	-0.0243654299198377	16.8405527060933	11.7585140128137	-1.28601682136509	18.2072885420564	13.3489976962328	-0.676467477798087	18.0942592472173	13.5647620924832	-0.451572102007233	17.6595636692233	12.8953638340864
