protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CD200R1 CD207	-2.83833567329216	19.114964573451	14.8405852474051	-3.397907876891	20.1916987084366	14.5732607342108	-3.64468655480115	20.1610352800635	15.30135442532	-3.42932837875508	20.0125641449078	15.0539173285409
CD200R1 CD209	-3.09960658316376	20.0419192684134	14.4099580205665	-1.57746643935777	19.6576078327101	12.9476051614418	-3.03777125795699	20.2322773224137	14.8346388677815	-2.4688262583704	20.1490270156172	14.1838382999059
CD200R1 CD22	-3.44495847234274	19.1149609216345	14.6584748404401	-1.71448226130298	19.3967857598185	13.7748446520468	-2.92234764304204	19.8437203069631	15.0338787987234	-2.49509040755951	19.5259460142828	14.4673380533696
CD200R1 CD226	-3.02779091843912	19.2085560683365	14.8884945044747	-1.98470965534598	19.0270321125569	13.797901976402	-2.89884118267323	19.3009447669342	14.9125246111237	-2.88611361851918	19.5198980444001	14.7895470273078
CD200R1 CD244	-1.79872205600821	18.3301329685043	14.4333487871463	-3.99356904965338	20.5515937222329	14.9035471119895	-2.79147998953706	19.7891551094796	15.0079280615969	-3.45505204526519	19.799061967512	14.9839379904106
CD200R1 CD27	-3.50515439702133	19.2977049353263	14.6974412766146	-2.83682879884423	19.7922315709609	14.5148255618451	-3.17973931826551	19.9540209785251	15.0149003500142	-3.65640037303602	19.9251035353143	14.9274601796131
CD200R1 CD274	-1.39871552834213	18.5769225983391	13.9752322046464	-2.35946416483204	19.2396757902168	13.9270443299977	-3.01255189133637	19.7471223225786	14.9379136285287	-3.43287736425573	19.4790213075467	14.5755397915735
CD200R1 CD300C	-0.139422894439712	15.5413403854855	11.5876252089425	-0.714038239615612	17.7953008534287	12.5457039810713	-0.55731880846859	17.3374235264934	13.0957138148463	-0.45093130696125	17.1359016464573	12.4434504951825
CD200R1 CD33	-1.62849993402298	18.7827191551296	14.7323286175121	-1.49547962332366	18.8195578549387	13.4248405056748	-2.09953847742013	18.8626088950187	14.7928357471375	-2.04459660241223	18.9455555721471	14.4815338636554
CD200R1 CD36	-0.649925905711148	17.451365231056	12.9361833616945	-2.4579602479353	19.5752728350844	13.7058850389365	-2.20846721913312	20.1320560052852	14.8437203460051	-1.52164549613325	19.197729645288	14.0019515875675
CD200R1 CD38	-1.45491664281066	18.7150095412959	14.8506202621163	-2.77339026307624	19.8465586069272	14.4500147293334	-2.53972828637405	19.6057005482028	15.0054778542324	-2.30771480253489	19.6012349005182	14.8937000455158
CD200R1 CD4	-0.795008418566169	17.1354370764398	12.7005972236206	-1.15198648882623	17.7211874621143	13.0059974062459	-0.773337799438817	18.304457299995	13.5921633752	-0.987951814047398	18.117266198002	13.4114955790577
CD200R1 CD40LG	-4.33179665795121	19.211814016238	14.8589554772827	-2.99493158991186	20.0052686518351	14.4121156603872	-4.70537499023915	20.2647174066165	15.3751494504998	-3.83819282227923	20.0738318903495	15.0227787939953
CD200R1 CD47	-4.64350005202412	19.3118506401041	14.5786749834258	-2.41511461686512	19.3999981074762	13.7945740332838	-3.43194480832748	20.3927199743577	15.1374290532694	-4.52803919103099	19.9483492602504	14.9895104877701
CD200R1 CD48	-0.0698487445318137	15.7676334747967	11.3139946852682	-0.556057189908495	17.5560856610311	11.943267159685	-0.349608708486445	17.1557789726902	12.1531976647085	-0.319446686022251	16.818232029231	11.7888227841912
CD200R1 CD55	-0.192407155236051	15.4150924978858	12.0123266971807	-1.31059032178843	17.0418272144676	12.6901435590919	-0.993011856792586	17.3500493832287	13.2479531385905	-0.586446412883415	16.6454989752256	12.7516484734164
CD200R1 CD59	-0.608249769692615	17.2840934274636	12.1269428101712	-0.868004212853263	17.6535423767819	12.5349495968264	-0.968228007751464	18.3459171498527	13.1012440528185	-0.786697761352419	17.8061350636338	12.7090246764576
CD200R1 CD5L	-2.6337877314432	19.5410533857632	14.2713366594741	-2.53180835380178	19.3024020342775	14.3289644424314	-2.80091235938988	19.9236636292997	14.79821836124	-2.91088707081222	19.8192272159028	14.7127672889068
CD200R1 CD63	-4.2424409655078	19.8362863712523	14.8442720033289	-3.26445945610784	19.544319030682	14.0626853478666	-4.19381448550869	20.0024727706481	14.9805899518642	-4.70647816944271	19.971395451356	14.7964814763808
CD200R1 CD70	-5.4811875028677	20.1557257102343	15.1956758937017	-3.42385654085001	20.1907881497471	14.4595286745314	-3.55654061986023	20.6968960957408	15.451554353115	-4.80453249493323	20.4402865832668	15.172903005594
CD200R1 CD80	-5.5237416725189	19.8156264092751	15.4750135758896	-2.61783827880721	19.7608722766775	14.520107521411	-4.82260576471253	20.2977434977424	15.7838996683707	-4.61346215722345	20.104391259348	15.3592077252729
CD200R1 CD83	-3.44777523916901	19.6396383162587	14.8739644616183	-2.91872713040463	19.5910685480483	14.384248806074	-4.37106786046446	20.3101676036599	15.3499497776641	-4.48151029922254	19.9631130426483	15.0876042149677
CD200R1 CD84	-1.1442748134448	17.915616266931	12.7993881503379	-0.431953733349777	16.3004037756359	11.5914025520333	-0.935095532048989	17.8648892556679	12.8085045348745	-0.955489817911481	17.6703497294	12.6727246724273
CD200R1 CD86	-1.23333533062303	17.740340716578	13.5443994879116	-2.3101009379143	19.6883535211986	14.2389288462812	-1.48967634646897	19.4848498604203	14.7084475653324	-1.7129566432687	18.9840395935092	14.1575757394424
CD200R1 CD93	-4.75776345755264	20.1495673145143	15.3843837401474	-3.18518142528608	19.7941221684812	14.2888349597668	-3.99099651654047	20.620870150027	15.5348157740028	-4.05774283329667	20.4280077656133	15.2153230383681
CD200R1 CD97	-3.27129659307861	19.1828060683772	14.7514094832896	-2.68299689805827	20.0626482402936	14.2901578858985	-3.14432654404924	20.1387902690199	15.2814969975946	-3.81592384285392	19.9978071596496	15.0396553453485
CD200R1 CDC2.CCNB1	-5.52741578023095	19.6489534308645	15.0156707177167	-2.341174097454	19.563408553254	13.7718461541422	-3.10944991949058	20.1588137904752	15.0873989121415	-4.1874580647102	20.195673485781	15.0266387527564
CD200R1 CDC37	-3.40804875764426	18.7820082818297	14.5276586132833	-1.63104392262337	18.0886651109869	13.0948398271815	-2.08280918141702	19.1942512149461	14.4336053124513	-2.5366171739226	19.0743139260905	14.372710770781
CD200R1 CDC42BPB	-4.19505253613772	19.7022424687567	15.129015297505	-1.63242953627834	19.079314332735	13.4660444393377	-2.86693283774302	19.9136040208877	15.1861763379186	-3.63433782706986	19.7989880216369	14.7870098257187
CD200R1 CDH1	-4.8528706385679	19.6909173937412	15.0593242447705	-2.15865512557403	19.4253653618262	13.7710117381331	-2.68287739881597	20.4796178319274	14.9233787762935	-3.82132530942016	19.9017995945313	14.8676504748787
CD200R1 CDH12	-2.81009276509689	19.6320248105968	14.8125811305858	-1.6270458872405	18.9422165893158	13.8342783657768	-1.77023377048254	19.7061140937516	14.8725721983601	-2.57492229350094	19.6682689177668	14.6611048870127
CD200R1 CDH15	-2.00732139924883	18.8217240096284	14.3582048503202	-2.42455032170611	19.3307164491745	13.9013412520963	-2.66619849936984	20.0888767837283	14.9414298246638	-3.40493591004163	19.5329144288264	14.7502876676272
CD200R1 CDH2	-1.19084537327782	17.4013543005414	13.6653384066474	-1.2516017416407	18.497248666012	13.4905090192473	-1.53781221474351	18.7068966512354	14.3887024144707	-1.77090723761002	18.4208313381361	13.9654597024571
CD200R1 CDH3	-0.804060975042883	17.8475279317566	13.1143936541751	-1.25909270559957	17.9688711674912	13.1006473520651	-0.87808256501315	18.1903461023902	13.4726084992663	-0.980559068569804	17.9725253357242	13.3053639242659
CD200R1 CDH5	-6.55211540291412	20.1084036170878	15.5890855867949	-3.15925482534371	19.4313643039284	13.9866545090381	-4.37917077399653	20.4390301802175	15.4247296499642	-4.85444996996687	20.1413293359867	15.1187770209041
CD200R1 CDH6	-0.86976402945668	17.0398233510865	12.5719740638639	-0.506068187205493	17.4687733866606	12.1225669463353	-0.607189537594169	17.2210869180553	12.5783913753755	-0.805830571539243	17.4584419286092	12.6459446895818
CD200R1 CDK2.CCNA2	-3.6602334827874	19.5595208773795	15.4051207625882	-1.60007398902367	19.7787130926092	13.913114622325	-2.39914383142251	20.144256281324	15.1901547490416	-2.56719525842053	19.9026978105564	14.9714359537357
CD200R1 CDK5.CDK5R1	-2.12513361823468	18.2789827022719	14.0972733991988	-2.68216457042829	19.621748655554	14.1189790724242	-2.72797961297064	19.6970350628741	14.8387873671576	-3.38147033232575	19.5250718318848	14.7253662227584
CD200R1 CDK8.CCNC	-3.4435958524775	18.7228867070168	14.7600472978617	-3.77755615884066	19.747277782817	14.2945296575166	-4.58364067903773	20.4047705405975	15.3885828060568	-4.60246548362111	19.9316355258482	15.0487301181909
CD200R1 CDKN1B	-4.57377460440906	19.9083763754862	14.9700289248448	-2.6125760713881	19.9473480089647	14.3544085702933	-3.82399091802052	20.5463946804186	15.2794068868692	-3.58438182318403	20.5254121959269	15.0152300710614
CD200R1 CDNF	-1.2640911799962	18.5376586590659	13.4383638971715	-2.70543707507275	19.8821078762626	14.4498186566989	-2.02639273002849	19.5434160841224	14.3169765917072	-2.26595356832443	19.4487040440589	14.3362362689468
CD200R1 CDON	0.278546965130688	14.8215514705149	10.9257438676012	-0.963992665221169	17.74141725097	12.2416571566687	-0.30944815060269	16.7788419222843	12.2119782714496	-0.140926016192153	16.6176443097242	11.8629768793118
CD200R1 CEBPB	-4.63556413083847	19.3150068584895	15.1220646704437	-1.71017706702372	18.1677176422116	12.5720743140945	-2.44251133435584	19.6189618643326	14.9453154036564	-3.37723347815766	19.2920605201558	14.4168352616808
CD200R1 CFB	-3.63554349629814	19.4774401534658	14.8449844190405	-3.17145334361451	19.5472479255766	14.3729694982152	-5.18252854965521	20.5311937997383	15.5878969108537	-5.06434838879952	20.2191399954042	15.308852713675
CD200R1 CFC1	-3.62964453871229	19.2518848182427	14.761676736837	-1.03311682407196	17.7160711394226	13.100896335436	-2.18239989705337	18.6696710573487	14.3055016868237	-2.07121462589734	18.8031564702533	14.3496671268325
CD200R1 CFD	0.0386299055957915	14.6352523807242	11.1885461882023	-0.295180604061016	15.7806865146192	11.7518067810548	-0.086301893190216	15.7678825240219	11.9558281423887	-0.177690265779139	15.5216650498666	11.7299508658724
CD200R1 CFH	-2.38330165652948	18.5956470192249	13.9134561833219	-2.54984441177785	20.5791065839275	14.4328394492249	-3.08916099240071	20.2675144882858	15.1024507545525	-3.34684259402687	20.0440190252644	14.7588043737782
CD200R1 CFHR5	-4.01931865222731	19.876729331855	14.9557605802004	-2.91740631008152	20.058518191278	14.4823784363016	-4.29712969001677	20.4631776297121	15.695666413708	-3.90978487976384	20.1823945677968	15.0260330476263
CD200R1 CFI	-4.83200012849945	19.3377373520976	14.7337606937286	-1.5164591998983	18.8839401328852	13.4169041820924	-3.34533631437257	19.650343329381	14.7154780262368	-3.41358689505256	19.6534406066478	14.5855323024621
CD200R1 CFL1	-2.89563393624312	19.3126660635522	14.6015708966199	-3.41691135821606	19.9461853050098	14.6992850220288	-3.11644064897737	20.1661002944167	15.3782369747657	-3.74712206119854	19.9666646943797	15.121866778009
CD200R1 CFP	-5.07623481402965	20.0295470473615	15.1753241025724	-1.25203122205507	18.2077420499946	13.0323585473216	-2.57542417365587	20.0225846135445	14.9904120972099	-3.44898734477265	19.7772271472613	14.7503499876133
CD200R1 CGA.CGB	-0.605038517117597	17.5070542859535	12.7015777152931	-0.339174436849998	17.4619259238574	12.2090482945063	-0.951094358011498	18.1578617385695	13.8510801109483	-0.658129539648421	17.8175365582459	12.8063992200948
CD200R1 CGA.FSHB	0.112738464731889	15.6121459474032	12.040766769725	0.0687039848317118	15.5456642270032	11.1528423659401	-0.299439028709416	17.0928417761035	13.2185857031979	-0.0176292996635425	16.1260588734016	12.1269096999065
CD200R1 CGA.LHB	-0.919123229451546	16.6683731341829	12.6677630103355	-0.205675472301448	16.1877803307106	11.504117164687	-1.32322885430467	17.8032045089131	13.8519206882022	-0.590531500893725	16.8652217464708	12.6373593559215
CD200R1 CGA.TSHB	-3.98357909860564	19.3012546944954	14.8655063700252	-2.61896608269998	18.5758187794346	13.4994572531027	-2.66046602563952	19.6720765847395	14.8295484630478	-4.01008125656258	19.4103127480088	14.7482579430238
CD200R1 CHEK1	-6.08614921223914	20.3089732245567	15.4382306516373	-2.87476474974071	19.8342985172353	14.1705934940379	-3.6442526595431	20.3546622432206	15.430660199066	-4.94549436821009	20.2276461806302	15.1215531094737
CD200R1 CHEK2	-5.58118598553941	19.9892319550241	15.4266257615016	-3.37597619997671	20.1242607012447	14.2869873556623	-4.52496196169023	20.6107399330192	15.5101033700804	-5.7643226019917	20.3323074913815	15.4074679102069
