protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CD226 CD244	-2.66957245086859	19.0749366177799	15.2310615260991	-4.99138301099681	20.4972985281225	15.5369984089955	-3.95012030555404	20.6626167444308	15.8599377919664	-4.27545866058175	20.2944079280885	15.8696029648774
CD226 CD27	-2.76501598441349	19.4686946994893	14.9510191566427	-3.52287512633745	19.186493153865	14.2685335515588	-3.43641442180204	20.0090737290081	15.1429164605992	-3.3980145903549	19.8783691953611	15.0600386192629
CD226 CD274	-1.24589935294735	18.6713852723904	13.4854991392739	-4.77565488316431	19.2077651270563	14.9682396827631	-2.16938874280013	19.3488524393354	15.0293854483393	-2.21025834093865	19.2804844264622	14.6642933691155
CD226 CD300C	-1.03473357355604	17.2086078236863	13.8071860264621	-1.51494541776866	18.0839558448546	14.4390094542629	-1.37228409707664	18.6021957918966	14.7713696612982	-1.61483943065177	18.4410791989744	14.5975898484181
CD226 CD33	-2.23312366506989	19.3219269120569	14.9511906357013	-2.68554365899113	19.2997356690127	15.2847068957018	-4.0935119258612	20.2460308430431	16.3325076223496	-3.45530878604998	19.8768640109028	15.7322003809743
CD226 CD36	-0.765136422192347	17.5629782213254	13.4166652151573	-2.60280649782672	19.9385298059912	14.4149804788828	-1.91139231945203	19.4175243753441	14.6249579654936	-1.7758127128062	19.4939121024504	14.5630554129521
CD226 CD38	-1.23892540703342	18.4480665997632	14.7726251813107	-6.64202529231025	20.3616256390252	15.7545679937292	-4.04154332885379	19.7004435518133	16.1634342005816	-4.51231683249462	19.8017154496799	15.7495163208081
CD226 CD4	-2.27502486479754	18.3165453863572	14.5312219233035	-1.43891178943302	17.8661840006168	13.8472431701262	-1.91694405686526	18.949202178282	15.0975704256047	-1.91985427588995	18.6001131868183	14.6681722680614
CD226 CD40LG	-2.04835329120704	19.842468058912	15.3009710763688	-3.64748064693922	19.1634603197231	14.3895552349963	-5.93708392423747	20.08787966511	15.8397924566953	-3.15384559751751	19.8408499957582	15.302902648615
CD226 CD47	-4.31906329198986	19.9479495009236	15.6389728829803	-2.07081868088624	19.5533134951171	14.3412700164525	-5.29386343381986	20.4392840887591	16.017024792689	-3.84088629473869	20.0342239597185	15.5146069533425
CD226 CD48	-0.511995869495116	16.3158142224717	12.7493366314512	-1.84926948937587	18.4683074086974	14.2911648669906	-1.26569697931345	18.3362131990177	14.2331096888309	-1.34126711764342	17.973050547172	13.9705069210972
CD226 CD55	-0.401918483769739	16.4121557021713	13.3632996084084	-1.48029592634902	17.8076041283534	13.7604737031927	-0.925774228412487	18.0813287499854	14.2229659071303	-1.04489143114269	17.6649579783953	13.9843399538995
CD226 CD59	-0.624108379607588	17.6893392002989	12.7223297645092	-0.642843294677977	17.9042920633242	12.2294747751092	-0.832448364231677	18.6575068659509	13.2131099957025	-0.828310210382792	18.2805796850204	13.0006325744399
CD226 CD5L	-1.8994362038802	19.1898893860936	14.30117742986	-2.60573380084055	18.9355481552943	14.3125174289769	-2.52919187864721	20.1486590726197	15.5544648910698	-3.13733725684066	19.6190690167238	15.0095214199525
CD226 CD63	-2.21559522597869	19.4163029302108	14.6631439701771	-3.18750406328876	20.1591274310063	14.5598621675831	-3.18398459297968	20.8585764484536	15.2840629477207	-3.43839605733402	20.3148240196145	15.1320031075443
CD226 CD70	-3.90978580172466	20.0650671860135	15.5817889873526	-7.71357500122437	20.0509365358052	15.4850922091737	-5.53188632796617	20.8240260206393	16.4933465671823	-7.17087572335921	20.6945376090357	16.0830875088647
CD226 CD80	-4.75656887286775	20.1236955566164	15.850418805448	-4.86467087279141	20.1519449709778	15.6414280426342	-6.88077362133977	20.632812612512	16.4528066276896	-6.04131008215708	20.5709236453711	16.1446523392871
CD226 CD83	-2.80038156734794	19.5954292314106	15.4818023755918	-6.30418728757125	20.2476511086846	15.6929918492835	-7.23362369629306	20.5735547713818	16.4551707913068	-4.80086300280335	20.3408313638662	15.9769181600976
CD226 CD84	-1.52079589826127	19.0159667482595	14.1596475773721	-0.723227274940897	17.0811808046156	12.6378665393773	-1.15075770975928	18.3717248821576	13.9314562169615	-1.22253198133752	18.5113004026603	13.7213904661029
CD226 CD86	-1.12995929892763	18.1131389894091	14.3792023810486	-2.9146002402043	18.8997327714549	14.4813268984227	-2.29658742904811	19.1330307150366	15.1224650903779	-2.07271206438189	19.0527187547062	14.8772759422009
