protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CDH5 CDH6	-1.35957125447095	17.776015484754	12.9788948773192	-0.968974269923008	16.9383015614339	12.0887208600425	-1.20573112929981	17.6787864621962	13.1679644177672	-1.26008762570588	17.7608464326146	12.9272028403868
CDH5 CDK2.CCNA2	-7.97575736180208	20.5712728893497	16.164796924847	-3.0128899419207	19.3565248448082	14.207418995937	-5.81705519413166	20.6816417134873	16.0092244091431	-5.88510591130905	20.3089610961224	15.6858147478008
CDH5 CDK5.CDK5R1	-3.56147517700314	19.8379164078494	14.8832509212298	-3.99350662817799	19.4497289296137	14.3611657202534	-3.37750651400309	20.2589127538894	15.309060747883	-4.39185260037756	19.8823868347178	14.9761160062503
CDH5 CDK8.CCNC	-20.4906201358352	20.8913782771234	16.5654962212403	-4.65136433883939	19.921722469588	14.6835082952241	-8.26398179907719	21.1529941367813	16.2944532165662	-9.18185098876175	20.8728007216258	16.0218728273931
CDH5 CDKN1B	-6.67042323518129	20.2933680539373	16.1124595007511	-4.96483403025548	19.7559792497393	14.4892276187324	-9.00531240548748	20.9635583128877	16.3600683516058	-6.06703508630646	20.6538093872614	15.8196803740014
CDH5 CDNF	-2.09134148016801	19.4244148561407	14.4480975383969	-2.05982790665975	18.953172345818	13.6317279916463	-2.06829639048416	19.5640848558964	14.722858906797	-2.27703603300325	19.4544789099499	14.3362337613531
CDH5 CDON	0.33005602398127	14.7446957496564	10.8310208184482	-0.751013294467427	17.3623574590198	12.3226154844788	-0.348591975358042	16.8692165381744	12.4651830287747	-0.0778315884085519	16.3648408004633	11.8690901893331
CDH5 CEBPB	-8.0329144415605	20.6895528154529	16.0580140722537	-1.02762070307443	18.277218714312	12.821729801694	-3.45560723788226	20.5340287256331	15.82876660982	-3.84765653452159	20.096393305777	14.8971626480945
CDH5 CFB	-8.8801742277344	20.9407762586252	16.044587616109	-4.68102894474695	20.0504639723738	14.8354873572471	-8.3147869277052	21.2944592576207	16.2729335637471	-8.45449087854167	20.8871678283166	15.9485752986046
CDH5 CFC1	-4.0325417112809	19.3981615695968	15.1168976643919	-1.60640507522475	18.4598755467509	13.3829284728038	-3.29385687629913	19.2892505726595	14.8727733938948	-2.93935228877192	19.4314635350375	14.7101258391458
CDH5 CFD	0.0507959994301405	14.8277600878086	11.0813602104618	0.00787495418581641	14.7482942548236	11.0258545941086	-0.0122763284427903	15.3439082043084	11.4960381256585	-0.0212882031601427	15.0763376254558	11.4237117449336
CDH5 CFH	-4.5550256910306	20.0612824898458	15.3071595796594	-3.22499043572033	19.4044031417393	13.9216045699051	-5.36360099160228	21.3109080027419	16.1378561899028	-4.87898305838749	20.2588281676117	15.2460892043118
CDH5 CFHR5	-13.2986404656305	21.0029381574562	16.3840990005452	-3.49393970815384	19.9058389201368	13.72805320675	-6.0621339689967	20.9676840293295	15.9837326765548	-6.13744517745655	20.8006344079016	15.3957750228252
CDH5 CFI	-6.60012607647289	20.6394085842717	16.0903385317715	-1.57914588223902	17.8793585094598	12.9053604705837	-3.43015668707508	20.8523644770287	15.6605797967843	-4.10641328765222	19.7032345084456	15.0063336410056
CDH5 CFL1	-11.9895391722031	21.049633046932	16.5563470133569	-3.15489780898349	19.5010826074532	14.1541600262952	-6.38822812905253	21.0921067824913	16.339597963312	-7.02789792698565	20.6982441055762	15.8007588455996
CDH5 CFP	-8.65924356753725	20.4173893730698	15.7497336064167	-2.47857182041943	18.4360504318671	13.9565290321631	-5.78940476425329	20.6491830266366	16.1133779141355	-5.90808147776134	20.2319779038786	15.4800529134476
CDH5 CGA.CGB	-0.953618548839725	17.9568270275405	13.1170793810523	-0.397892343167386	17.2421680166986	12.3259932193611	-3.08330104326875	19.0826657129864	14.8499987485368	-0.717569860926922	17.9966999138524	13.0721076756324
CDH5 CGA.FSHB	-0.34960910157272	16.8381052491026	13.1777391031785	0.102473536080699	14.8250483757145	10.7129965208548	-0.95234108514918	18.101581991298	14.3894850402584	-0.213132609687804	16.2599111569712	12.5320352014872
CDH5 CGA.LHB	-1.22396405856636	18.0454113268318	13.8492037399149	-0.174768779834139	16.2424101637944	11.5495476842802	-2.39036439220142	19.1039089229526	14.656685010275	-0.759680107532586	17.5280928270376	13.2492233635321
CDH5 CGA.TSHB	-8.02621419527668	19.8540852202831	15.3079887351727	-2.06880327363114	18.7625414281073	13.308287426863	-3.56865835620653	20.1886709025744	15.3858111031232	-4.80345054323895	19.805174873066	15.0256711566076
CDH5 CHEK1	-12.7467932591624	20.8544017312239	16.2850670132129	-3.85727482322592	19.5677066004972	14.3923776064383	-6.39442863864544	21.1127443351706	16.0807838003003	-9.6189437628262	20.6073221616416	15.7961075955187
CDH5 CHEK2	-7.75299871057229	20.4014683273088	16.0052716462333	-3.41486156634104	19.0560664812279	13.7723909378915	-7.3307218429019	20.9174832477474	15.9772254275846	-8.09574970024147	20.313580812631	15.5248275868095
CDH5 CHGA	-0.131596649591806	16.5602418421207	12.5582914451672	-1.86597950491668	18.0470226730744	12.846091240023	-0.927942231723933	17.7352796377352	13.6828886759815	-0.980690450797757	17.726348295823	13.2913727937124
CDH5 CHI3L1	-0.496144238820561	16.106240933136	12.5236975759951	-0.820774594822795	16.8021898026473	12.136516473689	-0.742588340042269	16.7277211589669	12.8672238967823	-0.748625193612203	16.6538020522554	12.608868657783
CDH5 CHIT1	-0.221626501460348	16.5324852547415	12.437607266022	-0.888948089366632	16.5199011764861	11.7865939388895	-0.604988945847556	17.2675504840566	13.0846512106821	-0.655088281522116	17.020382416838	12.5753553315769
CDH5 CHKB	-0.812816258487593	17.9986063464405	12.9428052273485	-1.18582750402242	17.6809980433725	12.5864395275106	-1.52542512905723	18.5161761859328	13.878304666223	-1.31273361620483	18.1980080475725	13.3104829275444
