protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CDK5.CDK5R1 CDK8.CCNC	-4.1875989837439	20.1710154327911	15.982303597004	-3.66872929254021	20.3531671254761	14.6893017297818	-5.75645325349999	20.9698518287321	16.4637030324685	-4.99390873696981	20.4487166881571	15.8801053520781
CDK5.CDK5R1 CDKN1B	-3.56052156050399	19.6407333081937	15.3757787447932	-10.8125065282433	21.3533268745908	16.0166912441468	-9.45085882449782	20.9992833508603	16.5064307458794	-7.96446112698273	20.7146684765746	16.2159886270135
CDK5.CDK5R1 CDNF	-1.34569280290714	19.1780369307762	13.9199799006203	-6.23829228621844	21.1312179433488	15.6425383960716	-3.08863946151477	20.4192900470612	15.4201886523229	-3.09679412066867	20.3690453482351	15.107651402463
CDK5.CDK5R1 CDON	0.436645036247877	13.7783866202302	10.0318351192681	-0.493911834985813	16.7951228438741	11.7780421708618	0.110210819433738	15.6701868615475	11.3376664330968	0.0379864642084166	15.9268660050757	11.5027482121321
CDK5.CDK5R1 CEBPB	-3.93091080567352	19.8685553229412	15.4192805939905	-2.53630944882146	18.9549494420891	14.350424858156	-10.8036391791881	20.8479047289183	16.743234231855	-5.28943461280822	20.1651303566609	15.5376800057068
CDK5.CDK5R1 CFB	-3.60631403379873	19.395696534371	15.1980832300701	-13.4688102232056	21.2265282417078	16.0030879645401	-13.2392446244239	21.2585574265825	16.6232487044744	-8.33285422654431	20.6889613079736	16.1044249694346
CDK5.CDK5R1 CFC1	-2.43248783136073	19.1993887647299	14.9724834460896	-0.694972892495717	16.8989912676223	12.7179602038521	-1.41581692427961	18.4001482209047	14.5047589456333	-1.56992607202584	18.3998957978896	14.3465817833666
CDK5.CDK5R1 CFD	0.147314104606295	15.0478557441116	10.803405482709	-0.225389682723008	16.1000245162545	11.5006847746482	-0.0445551047277097	15.8482281682728	11.648010946276	-0.0824717954619236	15.8148856348106	11.447842067054
CDK5.CDK5R1 CFH	-2.30839321606501	19.5740531346811	14.8102227485116	-24.4869854796092	21.6138581142174	16.310587646586	-10.5995913373295	21.0998205857539	16.6623062544223	-6.14049523912441	20.8625408352433	15.9505525830238
CDK5.CDK5R1 CFHR5	-4.89856806736525	19.916690535823	15.7894546184015	-5.27139639991568	20.0247920249525	15.2448624369931	-4.03441836159725	20.6746874959649	16.0263093541894	-5.54781671584725	20.3364966461925	15.8365897523438
