protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CFB CFC1	-4.08764135561278	19.7042392948557	15.244798790287	-1.13697994051784	18.1250615550055	13.2434840863845	-2.09814939670193	19.611764375801	14.9571571624582	-2.24708863264685	19.1964535074095	14.607908632965
CFB CFD	0.0381526355883315	15.256062922493	11.4402520435324	-0.477265965947685	16.2535957798727	12.0367893618325	-0.141647206188466	15.785397597249	12.0017268417011	-0.200552956766017	16.13047179553	11.9831454459205
CFB CFH	-4.10816483844097	20.8866654062584	15.803856918041	-15.9790120360106	21.8102075333273	16.4052229342757	-12.1280854766947	21.8516469239497	16.8994765404852	-8.04216423494339	21.5037891989844	16.4062741956628
CFB CFHR5	-14.9774225919486	21.5608137825119	16.8157737616311	-6.18873532923543	19.8214619872988	15.08925806218	-8.17205300824851	21.0310546587356	16.3974922826793	-9.95740815595769	20.8886882511814	16.274805667067
CFB CFI	-4.18778367663689	20.067354301809	15.5523777873726	-9.92130794382275	21.0645442360713	15.8598708117997	-13.6818050978191	21.2545365223682	16.6943190307841	-7.98208822472605	20.8759254040491	16.1033116015639
CFB CFL1	-7.05730554139462	20.2129129117611	16.1486842072018	-6.95243820608189	21.6965287354783	16.2286590010327	-11.7723170268257	21.2384339100772	16.586227705817	-7.7628632469252	21.0970173902161	16.4021123364771
CFB CFP	-9.13653106100051	21.4260543904342	16.2655007394703	-3.9754751477932	19.2125545110956	14.7529012920657	-11.5970878346088	21.3138496790209	16.4235476747685	-12.1493028264587	21.2482500633126	16.3319996580238
CFB CGA.CGB	-0.910979449800561	17.5220437946935	12.7979270218865	-0.894024237339176	18.2271888226217	13.3996544982429	-1.43618676625208	19.1403777181488	14.7038607142187	-0.898140592511943	17.9787229812596	13.5320732416488
CFB CGA.FSHB	-0.399426875084722	17.6899100435586	14.0922244788728	-0.203659963642097	15.8029989333365	11.9738508144625	-1.53105408210986	18.4777694864376	15.1990293950126	-0.506220603517683	17.1230151462941	13.5288441875076
CFB CGA.LHB	-1.126474893829	18.312002446278	14.5131244491672	-0.781653066197404	17.5421596732723	12.7244788429594	-2.50544532354065	19.4082524318838	15.3285288146881	-1.09888637264651	18.1481446685764	14.0722944994914
CFB CGA.TSHB	-4.16729385342095	20.3819473726255	15.6963257193826	-2.02014183741026	18.5788785536221	14.0004776314412	-3.22773658048625	20.1059584972935	15.6459001479929	-3.45771302523045	19.821213524311	15.1843231963697
CFB CHEK1	-17.102123120357	21.9155993279574	16.9291723882969	-18.8666196529094	21.5076826991923	16.3374908936419	-23.0230054221692	22.000328668141	17.1615739409918	-20.0385905653156	21.8952532117441	16.9286597577774
CFB CHEK2	-14.5462958526398	21.7624191634172	17.0342087322169	-12.9775041795212	21.5060072473324	16.0338511785191	-13.8899485123516	21.8108330892107	16.660359164559	-16.9772224476811	21.8977777669664	16.8180609694442
CFB CHGA	0.172012241721035	15.2523954814048	11.5223913023712	-3.50481538022036	19.8117136133762	14.8039328922803	-0.866714548737437	18.5676938615434	14.0157671037011	-0.992360068757453	18.1401808310136	13.7066141136582
CFB CHI3L1	-0.325411001840892	16.1706242869266	12.6251339200362	-1.21323964092367	17.3092501586489	12.8760467622608	-0.527924618748874	16.8350108945751	12.9945486045629	-0.663573935926346	16.8682249007764	12.953693408894
CFB CHIT1	-0.647696148951671	17.317020851564	13.3201741159445	-0.666482176571136	17.7002627450739	12.9540028438894	-0.868166632115974	17.8124093497737	13.5265092834431	-0.956312529949112	17.8759832069352	13.5479728680891
