protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CFI CFL1	-5.42716440920531	20.2954810196454	15.8163488556123	-4.77365461240674	19.9213911616934	14.906413470823	-17.0597782548323	21.533965590169	16.8930000741734	-6.43972148743844	20.7555903017288	16.0617400084915
CFI CFP	-10.8088448330708	20.8839074101753	16.3305177052707	-5.96929763809481	19.4977376758634	15.5210223230267	-13.0040124936806	21.274746425587	16.740121856084	-11.8254438708097	20.8639177657908	16.4550820957881
CFI CGA.CGB	-1.48893235197158	17.5437520567638	13.3550093191658	-0.567828912647299	17.4683487177253	12.9010101554694	-2.19310340470376	18.6815197791737	14.9616180239935	-0.98470783318277	17.6860161330005	13.6213095960661
CFI CGA.FSHB	-0.347119118432071	16.3209947158088	13.2982059167376	-0.0711097755068697	15.7405927931097	11.9930945917212	-0.816058618517798	18.0511291835406	14.4984659453455	-0.379165658950853	16.5187856601605	13.2389614598094
CFI CGA.LHB	-1.20390531141691	17.3263089566563	13.4874195961161	-0.701047113296499	17.0520994428837	12.8608388416009	-2.36314013130633	19.0600323676618	15.0012618454942	-1.23002603063985	17.6816403852168	14.0088845641628
CFI CGA.TSHB	-5.51425178939925	19.684947184901	15.4439904367882	-1.3011111980471	18.1732301831934	12.7929758720141	-2.93057042396169	20.2893640383693	15.2683899473308	-3.60281194315212	19.4453790592497	14.7138106047586
CFI CHEK1	-4.10632511296135	19.6501174224091	15.391385384367	-11.2731895242591	20.3262644200088	15.4544809841831	-10.5705399968432	21.2043676072551	16.4910484649025	-9.42012646793475	20.5509887769225	16.0463638065632
CFI CHEK2	-6.88411751111805	20.8814273827454	16.5676082609715	-5.36121730471171	20.4278824229627	15.4153902627353	-9.08828209911437	21.1260811210161	16.5851883905733	-8.45288879735781	20.9902362884604	16.5387726011769
CFI CHGA	-0.0620201724881555	15.6043487582222	12.4245982980628	-2.66644315636505	19.3375086258755	14.5161706604111	-1.26715855344771	18.399638174208	14.0872866537151	-1.0264913378048	18.0616548243202	13.7861587063971
CFI CHI3L1	-0.0835575623004754	15.5073809940582	11.9337064441036	-0.312590180681504	15.8471624001004	11.387413113771	-0.561093395127519	16.5600804709292	12.6171841585933	-0.325735539237129	16.0463388411614	12.0903648506439
CFI CHIT1	-0.486025759083663	17.5522759337044	13.3595232609634	-0.42536191828173	16.8996491958951	12.2902001136608	-0.840628147012632	17.7171462082742	13.4655262729868	-0.61116716945626	17.6023471571126	13.1715334917126
CFI CHKB	-1.29590578939128	18.4342823862199	13.5433861685193	-2.742995519782	20.3268026886088	14.8401522415428	-2.35610517787147	20.2770925566493	14.9137003917483	-1.89888873263839	19.8455084083205	14.521366557881
CFI CHL1	-6.10680790461622	20.0682386365926	15.3915120587076	-7.7828379350355	20.0205761649884	15.2186513569547	-8.3965669071489	20.6501101021582	16.1870001427085	-7.56214841922397	20.3155389958171	15.7108325324366
CFI CHRDL1	0.465569733554989	11.9352704571643	8.85718610493934	-0.0550891659611983	15.0569011539735	10.7064282436544	0.0972174951066573	14.2860779046531	10.2665954372586	0.232930415066173	13.7058589172594	9.99914387475305
CFI CHST15	-2.60963185107245	18.8298306040302	14.55601953118	-7.56638189883879	19.7488325584509	15.0701492265356	-3.89303818544508	20.6944137041912	16.0250271118575	-4.67993764541338	19.9999319056141	15.4575661575714
CFI CHST2	-4.15417447822915	19.9646985267449	15.3338892187184	-6.35189377793855	20.9303807232114	15.6600829255363	-7.69515601910676	20.9741410134884	16.003816644217	-7.92042468244518	20.7774603137246	15.985861790462
CFI CHST6	-3.04213235905791	19.5073994747263	15.0907259069468	-7.86734036641859	20.1224100939332	15.3953306385639	-6.99916266452433	20.7820075517571	16.07126159168	-7.01971762807246	20.3244462546304	15.8052257224657
CFI CKAP2	-4.22774176817514	20.0685066709249	15.4204180142324	-4.05118980014064	19.3613625449269	14.8853814545226	-6.32833911949605	20.2913916977135	16.2086617964264	-6.81109046939288	20.0164278380605	15.778278871399
CFI CKB	-10.4124682404933	20.3672663352865	16.3007636107771	-9.37510808478856	20.5070855749715	15.9919246469537	-10.1277500723268	20.9099090405375	16.6479510763018	-12.0102431160624	20.8723447512865	16.6124334266024
CFI CKB.CKM	0.411197764236065	13.2232969170101	10.3624640970966	-0.0775211700952083	15.5520362555435	11.6791042207918	-0.334124914667637	16.1636262129706	12.4046960188316	0.104827162174254	15.0586591125902	11.605448783289
CFI CKM	-0.209485689410469	15.5645014753889	11.8018728285601	-0.517654223979	16.5040182492634	12.0786284186586	-1.26322311472215	17.9576539572442	13.6445112726863	-0.537907762839211	16.4914389614935	12.4900852534593
CFI CLC	-11.9753189211574	21.1114805408908	16.7816808225498	-8.93239878589071	20.7537812526643	15.5853752414961	-19.5352789068617	21.5324530140259	16.9696350341584	-19.136615053609	21.3500935082545	16.8644400598844
CFI CLEC11A	-4.35202782571659	20.3992855337592	15.6398994453433	-4.52674882237151	20.1010472540209	15.4703133599324	-4.68012017285573	21.370049077568	16.3051671126231	-5.0242741973639	21.022487246167	15.9785875685621
CFI CLEC11A.1	-5.31512847754068	20.881551105693	15.9859273283139	-4.68077005125794	20.4265146449865	15.7397332890673	-4.93671500424515	21.5107591074791	16.3341538837424	-5.30140114836145	21.3284277170939	16.2908043140516
CFI CLEC1B	-2.85796382379365	19.8329873186625	15.0307157273942	-2.9573328976049	19.2677248166504	14.1715908943127	-10.7265534873108	21.480913351172	16.4643439332258	-3.44653554595848	19.8331216060703	14.9759124573887
CFI CLEC4M	-1.01702311311008	17.7839501284444	13.7209012612385	-0.318173154036132	15.7452238014582	12.070468934785	-1.18090031205945	18.1204322492629	13.9508525486221	-0.977345763889659	17.2229388477078	13.5263153626007
CFI CLEC7A	-1.14593234693704	17.3378832296729	13.5309859275834	-0.506712897689534	17.2684077222718	12.9121408943111	-0.896199930134425	18.3098449683994	14.0180645034545	-0.687847643708703	17.8830201401856	13.7821070723869
CFI CLIC1	-4.45601780965969	20.1085142327435	15.6377440731721	-6.22618462518651	19.941398445343	14.9036654114287	-12.4128010487643	21.6171783167542	16.7970471007406	-7.32829468812429	20.4558179371879	16.0207197684283
