protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CHST2 CHST6	-3.54991432397148	19.738972244371	15.2299724042726	-8.84018233523809	20.6981826876244	15.6593210668478	-6.99323845114026	20.9767881248376	16.0063013826193	-6.97419429855643	20.4400946922927	15.765386045069
CHST2 CKAP2	-4.38417216285062	19.3877805296775	15.2029890723089	-17.0281859768337	21.4323721833804	16.0468842380732	-10.0954636748336	21.4887097077627	16.3834811558313	-11.133011868991	20.8853071657917	16.1801345005269
CHST2 CKB	-4.42356236032802	19.82110916578	15.7652988894926	-12.6348203944899	20.6149279076602	15.8921650150953	-9.03950193154155	21.1185199186295	16.4828771623706	-9.93740688862415	20.7871154920896	16.4520945728324
CHST2 CKB.CKM	0.0287476616159683	15.2399167934316	11.8734540208422	-1.01806337209635	17.0837327268122	12.0890333578402	-0.604333514783679	16.7328351516771	12.8632557870407	-0.364280377139937	16.3305864454812	12.1292550407988
CHST2 CKM	-0.494828788846424	16.0244742173238	12.8382419181194	-1.4129065584114	17.8922878921171	12.6885652288581	-1.30904518884779	17.9503928742498	13.401213392773	-1.03345509230807	17.3934425693584	13.0475617744522
CHST2 CLC	-5.79535546593625	20.4419037715866	15.5667450059045	-6.35809883048806	22.0720390119471	15.5154282581571	-6.79813532696339	21.5146800864581	16.1813431968733	-12.027455432804	21.2886875546005	16.3308948576668
CHST2 CLEC11A	-3.65013296314551	19.3999321755992	14.9422992636804	-7.64052678354014	20.4072949547194	15.6498210348929	-4.7773137675623	20.4071605123045	15.605993098251	-5.27595838610916	20.4733186694207	15.7039477015779
CHST2 CLEC11A.1	-3.08364160362192	19.2693665262943	14.9359963049465	-6.66112696289335	20.3271965517042	15.5152837559997	-4.62411137442025	20.1862144808812	15.4030998444729	-5.19878915170348	20.4740017520883	15.7389025022785
CHST2 CLEC1B	-6.77818993049117	20.3697971037298	16.2686072528511	-2.76792052290772	19.915765479903	14.3979162849448	-6.87735063917329	21.1835648427853	16.1593029093189	-4.78513993009767	20.7222562991255	15.6280392886639
CHST2 CLEC4M	-2.34440406999558	18.7021824278367	14.3867651754349	-1.123080001211	17.9609931857753	13.2005672188343	-1.59178131297673	18.4912198384028	14.0674559032284	-1.8162330976782	18.6927081321115	14.2218173278795
CHST2 CLEC7A	-1.94208762463857	18.3998634917928	14.6973027654581	-1.42185812573125	18.3503148448884	13.594786650995	-1.44556500692083	18.3051500001022	14.1126596331689	-1.41664210426277	18.5461571631339	14.3561229927919
CHST2 CLIC1	-6.18532100170727	20.562868145237	16.073527374067	-11.381989262582	20.2085607267882	15.5776311295851	-7.77522990749549	20.9045223793374	16.1283534461305	-12.1311810430035	20.8436290023185	16.3229685500513
CHST2 CLU	-4.31733112503905	19.8584174850394	15.9107399084006	-5.89161666620475	19.8544218050084	15.2541052240778	-6.34951420658557	20.2577565059998	16.0077628435335	-7.94504257740109	20.2767374542252	16.1248127728087
CHST2 CMA1	-6.77012157254665	20.3560832401938	15.7652708344776	-0.847731329790608	16.7608003069696	12.555853489538	-2.31846406761361	18.7665929390075	14.8025675109765	-2.80690061989246	18.8910822747435	14.5425648681692
CHST2 CMPK1	-5.16370522769314	20.8539094027499	16.0258704070002	-5.9331545399666	20.4428752735046	15.4301598020252	-7.02076869729599	20.9427025805727	16.2338821311603	-9.08365417352728	20.7615191483074	16.0963262026875
CHST2 CNDP1	-1.25491879867007	18.648535453087	14.5363220218387	-4.18674723883382	19.9847109838764	14.4691134316754	-2.42474087847413	20.2912546188117	15.0001782179553	-2.40176737576031	19.6360909959383	14.8062184372976
CHST2 CNDP2	-4.40375660261502	20.4084132324955	16.034109733997	-3.04046548961564	20.1965354356461	14.7985041801274	-8.63169963619371	21.0466265000195	16.5085221608983	-5.9588923852337	20.6546735383312	15.914779171589
CHST2 CNTF	-6.73224956141588	20.2459902021955	16.0209676464875	-7.80175173786148	21.3216536491628	16.1498751030187	-8.12025943157956	20.9022249200422	16.0961846525253	-10.7709441648846	20.9845739897152	16.3412424196376
CHST2 CNTFR	-4.3714467913418	20.2559537743213	15.7649104159531	-10.7570340880708	20.4934202283408	15.6900017335521	-6.86967652039721	20.870677062831	16.1391135699107	-8.08927015134446	20.719575203224	16.1251819573065
CHST2 CNTN1	-3.12239200106533	19.3261465761728	15.2858364232901	-7.7416558785726	20.5522216472884	15.6265124737479	-9.59068579081003	21.1192263748932	16.4246239351768	-8.89276927496201	20.4055410005862	16.1113009281061
CHST2 CNTN2	-5.77683080671637	20.0909554981722	15.9758591684374	-8.1752362404598	21.1877910457846	15.8472890290539	-8.35271361980202	21.2826931326973	16.3760800883929	-10.0569904307679	20.9934681144691	16.3422737029633
CHST2 CNTN4	-2.42406612792658	19.2526306723859	14.7057559770831	-3.0378472925662	20.1856544071797	14.5973352588061	-3.54016523967843	20.3068606937798	15.1999653439967	-3.31468398593875	20.2643215482802	15.3607049887594
CHST2 CNTN5	-4.30422579959791	19.9506344383717	15.1368170423492	-8.97935795380446	21.7658565957796	16.0653808296386	-5.86489557942559	21.3085859458229	15.8591669095518	-8.49348155460308	21.1948202975088	15.936438965828
CHST2 COL18A1	-1.28262696504922	18.0528509022773	13.3569068122861	-3.10277950748373	19.7234521337431	14.2148653499593	-2.11494887141383	19.1616471159049	13.958047287706	-2.34316931183871	19.2445144532163	14.0642067278074
CHST2 COL23A1	-8.95158133401965	20.6402843914729	16.3178163085211	-11.6635288258183	20.7893132230088	15.9305058706617	-12.1178826538898	21.0426230597935	16.643779946089	-15.2179454479274	21.0230571501334	16.5804859390325
CHST2 COL8A1	-4.02395922178752	19.8497691461651	15.2872933448788	-6.14796601514674	19.7582997720666	15.3590781560505	-4.71292710411814	20.1720637967199	15.5365378039826	-6.45725516225631	20.3102243043884	15.6915433172668
CHST2 COLEC11	-3.82112442305887	19.7140965242349	14.968392971176	-29.8370710400855	21.3813618820712	16.5267421242568	-8.83594073235204	21.3588885506708	16.2580146143292	-12.1857096887812	21.2721824475143	16.2130113843574
CHST2 COLEC12	-4.79845005009533	20.0267094130309	15.8109887220891	-2.79673266527009	19.9925500688511	14.5869603773061	-6.30251048687858	20.6393316696801	16.0889113229633	-4.81577295006453	20.3373837480019	15.6285966250359
CHST2 COMMD7	-4.8478164728591	19.8692030221687	15.4684586362032	-4.91117520935741	20.9741827470233	15.0226169169986	-9.61221911746387	21.0508982321268	16.0990012133924	-4.94225010516607	20.599327910828	15.5941460813075
CHST2 COTL1	-1.66051695010965	18.4805536087668	14.2118747823204	-6.50543993108375	19.8825405873887	15.3827365599669	-3.15572167343156	19.7388192313921	15.1683754339718	-4.07938127176163	19.5753096855208	15.2057288654986
CHST2 CPB2	-5.24667839921252	20.9710266855193	15.7726962993921	-10.7050274333435	21.0206565298938	15.8230752757472	-9.53573876698198	21.1068479023642	16.2869630789027	-10.9209271938649	21.172996641552	16.2234092544859
