protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CKB.CKM CKM	-0.0145013635302271	15.5900025139294	12.4286324830743	-0.513266980131635	16.4637004465026	12.2334351345396	-0.437243578035789	16.6338581843531	12.6980639037072	-0.25095615464629	16.0994117324961	12.3795460202903
CKB.CKM CLC	-0.182894237276944	15.7426158219739	12.060838456611	-0.576472676164227	17.12220643104	12.3581761607536	-0.597676064194459	17.2098374256442	13.1365049329122	-0.497485723506111	16.7074703980408	12.6338565709637
CKB.CKM CLEC11A	0.0344880873763667	15.2711980905154	11.77468234068	-1.17650056123115	17.9827876086194	13.226610110882	-0.574727481354375	17.3916405883448	13.0623639941283	-0.440982548267296	16.7871695373908	12.7216570118598
CKB.CKM CLEC11A.1	0.115248366715783	15.0973745487783	11.6819928579984	-1.32280264186228	18.2856688744692	13.2695757986358	-0.607429999442126	17.3719361729985	13.0382693475882	-0.427647131325019	16.8898444458953	12.7308470038634
CKB.CKM CLEC1B	0.0239623128874074	15.3200904094262	12.0328629757745	-0.733561680474184	17.7162864476341	12.7774956296245	-0.615890965822061	17.4768775166487	13.1500348475724	-0.266404831236724	16.61241652268	12.4737497360191
CKB.CKM CLEC4M	-0.111507126124364	15.6392382041345	11.4255759613492	-0.357802411667913	16.297208083055	12.6776117329267	-0.401546898355811	16.6363734410457	12.8256949869671	-0.220780597977895	16.105420820839	12.4365646972905
CKB.CKM CLEC7A	-0.0256028600616443	15.4204433437343	11.65178175035	-0.577115620140984	16.5750425369958	12.6323137844713	-0.338790704997951	16.3815220254535	12.5517614758861	-0.227477372045268	16.2281071581528	12.5011321511989
CKB.CKM CLIC1	0.0181952363918991	15.4754709276092	12.1922737165894	-0.888684660949732	17.7249103272501	12.9598304355736	-0.651651142350116	17.1800414008325	13.2772706782552	-0.421964576112261	16.779918567705	12.8442861258381
CKB.CKM CLU	-0.0606408736059201	15.6765704811238	12.3726100211923	-0.843513325980148	17.4372998716996	12.6811259857836	-0.596755584195697	17.1712044940934	13.1550740136013	-0.438744559213584	16.8688117356112	12.8181266075839
CKB.CKM CMA1	-0.204355563847558	16.1127187384747	12.3059972303311	-0.118307885725487	15.8871121332674	12.0756905812091	-0.425780893573795	16.7670390712032	13.0121201155685	-0.157432269581532	16.0926348237391	12.3130293909356
CKB.CKM CMPK1	0.0866438596647009	15.1280742198868	11.5378035605363	-0.696024712207837	16.9353525138975	12.5336018362824	-0.564126609975681	16.8716111753006	13.0063223401412	-0.323770111643913	16.3444838271689	12.3969569330266
CKB.CKM CNDP1	0.164396987213118	14.6937560505263	11.099285767321	-0.556183369326074	16.9061697597553	11.994752606616	-0.310952266538934	16.5758956219744	12.5445274136027	-0.179588246157418	16.156071208197	11.8066117324811
CKB.CKM CNDP2	-0.0241104125328262	15.4899578211789	11.5254360634521	-0.750601649217507	17.0276776499803	12.4447553821511	-0.739823829036828	17.3408102777326	13.1993041502594	-0.327631816493829	16.4726525553212	12.200388202693
