protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CLEC11A.1 CLEC1B	-5.81745486780734	20.585146543841	15.5326920745963	-3.78326240329321	20.1238051932894	14.4636994477169	-6.84550279481459	21.0853834389563	15.8880945448426	-5.83196289453079	20.7575744445293	15.6281923943065
CLEC11A.1 CLEC4M	-2.12022594914616	18.7606541679626	14.1982034983409	-0.658894898646381	17.3955498827412	13.0724773551826	-1.22055921822599	18.2352366718919	13.8812900792258	-1.31184407239801	18.3277999067289	14.1091617217537
CLEC11A.1 CLEC7A	-0.727517376014218	18.426849568602	13.3332867573094	-1.22903101957051	18.2568345489766	14.1353447954787	-0.893683546780064	18.746259905151	13.9797625541458	-1.02790946172927	18.6099409232475	14.1683181618325
CLEC11A.1 CLIC1	-8.63370157413079	20.8867200827492	16.0798731992369	-6.90440366051638	20.5930618699471	15.5704713563987	-6.81731930788064	20.7098729540909	15.8272866875258	-9.43984174604154	21.0555362530808	16.235703977411
CLEC11A.1 CLU	-4.57105246602383	19.8635775396918	15.5427980025246	-11.3868344132638	20.5159218215134	16.0861033755452	-7.01015615664908	20.6224322388286	16.2381347352964	-8.81202395415011	20.6645862877482	16.4059180129982
CLEC11A.1 CMA1	-3.60740485341914	20.2827538550218	15.163439040553	-0.99842307348656	16.9603806791254	13.1396849473417	-1.27791108214855	19.0541712187415	14.1737195065512	-1.95150357362767	18.8967051727476	14.5173013155822
CLEC11A.1 CMPK1	-6.99099811841212	21.1371900265081	16.07510624994	-7.17165163879146	20.4163525683099	15.1249070782107	-5.15959204941441	20.876621306999	15.6741062825553	-8.39790117692485	21.073333698007	16.0761869671513
CLEC11A.1 CNDP1	-1.99094641404262	19.9238106061636	14.7220233899704	-4.14148526913067	20.6122048222602	14.8277880546704	-3.16220404212762	21.0501995105724	15.5614253086219	-3.00689436072585	20.5846687822108	15.2070037083657
CLEC11A.1 CNDP2	-6.80447427696863	21.247214613637	16.232076990199	-3.62381871955735	20.2289289445268	15.2441697498519	-6.33318491954307	20.9200610238538	16.1454873829752	-5.40417352891845	21.0236689345876	16.1241909200706
CLEC11A.1 CNTF	-5.43763870669527	20.747459000861	16.1322027366038	-3.70597449329093	20.6107379392435	14.7565400141585	-5.80357141735356	21.076710820228	15.9211705937787	-5.63748806050395	21.2541402649551	16.1467469263911
CLEC11A.1 CNTFR	-4.80690689659362	20.6264543607846	15.8005002920805	-8.30972083469107	20.1095405455843	15.0406034867868	-8.6662047716641	21.1561841515964	16.0925627579077	-8.2478202938846	20.8171448495209	16.0171201060173
CLEC11A.1 CNTN1	-4.54428117866273	20.0634771138084	15.3118973120796	-3.56059674096454	20.5652013531992	15.1456778337301	-4.72271100995965	20.7624844296325	15.780928329124	-4.51705920233645	20.6391715944976	15.7081676122702
CLEC11A.1 CNTN2	-5.00141683062278	20.2921667365223	15.4872169910131	-13.7087603233319	20.7945949900344	16.2031315415595	-7.28558899703481	21.0884343221976	16.3106974993134	-8.16564158832455	20.9894597664345	16.2756894590764
CLEC11A.1 CNTN4	-3.43111594485009	20.0512007677868	14.9409393944244	-3.56691590783992	19.8667125148838	14.5734044370071	-4.13154225403642	20.4474649204046	15.4897667787699	-3.89826317779942	20.3222550631929	15.1776650035045
CLEC11A.1 CNTN5	-5.23413692786564	21.1872283232628	15.695678143413	-5.34686112854172	21.6870563760639	15.5109450542875	-5.75637681804363	22.0093415083559	15.9681023159318	-5.79049443450275	21.7921412013954	16.0044002059636
CLEC11A.1 COL18A1	-1.63078699995419	18.9537427169558	14.0418004924388	-3.49466305428325	20.1498123854892	14.6139707971121	-2.67170223735123	19.8805084400514	14.7625926231874	-2.13703661395025	19.8005138671958	14.5356994902131
CLEC11A.1 COL23A1	-4.94933932136001	21.2965923231614	15.7200205245153	-9.10924195443063	20.905855020943	15.9307442968024	-7.33023060778692	21.0817898143145	16.1228828692944	-7.42980796872467	21.4891638298136	16.2390874335414
CLEC11A.1 COL8A1	-3.91131023596457	20.8863203899495	15.4668909711542	-3.85203912782547	19.9581819963736	15.1316905197559	-6.02994853544276	20.8797677670858	15.9829383848604	-4.91036419055564	20.7096367941384	15.7128550929402
CLEC11A.1 COLEC11	-6.3044751796447	21.7618137912377	16.0342380083288	-7.47972216954497	20.901918893974	15.9667192573992	-7.88392826746778	21.5681324679591	16.3885628875664	-6.70690047932507	21.8534590166669	16.3760472850045
CLEC11A.1 COLEC12	-6.00745186386995	20.8859888009355	15.9469608717347	-3.99242510964233	19.9216576009402	14.6242735431878	-4.43096184724958	20.6870308778978	15.6606726700582	-5.21726026833344	20.9215451267884	15.7282188821184
CLEC11A.1 COMMD7	-3.39525655810868	19.6823869210939	15.2388419973841	-6.45120627552096	21.1631471682022	15.392315487848	-7.93855827220252	21.374458007424	16.0718096693329	-6.50889899983542	20.7947864240959	15.7574263414808
CLEC11A.1 COTL1	-2.01158631858929	18.8601850335287	14.3341375950114	-2.63896628469283	19.0676187643626	14.0398535155274	-2.66510755451416	19.5186258735267	15.0086910001924	-2.63291575311856	19.2631298710129	14.5719287837569
CLEC11A.1 CPB2	-5.50874553342295	20.6177417215375	15.5784874452634	-3.33605325579925	19.8590460185658	14.0857660815935	-5.95948302972883	21.1842115304939	15.9777155133776	-4.95728228538839	20.6212293626137	15.3058656622889
CLEC11A.1 CPE	-1.56254138688269	18.5817456276738	13.9248512310745	-31.1716530225071	21.6113996910255	16.8497871122976	-7.58951899004439	20.6242980945041	16.1792994408355	-5.87177534313981	20.3728721946472	16.1377510012481
CLEC11A.1 CPNE1	-5.3292222975681	20.1300043448993	15.6002748164006	-3.73766067045415	20.188106590246	15.0149568204241	-5.67152803027788	20.8560314451338	15.8598398534228	-5.4057449352423	20.7604889505403	15.8382653113813
CLEC11A.1 CRELD1	-3.02070561480311	19.9325784824456	14.9423042353161	-5.23136073141881	20.7330917427144	15.75146282265	-4.09966043948019	20.5591549509947	15.6248332382247	-3.84759952116919	20.5622308314077	15.638445737504
CLEC11A.1 CRISP3	-5.00077633397208	19.7512385931778	15.4104760506108	-2.13039246703604	19.2267152318166	14.7364532356761	-3.56395325005275	20.2134124253038	15.7294543540336	-3.43744599628929	19.8665606738463	15.4965283582249
CLEC11A.1 CRK	-5.10658970504684	21.3822688756141	15.7925914368347	-4.00568529160587	20.0535636558564	14.3332821119883	-5.65828550725442	21.5017064405037	15.9352688519217	-4.7833911157896	21.2942722307918	15.4820962331453
CLEC11A.1 CRLF1.CLCF1	-4.78129362279109	20.7226451850295	15.950933571778	-6.46010331949553	21.4953718569402	16.0758873617276	-9.15639292039624	21.6241552380616	16.6041452624295	-6.87783589262565	21.4300276892118	16.4371781823241
CLEC11A.1 CRLF2	-3.98660130869533	19.5331131360772	14.8467126402655	-1.72965626727174	19.2456004448228	14.4182622971505	-2.86640847522501	20.1097518490039	15.2604395071408	-2.39955333466487	19.8224693758006	15.1158895869986
CLEC11A.1 CRP	-0.733218170016175	17.4033211390366	13.223924085275	-2.39853624492907	19.0204850849024	14.5443111400657	-1.15488704417579	18.7188127612057	14.3012945476135	-1.35383071889586	18.6425012022222	14.2644974292455
CLEC11A.1 CRTAM	-2.76806959000112	20.3524519521324	15.2717287877022	-14.0342549117547	20.9127805677241	16.3198168502382	-4.54413689598651	20.6028028244603	15.9389863844058	-5.87995362317145	20.7503853006108	16.1383046497313
CLEC11A.1 CRYZL1	-4.49517975452335	20.1414345882565	15.1519765458995	-3.7348375113225	20.4203231076171	15.477895043621	-6.05256168466391	21.1214325371283	16.2806815566533	-5.30117634715254	20.8072945505244	15.8846525349125
CLEC11A.1 CSF1	-1.47144018651378	18.9724500578925	14.3283214334578	-3.45315870069481	19.4191829702456	14.7511510105147	-2.77810920651782	19.3311978335238	14.96424747074	-2.19975513579461	19.5802588953373	14.885129548239
CLEC11A.1 CSF1R	-2.38459637349925	19.8396337552723	14.7698626454432	-7.70376441567443	20.9961522507687	15.7813573799382	-5.21551366227247	20.779510759554	15.76727124686	-5.38486354272658	20.8029580027049	15.9082608370828
CLEC11A.1 CSF2	-7.7004861864252	20.2365062935659	16.2249742019011	-9.51471445944188	20.6226330094703	16.2165446112673	-4.34814862883235	20.2844544180609	16.1969517975862	-9.37933575223079	20.6460694097595	16.5520127272158
