protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CMPK1 CNDP1	-1.72130444446737	19.2077921870047	14.7987073375371	-3.37690709408965	20.1605556691185	14.6871556176462	-2.33286749077653	20.3706636718989	15.1809321620167	-2.15331867824716	19.9336007744918	15.0163020053639
CMPK1 CNDP2	-20.5161299037058	21.405008223513	17.1355675936256	-2.17865438885596	19.4985882197746	14.2892564481512	-7.19773231548081	20.5906834874164	16.4169424337251	-6.282814545552	20.6817835356194	16.082604900294
CMPK1 CNTF	-7.72152410351259	20.4300648107406	16.3904313784651	-3.39243091386002	19.9720949902197	14.6653256334715	-7.41930623317596	20.6803929593028	16.2773964435748	-8.1810889885076	20.946135449579	16.2301479696937
CMPK1 CNTFR	-3.72953645568601	20.1491137019093	15.5913870109193	-3.59183571151438	20.4571247383725	15.3232863244097	-5.72658435639248	20.6553880550146	15.8992738936232	-3.95455497282745	20.3614561289121	15.7922809840244
CMPK1 CNTN1	-11.5482424241282	20.9635437482706	16.76747309417	-3.05025222358211	19.4793903832326	14.8668374279465	-8.2365465481705	21.1429360426089	16.5023550080716	-7.05859776860558	20.6060909091375	16.252794103857
CMPK1 CNTN2	-7.85406819256053	20.7423425329085	16.5359153854089	-4.25335797176655	19.4313387083126	14.7895738090202	-6.3858506589587	20.4839957148529	15.9985893445733	-7.28170222521827	20.5552988626027	16.1080454220652
CMPK1 CNTN4	-2.93631350225823	20.831658421782	15.9207519962399	-2.19710293421547	19.4768228408236	13.8409938517646	-2.88502366211186	20.4527336251717	15.3201148950351	-2.47098133812349	20.3463048634122	15.1114831449531
CMPK1 CNTN5	-4.26361814318365	20.3520121150775	15.7352884523351	-6.91013486781566	20.792348938645	15.6718027702711	-4.70592708519833	21.2290897301992	15.905184075467	-6.89641485625612	20.9346912059149	16.0695981057051
CMPK1 COL18A1	-1.46930770617933	18.9531549722765	14.2351039058793	-2.87498173512483	19.3153137365905	13.9123710508382	-2.20537167236604	19.1434771651945	14.157995891108	-2.19175123358908	19.2671162730355	14.3303681611563
CMPK1 COL23A1	-14.1636500877912	21.5781328912055	17.1972140108402	-4.73125693711254	20.4889560233663	15.1167022903919	-15.3565798432375	21.3558531295435	16.8329392346532	-9.37189799756159	21.1180029165585	16.3857499966359
CMPK1 COL8A1	-4.19961548655377	20.5896879486644	16.0287230169685	-4.2756823797376	19.2829440762743	14.5920675835243	-4.38979615826042	20.0591656598473	15.6062614364023	-6.38984626078686	20.3106410771511	15.8558349712167
CMPK1 COLEC11	-11.7803579421437	22.2344471052836	17.2746120040872	-3.97426961950084	20.6058121113849	14.9615267085549	-6.24114861192047	21.6185622753642	16.2930902224584	-5.8662039293812	21.7440900160754	16.2997364881028
CMPK1 COLEC12	-10.7957838746639	21.1122192908879	16.5509760621523	-2.04481710067181	19.2696298258559	14.0278977026287	-4.53821033839686	20.3832166113303	15.5547153250523	-5.20984366929235	20.5664861306912	15.759129672123
CMPK1 COMMD7	-5.02529879800454	20.3134399684736	16.2268898145211	-3.70411835920684	20.9563452860742	14.5947977872202	-11.4425077523561	21.9517081585732	16.6028198102192	-4.83437057704638	20.9404607676248	15.7922215277738
CMPK1 COTL1	-2.05839103816485	19.6065262055257	15.0786875550988	-2.91718308308249	18.8643056471433	14.7695466563143	-3.24649380356683	19.9432691951207	15.6103747213369	-3.45127572334154	19.6465257768291	15.3441217551108
CMPK1 CPB2	-22.4755384471079	21.7898032602165	17.2509770205983	-5.13069670550018	20.3047418353236	15.413629002904	-10.0276766107938	21.133505780914	16.6997659075355	-13.5793485536656	21.3567236153878	16.7557812698957
CMPK1 CPE	-2.1082179797077	19.0768455713762	14.8050126285493	-9.52412021129414	20.6913118179078	16.3039621111243	-9.20902000394194	20.5874481583452	16.4202704391155	-6.4462149639027	20.206785693249	16.122036261673
CMPK1 CPNE1	-10.9681635830417	21.1725636627232	17.0377442464684	-2.5532308888834	19.0472962555585	14.4432774900716	-4.54319036279221	20.5076165370142	16.4082041150303	-4.95334533615425	20.3857053031743	16.0028582525712
CMPK1 CRELD1	-3.58149761239036	19.8350220909555	15.3948424763917	-5.82641449686429	20.1877509896129	15.4162203321834	-4.62766212883721	20.301028618949	15.6622555223469	-5.39144401252869	20.2616011600512	15.7629959675874
CMPK1 CRISP3	-9.56438500122901	20.5452338366344	16.7065181668704	-1.5405135156489	18.6480944908034	14.1050771401123	-4.06412065563459	19.7283295461554	15.6882227134109	-3.83838432154604	20.0309608519303	15.7947894330568
CMPK1 CRK	-8.36578002758806	21.4241679456096	16.2053400825489	-3.43852706677006	20.0330166356628	14.2444734088036	-4.97175146756986	21.6303430778618	16.0618888126658	-5.74260976256638	21.2086410889049	15.7645756757977
CMPK1 CRLF1.CLCF1	-6.58784600890029	20.6890126652205	16.2716978677451	-8.79662452993456	20.6138590787573	15.6981033339984	-14.0590977463822	21.5591626476009	16.6801245671986	-11.308422984974	21.090095877595	16.3235292366978
CMPK1 CRLF2	-11.0332892578081	21.1971428680692	16.8220332738101	-1.64462574453974	18.8499363411366	13.7644808626466	-3.51401393176302	20.1786367326449	15.6615935198853	-3.27250699486553	20.1343632317715	15.389781678254
CMPK1 CRP	-0.733580974937973	18.4629905876613	13.9587524724262	-0.988199091214953	17.7821136334537	13.6941384242928	-1.38749914819098	18.7060597442322	14.7414705667481	-1.12042798012445	18.4654021974875	14.2714847268506
CMPK1 CRTAM	-5.9363147777629	20.9317415229036	16.5497459904016	-4.81256074045047	20.1521569643558	15.1087294836353	-6.96668544711066	20.6842976992529	16.1840887781939	-6.92716606827221	20.7394246177674	16.2266771882747
CMPK1 CRYZL1	-5.045117582985	20.9527240230693	15.6427651394702	-4.71312876144154	20.995795266032	15.2591271128131	-4.81246728912906	21.5839692358475	15.9067800925539	-5.95664829798982	21.2480838371607	15.832223582189
CMPK1 CSF1	-4.68566738874565	20.548195264724	16.0975561506391	-1.89304249706328	18.8430168676295	14.3171201572314	-2.16302289998497	19.7231941463876	15.2048536543072	-3.0958308060542	19.9695043446403	15.3861373875037
CMPK1 CSF1R	-4.09451566644731	19.8146836418182	15.2013775671381	-4.3730462961973	20.1405441293446	15.0624598119618	-4.78552371972254	20.2966512845173	15.833600421018	-5.19352209291061	20.283754354938	15.7182393058534
CMPK1 CSF2	-16.9957541188105	20.8485952228846	16.7881132476366	-7.01409527562889	20.5697402894533	15.7374131134387	-10.9564769022938	20.7464602392097	16.6653751788918	-12.6179291772275	20.8652603569764	16.6567583045266
CMPK1 CSF3	-12.4873070753926	21.3567484190513	17.0644100949548	-5.17059360670196	20.2526029369643	15.240855076773	-7.9432441371073	20.9763502264036	16.4723673416452	-11.3165337922184	20.9802349587077	16.5675614451972
CMPK1 CSF3R	-5.9347708823126	20.4870775449694	16.5215717059699	-2.15596714683966	19.5473210725746	15.0904430553216	-3.55237100094957	20.0922444788188	16.093164946772	-4.68615651159665	20.4803664695448	16.2897104963621
CMPK1 CSH1.CSH2	-5.1590995838875	21.1728897510762	16.3879832662504	-6.18754774432802	20.5052446533689	15.4810000726916	-12.4523970635405	21.5274199886636	16.9323596241497	-6.10986551682866	21.2051569105612	16.3782997602334
CMPK1 CSK	-6.62297258293003	20.5531639673588	15.9638814462181	-3.67918259250329	19.7468512387677	14.6697803251497	-4.0233805171839	20.7623873328337	15.9307140879984	-4.78681332388701	20.5655848728574	15.7500109153709
CMPK1 CSNK2A1	-10.8139568748484	21.451271424758	17.1574261299329	-4.1701531334038	20.7588788326345	15.1434141222506	-6.66985145854728	20.9294783299683	16.2392973149196	-6.96633309297387	21.19651504321	16.3681838390101
CMPK1 CSNK2A1.CSNK2B	-6.77967873629698	20.9564986483398	16.3640216646765	-3.91000573908625	20.3444230664863	14.9679116670433	-6.3488828335341	21.2050986858434	16.5792065378036	-7.43353931351211	20.8579695934629	16.1697014077443
CMPK1 CSNK2A2.CSNK2B	-2.78809625008835	19.8284867360092	15.2578253895509	-8.57302561280481	20.9460432480713	15.6671445832868	-5.45895228145184	20.9623798824487	15.9241202962745	-4.61391060753393	20.5009439957512	15.7718389429699
CMPK1 CSRP3	-1.20811904822358	18.445254035637	14.3020964203786	-2.10197695711702	19.0771401510147	13.3694906496761	-1.65451921814191	19.2392700976069	14.2342317253089	-1.53740436680109	18.9361697272402	14.105369937628
CMPK1 CST1	-0.432422624757014	18.0645842363822	13.0132351716345	-2.01991444165804	18.788605590318	14.6770948296737	-1.34152501031801	19.2839052406268	14.6164846500148	-1.22402386047511	18.9858037966771	14.4240937665385
