protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CNTF CNTFR	-5.3205402150337	20.5503311849437	16.0713224440499	-6.54950560876805	20.8042897509967	15.3007975934794	-8.70380915246962	21.1268695526434	16.5287227465284	-9.51533746429564	20.916317841681	16.3440290961328
CNTF CNTN1	-7.71541037982298	20.9821454369811	16.286596280193	-3.13629829117615	19.5605802217145	14.0786647476306	-9.71998132461083	20.9962549582135	16.0113542001497	-7.90525628258573	20.5558405636498	15.6823478825054
CNTF CNTN2	-6.57080269748402	20.3194930714163	16.4724340971744	-5.33065938641334	20.1362150989309	15.0582739801741	-6.47200658027178	20.4764338331632	16.0842113812403	-7.52157167871851	20.7475432688745	16.2494669372901
CNTF CNTN4	-3.89921708589173	20.1738236912254	15.6779219326279	-2.44845455004509	19.1839807545956	13.6899663581053	-3.77481566570231	20.430232246867	15.2460628892277	-3.9749310160103	20.1124376059015	15.2477370574377
CNTF CNTN5	-10.066791622447	20.5646349806773	16.2404632128543	-8.73677825259853	21.6546666692991	15.5842159293243	-9.37222987816895	21.394804813235	16.2048148306259	-12.3633329033279	21.4237759882025	16.2764372181673
CNTF COL18A1	-1.38631463551733	18.3373149523871	13.7867974972515	-3.7317023468758	20.1390197401237	14.0176184653769	-2.64975150471637	19.9603365659575	14.3898570009193	-2.63103823728653	19.7917113469104	14.38360424387
CNTF COL23A1	-10.2200000236714	20.6230129470732	16.4772979001066	-4.98141740698907	20.2491560566045	14.85307432691	-10.2082313468306	20.924883963487	16.2805639254474	-13.9166911724518	21.0547944020805	16.3731346541173
CNTF COL8A1	-10.1082064240247	20.7610186114829	16.1621640055599	-5.49157405447147	19.8902022911944	15.1815432957621	-9.29104311750779	20.6233707708722	16.1845488853631	-11.2129653410435	20.6484460532084	16.1648160567245
CNTF COLEC11	-5.89508242352293	20.7904043963381	15.8321606811651	-6.44374956974952	21.2586951169024	15.677109504126	-7.46458047109574	21.4580900217854	16.1862559837653	-8.80391307119327	21.682988826568	16.3548968706851
CNTF COLEC12	-13.9315357373246	20.6920013986013	16.4062535467942	-2.86279541194621	20.0213713028329	14.1057059856479	-6.54733615227382	20.7805881783772	15.9908589214068	-6.86794546287426	20.79387272752	15.8851513244573
CNTF COMMD7	-4.35560062075012	20.5471668507046	15.9946539993051	-4.48504089177021	20.9027799548177	14.555964034697	-13.5863613651915	21.7255885082349	16.5648894896245	-5.37052678816457	20.9058204982573	15.6374585430081
CNTF COTL1	-1.18945266374787	18.8428392660893	13.9905511574318	-2.89418298826051	19.7209525614362	14.5219941632693	-1.73106986656938	19.2575479344833	14.6781267582098	-2.63199698555958	19.3518250476034	14.7617925105839
CNTF CPB2	-14.457997544705	20.9914304906118	16.671842981451	-11.3580621365006	21.468570257163	15.8211048061097	-16.0316596162308	21.5182584604772	16.6701161813898	-22.0788611398986	21.7629209027614	16.7732714946046
CNTF CPE	-1.97835751903981	18.8076399129763	14.3748519085428	-10.2817877981982	21.1619841160301	15.9939206857832	-5.2988058814782	20.7111999939821	15.9557965068711	-6.47187191226518	20.6422701656557	15.8282423389022
CNTF CPNE1	-9.43447839857607	20.7763256167837	16.3287295899858	-3.85500783148703	20.3210907411667	14.9342633222659	-9.36598014039984	20.9664261165849	16.4828210615812	-8.48316539393598	20.7478232521659	16.1705817648233
CNTF CRELD1	-3.89900060117155	19.7242171030656	15.7649304419033	-3.41808158462532	20.7822134855063	14.7500600993564	-3.44238176808313	20.3400000373027	15.5926284288467	-3.74470045624102	20.554964851247	15.6341689605456
CNTF CRISP3	-5.09192898347914	20.2600577511981	15.4708217676845	-2.14943148174693	19.2055277915072	13.7193303612386	-3.51707821749499	20.0686837852685	15.15054107734	-3.93116744050667	19.9401013554074	14.9196287424353
CNTF CRK	-10.2141588738476	20.9512992189383	16.1559170489327	-4.01638920409765	20.4111925221144	14.4716297823648	-6.47971995320437	21.4879819264252	16.1580873889623	-7.47807118381408	20.9775016372362	15.690094050984
CNTF CRLF1.CLCF1	-7.37757648999653	20.6791846537251	16.3897394529192	-8.31342918599116	21.2422771581167	15.7786857888739	-17.169000565802	21.5640017039984	16.6351397519381	-12.1358897651288	21.2391031796794	16.5373904116522
CNTF CRLF2	-7.94645972974574	20.715052312073	16.5701478181396	-1.38177663582996	18.3910243777212	13.1558817219278	-2.34164350316344	20.0837953906034	15.2876840915532	-3.6955890175045	19.8721500368723	15.3176345977192
CNTF CRP	-1.19351448505878	17.9653088206893	14.0070198614326	-0.972934520056	18.829658083759	13.4907875662499	-1.07707740044693	18.8956121705487	14.143695621497	-1.19972946910486	18.6958880748545	14.0958688018695
CNTF CRTAM	-5.11317674395768	20.3537322579897	15.93275524694	-4.20750634437241	20.4856670201931	15.1188679677374	-5.3910161507382	20.6220990944313	16.0174102511314	-5.94903560805159	20.7459086428667	15.9826539210385
CNTF CRYZL1	-7.17953900109772	20.2868121418273	15.8916039752627	-8.62568287247898	21.4492823239374	15.6392855538826	-14.6776062193056	21.2894953382458	16.3631704592431	-10.6505925852766	21.1449230939622	16.3603114519266
CNTF CSF1	-4.07314688315035	20.6865524666908	15.6127343984338	-1.95768026011446	18.860704565643	13.7375137626063	-2.7889996275217	19.9614127917526	15.172967679224	-3.1137365579563	20.0688044506339	15.242040193824
CNTF CSF1R	-5.79670220977219	20.308917919042	15.9432969160757	-6.47201937880544	21.1237035962476	15.4905830109499	-7.52753837033947	20.7605606425293	16.0338885900169	-6.82449441367401	21.1256364047383	16.0170012943144
CNTF CSF2	-9.21650656539357	20.4258830113793	16.2593141624067	-6.39694388194569	20.8638951572292	15.2952441630742	-8.52763729826476	20.4560704748094	16.0752987771368	-10.5780320710382	21.0220489432248	16.2701974817152
CNTF CSF3	-8.94723124448054	21.16910721802	16.8467051577988	-4.69651997679427	20.7740072959684	15.1148066155123	-9.01190333626318	21.2724885719158	16.3120304752563	-16.0736982985598	21.335041123715	16.6418195374937
CNTF CSF3R	-5.36356956686974	20.0733379409179	15.9555512345627	-2.68934831041296	20.3758725229224	14.8166457894357	-3.10891254293261	20.2098765868515	15.5034942685551	-5.18466272001312	20.4287794324142	15.8818352409797
CNTF CSH1.CSH2	-11.376598875747	21.1950132088734	16.6523079321403	-7.29015864214501	20.0852101539835	15.0705281733337	-10.7178862168755	21.1004582749654	16.461777949178	-13.4611226466577	21.1494444206048	16.3552088113387
CNTF CSK	-4.60198858908767	20.0880511227627	15.6508017308777	-4.48242823182988	20.1015908370244	14.8722984135147	-4.99508854242257	20.3782903778002	15.7024950067905	-5.5878014561405	20.462301118667	15.6214474300338
CNTF CSNK2A1	-6.01039649382763	20.6356906462316	16.1947073002112	-4.73846527499859	21.4102001828588	15.3423398636755	-6.63961441071365	21.1700769006578	16.0736719204039	-6.84858298459965	21.4325065126938	16.2446348115064
CNTF CSNK2A1.CSNK2B	-11.1203456922047	20.9118641875353	16.6648503116799	-5.52985571914879	21.1351329129117	15.5842041489405	-11.8918735984438	21.5842258236406	16.7241716396994	-10.403502509807	21.3364345473953	16.5009933162298
CNTF CSNK2A2.CSNK2B	-5.52183865466862	19.9071584364849	15.745303597216	-10.5856676583759	21.1146441261361	15.6226022768113	-7.04551807494135	20.8669318953446	16.1229171120506	-9.76791487859163	20.8866473766692	16.2073297206461
CNTF CSRP3	-1.14084650338737	18.3977885916876	13.8692650233723	-1.70013128120678	18.8051166173437	13.7107273435962	-1.27471200643309	19.1534410032351	14.338487838004	-1.57030332597982	19.0764132493336	14.1880766689961
