protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CNTN1 CNTN2	-6.38962589840101	20.0227005240542	15.9702830545352	-5.80669275712843	20.2545899124575	15.0945354396517	-6.40688575863138	20.6973068786915	15.9070095713086	-6.66727663148329	20.3851289425968	15.8875792758648
CNTN1 CNTN4	-4.18177531020979	20.5615562850517	16.0536531834907	-2.57548424478666	19.1496629849224	13.6321914479322	-4.42265659019113	20.2891297442658	15.5377781037163	-3.29489871362478	20.1103258793257	15.1838492372018
CNTN1 CNTN5	-9.54678807398693	20.8839385574991	16.4370631439412	-5.03076169281899	20.8221336454063	14.9622314600724	-7.33054849860103	21.5271053545169	16.0307975287827	-9.02909694646799	21.2685797844685	16.0159124986488
CNTN1 COL18A1	-0.983083559763871	18.888852954007	13.8887298459877	-3.06123120038908	18.9811784446239	14.0563121500646	-2.30729966512567	19.4329399680158	14.4276568657661	-1.96569156452914	19.4118355151074	14.3581043816277
CNTN1 COL23A1	-6.92419412742246	20.6005001535242	16.476075488117	-5.5748932523515	20.5274099778432	15.4957264658125	-19.4343384806857	21.6823779339261	17.0432431469582	-10.4424765974789	21.0744696198854	16.4309439037776
CNTN1 COL8A1	-11.1023514038728	20.9266325049859	16.5277177687303	-6.84433689198275	19.9782388032751	15.4724227772757	-15.3554447364004	20.9362691646895	16.3793067526941	-10.4872370732092	20.9227243058925	16.4082277419482
CNTN1 COLEC11	-9.01890072619464	21.7222351003775	16.8028383909264	-6.06159906743201	20.0768773817003	14.8844958004185	-9.81010640250271	21.8450679538817	16.5516841819112	-11.3930866411557	21.3579367693085	16.2629046340021
CNTN1 COLEC12	-6.6191152406649	19.765904972939	15.9666491469511	-2.11437782591091	18.8309010698355	13.9147219297016	-4.24612192653662	20.6138617372697	15.9422996067404	-4.71240062521875	19.9455206998839	15.6446198485484
CNTN1 COMMD7	-4.61457873081588	19.7697322768151	15.3023155782667	-4.46038792548861	20.2746244555177	14.6365820553592	-5.94767822474534	21.0630974697385	15.7150786899017	-5.21894919167153	20.3546447756682	15.4111625383609
CNTN1 COTL1	-1.49176911387554	18.9538954777233	14.5960497324363	-3.41735762458693	19.8180204055693	14.7410356454674	-2.303287511737	19.5661313214175	15.0777024808936	-2.64246659011558	19.5577039788571	15.0221498536116
CNTN1 CPB2	-6.47652196164609	20.8766485087393	16.3802945175047	-4.02359423269041	20.2688242510008	15.099383096353	-11.2302117786793	21.3059162756021	16.4725683885906	-7.69343724602182	20.8575563316162	16.1804650297229
CNTN1 CPE	-2.35989256850646	19.193057936775	15.0557756174648	-6.35979008947556	20.200493940619	15.3235175575768	-6.1580245228838	20.3561239253548	15.9577923642857	-5.47590666876538	19.8533510202975	15.6069402645235
CNTN1 CPNE1	-14.5916501648272	20.8881126492111	16.6909498764858	-1.87293530589264	19.4206480878297	14.2220743015616	-7.34103140056639	21.1825598275889	16.2771034268646	-7.4985465178261	20.5753857702125	16.0220282043977
CNTN1 CRELD1	-3.45314720186434	19.9853084731127	15.4679015291204	-5.32793753740968	19.8994876522564	15.1080421547479	-4.9095772618404	20.3889779447529	16.0678749711286	-4.79310351399795	20.2173325893199	15.7217459717503
CNTN1 CRISP3	-6.08063852275319	20.2918071730919	16.1734450934409	-3.2230203280879	19.2336372953831	14.9367627325139	-6.15602033286811	20.4638539056967	16.1636436615546	-6.11159972623816	20.1712278753282	15.9784863496109
CNTN1 CRK	-3.36190246068676	20.7624461614175	15.3585077252444	-2.17201317828258	19.1824246074773	13.1641493991294	-5.32013793929277	21.0721009725789	15.6854215816134	-3.55804653938904	20.3876459698065	14.7397319665771
CNTN1 CRLF1.CLCF1	-6.79642835148627	19.9634689707717	15.9301409458069	-10.4389479493537	20.7030141192151	15.8735204686817	-25.757147776942	21.6411559423921	16.9023851716982	-13.7090068795564	20.8261715226116	16.4938027626338
