protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
COL8A1 COLEC11	-6.05486647461672	21.422650097165	15.8675983302899	-7.84030638732044	20.2604242267044	15.5128518578652	-7.86386042343977	21.4845491343345	16.3279050030058	-11.1821651769248	21.4011738392604	16.4062063793363
COL8A1 COLEC12	-18.2828979825294	22.1271901680146	17.1973140306291	-2.56832884138066	19.2911845355716	14.2482412692668	-6.85999867088527	21.0309425208996	16.299184782547	-6.33015960406278	20.9221885537582	16.0898491934953
COL8A1 COMMD7	-4.51540058521377	20.1850442341123	15.7281263442505	-4.36326155475357	20.9215864705564	15.103294586938	-15.0704850771123	21.3805027086083	16.5999320461097	-5.06081749263677	20.7505602819824	15.801914856446
COL8A1 COTL1	-2.24918718327822	19.1694343989257	14.5417103822814	-3.92750614401101	18.9636445889894	14.5826257445242	-2.80877473337095	19.5231830710087	15.2850603168122	-3.63771100612117	19.4246790878863	15.0500520621036
COL8A1 CPB2	-7.42272922266677	21.7801313050295	16.9515213336751	-8.19210699898	20.467439232707	15.5851097641659	-8.18129820047825	21.131933192902	16.6475913156329	-11.8318832556998	21.2365769322047	16.5534224066858
COL8A1 CPE	-1.72828927733978	18.5131912721082	14.5896506852371	-12.2212069404925	20.6522339416654	15.9073182279304	-8.30361852941132	20.3411968453311	16.1635465777385	-5.61323614898193	20.0026742413851	15.8649122825619
COL8A1 CPNE1	-11.1793263039622	22.0618628535774	16.7798445610467	-5.02804881539873	19.752563851819	15.3500423801911	-9.93967582757108	21.1781907677013	16.5084016553214	-9.83033805416302	20.9934216287422	16.3025504426392
COL8A1 CRELD1	-4.50198116008884	21.1649754504049	15.7242775168197	-4.28735508764133	19.4148938315733	14.7407796486605	-6.16336209251488	20.3627381976081	15.749786575959	-5.30049123289556	20.4910016999723	15.6048567158308
COL8A1 CRISP3	-7.13904583917164	20.6952031171177	15.8393440432648	-3.95143334437964	19.1197458147875	15.1561288478353	-6.1700820716969	20.1342274600222	16.129590993031	-5.9208175477626	20.015299019128	15.835754087965
COL8A1 CRK	-7.4089891413178	21.5870453317648	16.1377686830705	-4.84615197367828	20.1394357330532	14.8542685850976	-8.74603831149947	21.2150589820239	16.3239358945672	-7.3948053354205	20.9935898846827	15.8733357259827
COL8A1 CRLF1.CLCF1	-5.47818948488417	20.8704660121001	15.5520592946176	-6.56606177554042	19.6688580897756	15.1761017117195	-13.128717913261	21.163572274676	16.5476392416756	-9.98333236274408	20.5799408857879	15.9767239300245
COL8A1 CRLF2	-5.17977428325009	20.6413897966356	15.7245217830291	-1.49938774994374	18.9823681818055	14.1118939193893	-3.68896229636415	20.2264125914835	15.8317991443737	-2.95395329097419	19.9725789903948	15.2558335660965
COL8A1 CRP	-0.988227909300453	18.4454395176647	13.7457440928445	-2.50586571547462	19.1112638353329	15.0484641013836	-1.62195080709621	19.0814758525916	15.0729915219114	-1.73603377770257	18.9953004697144	14.7848454119592
COL8A1 CRTAM	-5.20678314367262	21.0874781418923	16.1727222894995	-4.85285341200842	19.2939674627717	14.8674282103674	-7.60706969722234	20.5405073861606	16.1527464388523	-8.22983483634684	20.3115506155065	16.0167487489537
COL8A1 CRYZL1	-6.42734595796784	21.0824190371832	15.9001882965814	-9.85809817288609	20.5599273852235	15.7415058040691	-11.3593818706006	21.2334328681499	16.5396787751409	-8.76050395942352	21.0381188736705	16.1129569187317
COL8A1 CSF1	-3.9657914977799	20.062423663986	15.48085604097	-2.95461331583282	19.1669014146777	14.3871730507159	-3.60061100010623	19.7821128673469	15.3492999261074	-3.4952959974956	20.0249281154837	15.4747114194617
COL8A1 CSF1R	-2.65332287664791	19.6367734997393	14.5747547843233	-3.90523780645721	19.5242456235975	15.181027185616	-3.1686645517823	20.2159002837901	15.4454314711478	-3.8840914438309	19.9564611100959	15.4137454183065
COL8A1 CSF2	-4.6903925669686	20.4024734552327	15.6516199524399	-6.11727243329641	19.8540279736713	15.1450607859978	-5.61308947664843	20.4438491102707	16.0614434478834	-7.61832001210684	20.4458699219898	15.8970947632783
COL8A1 CSF3	-12.3665599899413	21.4153068605845	16.9948123625857	-7.78742815880099	20.0753446777623	15.6214028750643	-7.09763785785669	20.895928180382	16.4173423473247	-13.2910991787573	21.0903139635097	16.6384200818846
COL8A1 CSF3R	-7.17565931853451	20.424579905013	16.1478581430006	-5.41959971890591	19.1641451626925	15.1016475886662	-4.72285258076169	19.938759516986	15.8576878502903	-6.91333564602914	20.1448062770574	16.0474400863988
COL8A1 CSH1.CSH2	-10.2616084398865	21.6976091621352	16.5757569791656	-6.68019460380765	20.3522107115097	15.4321940847478	-15.6955478538296	21.5449860278874	16.7459723508305	-11.3878625560132	21.3551764983228	16.4490695709007
COL8A1 CSK	-3.67327425193713	20.7437882404029	15.6403231646852	-5.74589758504116	20.2590415383093	15.5124217112233	-5.03376301424847	20.8326188545449	16.1551608588157	-5.57775663929636	20.5094446972157	15.7912817678609
COL8A1 CSNK2A1	-4.33449346461351	20.8198564425814	15.4128572519836	-6.55871214312606	20.4299361167523	15.2990603312682	-6.5477732077918	21.0072651601733	16.1380368171208	-5.90782822370215	20.8681881291283	15.7420850356628
COL8A1 CSNK2A1.CSNK2B	-9.0139598455711	21.4033594654102	16.1836918204835	-5.99070212587487	20.4148528418548	15.5519739920694	-11.2249481539801	21.3675893096053	16.6041256390365	-10.4558883151324	21.0466338998505	16.3175907239508
