protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
COMMD7 COTL1	-1.59069525607241	18.7843223341263	14.2822190555195	-1.71561817593887	18.8025668271311	13.3387118551282	-2.55234622569793	19.5373874360707	14.8567518755543	-2.23250078765922	19.121448920526	14.3727270114575
COMMD7 CPB2	-2.83117656767182	20.3756962849173	15.0996777646292	-6.23539838833329	20.3675855329573	15.2336785999287	-7.27110118354509	21.2684493276466	16.2391307469864	-4.97608325413081	20.5285144048618	15.5188506969261
COMMD7 CPE	-1.77607483276251	18.1553801243102	13.8562055555433	-4.92326214156	21.1167517952766	15.0934291851599	-6.56974851365836	21.0747928216301	15.9800317801989	-4.84663315422185	20.3537881596761	15.3171755091821
COMMD7 CPNE1	-3.89141214665457	19.8408118437288	15.595316351795	-4.64482117931415	20.6319167783037	15.1259366813455	-8.77715607521727	20.547857661456	16.2544391379797	-5.23193687428521	20.520702858595	15.7753781928402
COMMD7 CRELD1	-1.74322938822668	19.2313521516666	14.6750609184084	-8.01118673988856	20.7427089779685	15.4145229219101	-4.58008331888154	20.7140209045082	15.9015321364471	-3.47165770851815	20.2231036754611	15.3392577841016
COMMD7 CRISP3	-3.97275269657433	19.6503547233188	15.3589115222875	-1.71941144538224	18.6359555814589	13.6438625805059	-4.07138795021964	20.031772927419	15.2821015205658	-3.0448852047246	19.4521209775531	14.8086840859862
COMMD7 CRK	-2.25563263068566	19.1782148822464	15.0122816299247	-3.87849658560426	20.2179760329925	14.9358788969345	-4.9683980658842	20.3670642751601	15.8785765092407	-3.37981858985356	20.0575469882746	15.2743085913285
COMMD7 CRLF1.CLCF1	-3.10978809899463	19.740174633096	15.4509584095966	-7.06675983686367	21.1388823665807	15.3529192195054	-21.300765933929	21.7958560322623	16.6729168544038	-5.52016197653289	20.7056482496348	15.6717653783935
COMMD7 CRLF2	-4.20011836303721	19.7271942513766	14.9779964909063	-1.59360147296992	18.3264149373993	12.8908804554222	-2.82799761132806	19.65803562303	14.4180182353708	-2.68231447258223	19.1620584314244	14.1820318439899
COMMD7 CRP	-0.30825392832253	17.4114650781686	12.6127476898649	-3.23214849472615	19.3751767094483	14.6598744443987	-1.1688603566664	19.5353669009377	14.662866095591	-1.41553669370543	18.8775326106239	14.234979181091
COMMD7 CRTAM	-4.20865285492146	19.5202406496219	15.6487011133248	-5.86642085531653	20.6236952738595	15.0602849432293	-5.51826263002591	20.4553421208126	15.6456697970791	-5.5385166681846	20.31924678315	15.6698330976016
COMMD7 CRYZL1	-3.61982795782933	19.6478769554254	15.376977495706	-4.60403644818474	21.0602730746982	15.010670143848	-14.7925105857909	21.7234155251246	16.5705420973004	-5.59604874526775	20.729936018294	15.5956920524778
COMMD7 CSF1	-2.7532833817486	19.3517445434876	15.4100120168214	-1.78452792193624	19.0228734426416	12.8792285822082	-2.7405613309931	20.388896999332	15.0614260499874	-2.08802379290567	19.563955729631	14.5023881854639
COMMD7 CSF1R	-2.71457335758884	20.0924157510114	15.3958689828143	-5.40411371977042	20.9444019948292	15.3281781628705	-9.54831626101465	21.2801668931708	16.3631977629588	-4.6581605430812	20.6692817489663	15.7458262160308
COMMD7 CSF2	-3.33800058182437	19.1207635624062	15.3041044474162	-3.65054963512514	20.3884463370218	14.6525744749709	-7.34213678631368	20.8527951042481	16.1910606057922	-4.8229770134214	20.0975321709519	15.6087253959674
COMMD7 CSF3	-3.27699760595225	20.050587561067	15.1446531980864	-4.34733157520178	21.3632875704081	15.0720321499566	-11.9616943463702	21.6082311323266	16.4362137148445	-5.70169828578535	20.9514858753064	15.7400735372366
COMMD7 CSF3R	-6.20888637211769	20.2324629249757	16.4607525348367	-2.78729484375382	19.6621876845272	14.2350037403629	-7.31120059526538	20.9063743769958	16.220771150189	-3.90613121417715	20.3006540203208	15.5975741865773
COMMD7 CSH1.CSH2	-5.99212110962265	20.5662963801983	16.3344812260486	-5.8043089012081	20.8701602669695	15.3485418995338	-20.9709248062151	21.5512295223056	16.851608634993	-7.4128682710752	21.0200535352968	16.2088948254003
COMMD7 CSK	-1.24641866049395	18.9754542182874	14.6209165484737	-4.73661471349045	20.7862234399244	15.2692702149326	-4.87237900308919	20.4008985426911	16.1262451160667	-2.60891849729174	20.1132747298295	15.1155550411154
COMMD7 CSNK2A1	-2.17888880705876	18.2555629722787	14.5109963608783	-3.31432566282063	20.0559916922215	14.0677146283206	-3.0345237606577	19.7628538504389	14.9476993933105	-3.18364125416261	19.4831290223499	14.6835577389686
COMMD7 CSNK2A1.CSNK2B	-1.92423989811074	18.752007916462	14.474642952164	-6.33658135572794	21.0433503803917	15.2622689992222	-8.86997550215104	20.8724554122916	16.2028569474041	-4.97161719939372	20.2406548359911	15.3099600665176
COMMD7 CSNK2A2.CSNK2B	-1.65111924362979	18.7773197555914	14.5850933856963	-8.6945786010845	21.4160623923041	15.8032987580921	-9.77480697342767	21.0896814980662	16.4238103273067	-4.6072231325248	20.3015478965743	15.5892719120148
COMMD7 CSRP3	-0.10778892334663	15.9307872249944	12.1147262767847	-2.79608233231076	19.3527263407792	14.3914580246625	-1.28317691489192	18.8619361270215	14.0849910123813	-1.07688409514089	18.1408146205919	13.6861096154295
COMMD7 CST1	-0.817683985383581	17.6542388398515	13.5023843810805	-1.44542729172633	18.4975025561308	13.6876740809014	-1.48000092191524	19.2735406353648	14.2808023142426	-1.43757362737697	18.4982413032019	14.1946691322048
COMMD7 CST2	-0.721492479028494	18.044202211409	13.5142347827072	-1.2552107985085	18.3026256192649	13.4675055971164	-1.44620936101979	19.182428387899	14.3578453908028	-1.17132109638554	18.363919973296	13.9728960187358
COMMD7 CST3	0.337361981306167	13.6825139578426	10.1547133575571	0.213045051129011	13.6738824562014	9.80299245874576	0.181905904785582	14.2769554612121	10.331839738951	0.250250021786062	13.9118074132374	10.2720546254188
COMMD7 CST4	-3.42216867274058	19.4222619938605	15.4826953360978	-4.23745528888698	20.8537364405339	14.9496020465012	-6.93890623183625	21.263625798689	16.1479166599278	-4.32099341586454	20.4128390949006	15.5982996525783
COMMD7 CST5	-0.294149960845224	17.0409087741217	12.1699501419693	-0.476244258168166	16.6699405637618	12.2227527831351	-1.28283585910766	18.443180532852	13.9753487901911	-0.588845295939782	17.1866454145306	12.6842613088754
COMMD7 CST6	-4.14337362438801	19.9458859174307	15.6269414688438	-1.02343363358429	18.5969971518473	13.7798892947929	-2.05393471859481	20.1628749422508	15.0406160006065	-2.14033199909757	19.7155544205645	15.1135183599524
COMMD7 CST7	-1.40294340609058	20.2043290701298	15.4238024177026	-2.57311323745526	18.9654943236221	13.8650329327397	-3.54549529221443	20.1387826675254	15.8025377788995	-1.86250401122697	19.8279638916945	14.9487164929236
