protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CPE CPNE1	-1.57401667450446	18.6546147054132	14.5042591256813	-4.34019027436969	20.3241198707348	15.5066347470758	-2.69152904107506	19.8628493222568	15.6494885971008	-3.55467885607809	19.6692879950281	15.5173954159934
CPE CRELD1	-0.611013621747789	16.6805981312653	13.1188101897327	-8.4275680491401	20.5573140334689	15.8747373872296	-4.71745501305821	19.7834336696647	15.7078784478376	-2.79358535215256	19.4731912208301	15.4114071632963
CPE CRISP3	-3.43843601912181	19.2012848614486	14.8947791445395	-3.23159191472167	19.7863347312959	15.230424501462	-4.42097578243169	19.7473505303857	15.7595877711252	-3.66420670182505	19.7004003736624	15.6078035630346
CPE CRK	-1.24331190603109	18.8561252003746	13.8577538435132	-3.10093125575917	20.841445544638	14.6453488784725	-4.38180669040073	20.9134188426275	15.9097093938236	-2.46050010993666	20.2808456786716	14.7782032762429
CPE CRLF1.CLCF1	-2.62008098226709	18.4631403495909	14.5502411041571	-18.146948639293	21.3846429569291	16.3042618594274	-11.2513040312094	20.792811036438	16.4926574537513	-7.596689617193	20.50462583626	16.1666230828054
CPE CRLF2	-2.14621899097456	18.9486387316726	14.9094060652589	-1.54110328903213	19.183072000726	14.3481718142192	-2.83129127814373	19.572675617224	15.5313871088357	-2.22882072605772	19.2287628034197	15.1420159122635
CPE CRP	-0.128202025885565	16.0826264744798	12.6140741021622	-2.92121200894206	19.5490672718873	15.3229165600489	-0.920572994215382	18.1647472667466	14.4739717429751	-1.05960205045612	18.1245997061271	14.2717003281322
CPE CRTAM	-1.76395924616425	18.5617802753207	14.6246906963869	-6.18055398266128	20.5449065091217	16.1348884970035	-4.40656965204352	19.915370051481	15.9853962086071	-3.99146124670819	19.8892537680532	15.8385318097332
CPE CRYZL1	-0.935614265011006	17.405696748655	13.5195784511363	-23.8715710549946	21.808183512695	16.6660584009828	-4.55990925976453	20.4106288785779	16.0361454759906	-4.36600098762898	20.0615335306076	15.6815814794957
CPE CSF1	-1.7949357187741	18.30149069411	14.3485450745738	-3.40856164870936	19.6003171659818	14.5701392966241	-2.43124798965715	19.2412246915031	14.8520432475973	-3.02265364067694	19.1339447319389	14.8355874109308
CPE CSF1R	-0.845417173505259	17.8897498372962	13.5046247808593	-12.6641529410298	20.6646889446767	16.116334545861	-4.02105277506589	19.6187261089299	15.5817725635875	-3.64935053462351	19.6971938074411	15.414870238713
CPE CSF2	-1.78482162051044	18.2997864417289	14.4314780423476	-9.92487221480471	20.438910215424	15.9006442389984	-5.92959259121495	19.9710673964146	16.0244083867317	-6.43194049524119	19.9711180258593	16.0087341328355
CPE CSF3	-2.31262889739185	19.3662603845718	15.198689970976	-11.5869119372022	20.5720873031116	15.8134502142073	-8.34877660365848	20.554314271322	16.2357561453234	-8.14045259513598	20.4209470717268	16.2007553729366
CPE CSF3R	-2.12726183630779	18.2732478411342	14.4077981465454	-5.76056464906814	20.020745352411	15.5342178357619	-5.37634137558459	19.8659377666171	15.7640846240946	-5.30905955030272	19.7445735371841	15.724563761608
CPE CSH1.CSH2	-2.41324860548223	19.0637366446107	14.7508166838525	-8.37381050530791	20.8803785236609	15.83491871814	-9.48000019443121	20.6010488640002	16.5291213065411	-4.85418355195799	20.1721833301328	15.6830032848251
CPE CSK	-1.08428160805093	18.6284528318991	14.1302117444502	-3.26504334047417	20.1215253512582	14.9028825160517	-1.78038781141891	19.8689270854008	15.2309418884363	-2.10519509170842	19.5573623283686	14.9449585635992
CPE CSNK2A1	-3.24345302096659	19.4304584345759	15.5206939387655	-9.85053774343407	21.2797602331673	15.9458887009115	-6.50860995109882	20.7401909764294	16.2820948286033	-6.47590086304019	20.5561582366738	16.0704463119469
CPE CSNK2A1.CSNK2B	-1.46371514690506	18.9702846755419	14.4140685746008	-5.7335013551567	20.9785372446667	15.9915952316491	-4.0189237760193	20.2996596077368	16.0273483604524	-3.47746437428327	19.8933517188882	15.641429403527
CPE CSNK2A2.CSNK2B	-1.10738646376358	18.4279808937878	14.0305192802472	-18.1646054479557	21.2304926660181	16.0934871977444	-4.97419801971854	20.2088675913082	15.9245247478004	-4.24617252977489	20.1047002008193	15.6561156605335
CPE CSRP3	-0.204494073610428	15.8440173058786	12.5391111519984	-1.90853626874144	19.4617346705213	14.1893678716527	-0.944831057248758	18.4007666311171	14.128459379265	-0.822227442406296	18.0199770415217	13.6138825629955
