protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CRK CRLF1.CLCF1	-4.08950589925773	20.8342352368583	15.2849228034288	-5.42079121004606	20.5686958800112	15.0215773000031	-12.5634517289962	21.7064048880779	16.5023801924435	-7.27603195732976	20.7997782487904	15.6899297333218
CRK CRLF2	-3.74736399485088	20.7526694575475	15.6621932366566	-1.81659264755144	18.7603021215709	13.3933495370369	-2.51233999993875	20.4325479844394	15.0683779417478	-3.14688822361388	19.9338179434318	14.8317038284955
CRK CRP	-0.613337038357223	17.7192620460112	13.2118632844312	-2.17374039157654	18.7433458337497	13.905532232204	-1.6017067672575	19.2170592611387	14.6420750680015	-1.3333604328929	18.6486988060182	13.9054472629666
CRK CRTAM	-5.12926027234499	20.6196967556158	16.0013521785169	-4.74689026019839	19.9917202428253	15.0614652415675	-5.12308242559039	20.4570351338705	15.8901757502213	-6.30800787027164	20.4310520570374	15.8629427462072
CRK CRYZL1	-3.75260501381717	20.5856223943854	15.1330787498487	-4.37280168409427	20.5514395980914	14.8651921795038	-7.87625285977234	21.8526096273931	16.4323845979517	-5.00903549816451	20.7984377269683	15.2823049095959
CRK CSF1	-2.2937444475712	20.2615014750993	14.5450214868324	-1.01224787283768	17.5393511202924	11.8751743293565	-1.56847064329864	19.3867557494111	13.818510539279	-1.73813895549698	19.1633064245762	13.597532544962
CRK CSF1R	-3.10115202282234	20.1626881665856	14.9530743795553	-3.40719711668169	20.6708706053885	14.7548116664009	-4.09139100538755	20.7278134172108	15.6950985715617	-3.98700576229858	20.6742296679462	15.2353839764397
CRK CSF2	-5.47585015957654	20.6796258164339	15.8077910210446	-2.9979242737197	19.7032851148297	14.5060974673893	-5.5845846110558	20.2147872319033	15.9827738168492	-5.15236463502108	20.3010314385696	15.5917687369112
CRK CSF3	-7.47663230506507	21.2083814221185	16.2378081021147	-4.90483298369442	20.2239926814224	14.7826852866181	-8.87066924961494	21.7607177746715	16.5622252338112	-7.01689277296813	21.1499613740374	16.0068890968179
CRK CSF3R	-3.19896721001559	20.242445534488	15.4032821531739	-2.11780858866845	19.4614427200076	13.7660029759911	-2.59120199670352	20.7544295292665	15.7872717542961	-2.99180790870759	20.1249088280619	14.9046150628743
CRK CSH1.CSH2	-10.906818470684	22.0979733488674	16.6749068592877	-5.25831373800101	20.6951909060193	15.5203228376341	-17.9290677323485	21.7588247563508	16.978044456417	-8.91123605686217	21.5471543643567	16.3749047181481
CRK CSK	-6.03293189096753	20.6466590996596	15.8557006705495	-3.53005692669657	20.0621864603909	14.9996742893414	-5.96619393897934	20.6790775466926	15.9960713344133	-5.38006451263345	20.4133449984911	15.6697424328818
CRK CSNK2A1	-5.10867535792083	20.9064088109111	15.8829671280027	-4.23903937573828	20.6133008333474	14.8701586067271	-6.33981410102555	21.0655370227419	16.1997781958904	-5.51868122103916	20.9091323341751	15.7473739108341
CRK CSNK2A1.CSNK2B	-5.83575502289426	21.1177196650718	15.965511810188	-5.22326555697792	20.5722391800815	15.1588787494409	-12.0206652922872	21.6164715388411	16.8586068685033	-7.84949700901224	21.0526740338283	15.995374154709
CRK CSNK2A2.CSNK2B	-4.70074771357689	20.2489915635146	15.1338635812962	-2.75919929934173	19.3302259532269	13.8593617536539	-5.65278055193571	20.9696264278669	15.9610971002791	-5.43472171058648	20.0289822565411	15.0806560003462
CRK CSRP3	-0.791551202244293	17.3778440578403	13.1560893092925	-2.34941656788718	19.6545708130818	14.1742393747816	-2.04098254907355	19.5372843171412	14.7013884131903	-1.71650294168211	18.9329202721788	14.0137496603349
CRK CST1	-1.13826596850137	18.8229707399513	13.3927286759857	-1.23213263879183	18.2592197464013	13.5512388779297	-1.56410178979639	19.3838632260546	14.5513730706577	-1.40911011993951	18.8452601359875	13.9974173671368
CRK CST2	-1.28151513259538	18.4736702735768	13.4419624289785	-1.02962565521659	17.8462190735328	12.9585869436292	-1.59234468036091	19.0672927046369	14.3731095520818	-1.29162768243099	18.4880245189049	13.6959966564458
CRK CST3	0.389737585899598	13.3041499864202	9.73403404996944	0.0240834099535977	14.5784399166681	10.134519408155	0.128616369442989	14.6679504630217	10.6583381969404	0.190779759886821	14.1822883387614	10.1797748660192
CRK CST4	-6.48868046844846	20.2274791525159	15.8704471205043	-3.60003785994507	19.6696773759733	14.4849210080662	-5.50981439763267	20.8214603585955	16.1157886229728	-4.60838802755509	20.3038708980697	15.5160117933824
CRK CST5	-0.43685609189962	17.3564607979873	12.2540734375606	-0.497046760081725	16.5695957142127	12.1824405092736	-1.19869669795578	18.0966606728904	13.4938235603555	-0.765267765011532	17.4912338327134	12.7629993293622
CRK CST6	-6.99624141768845	21.2427261931879	15.7079992391603	-0.755527429015073	18.9531643334679	13.257924426474	-6.33484735111232	21.0178741888553	16.3311673487562	-2.50513093067331	20.4386055706176	15.0493114584595
CRK CST7	-4.44623712273828	20.2371607354544	15.7664102795628	-1.84013742923901	18.7179599296814	13.5966792207797	-3.50015951568118	20.4623488399539	15.6641517340275	-2.83804383925675	19.7871120107771	14.9674683365712
CRK CTF1	-8.22766978566829	21.3452037437578	16.35018892878	-2.27061633059255	19.2969142935585	13.4876935618178	-6.28972324662289	21.1524062238457	16.1019879494371	-5.53934336334591	20.6718591630035	15.4457598590656
CRK CTGF	-4.38021437069308	20.4153742768491	15.2763716026533	-2.66533327151702	18.7792563298802	13.7146698688751	-3.86482487603788	20.2797378090152	15.4657512831599	-3.78584147085788	19.9012071944408	14.8178453725526
CRK CTLA4	-5.61517955152879	21.2461436194024	15.9723148358921	-3.70989098660967	19.9889887671108	14.5873122001998	-12.7381030664036	21.4606692886787	16.6826256529675	-6.77200548808927	20.9805244914914	15.831143946803
CRK CTSA	-1.39740934018756	18.5366478581066	13.9080740718719	-1.03032751162776	17.8050804620611	12.5285010952335	-1.2931666692198	19.1433542927368	13.8840289358263	-1.49496472977118	18.5592844183329	13.6762444347815
CRK CTSB	-2.19098154642778	19.5707356051334	14.3020847860895	-1.97940094458413	19.7397170494564	14.0081242138949	-2.93759420447607	20.0141374110598	15.0436292639615	-2.24076912463313	19.949000627183	14.5351032950151
CRK CTSC	-6.51308555928333	21.0037052897379	15.8811625220502	-4.97389279019752	20.2831579916156	14.7954275404	-8.17057567413179	21.6079166986839	16.4658958299028	-7.5274287884376	20.8692129528214	15.8052018393538
CRK CTSD	-0.284375408081486	16.6741156026684	12.1823471276264	-1.55653247437517	18.5389650708622	13.5693833950201	-0.918995884236747	18.5491743732078	13.8813155008253	-1.06295086431615	17.9065294894851	13.3569824654629
CRK CTSE	-6.30594153699359	20.9116491767561	15.4355796484064	-4.6978606321372	20.8356982109823	15.3100894692287	-15.1574844926245	21.5467574791946	16.9214535003624	-8.13052304892777	20.989220228033	15.8662424777512
CRK CTSF	-2.37882750095566	19.7200070318502	14.1609109132312	-2.75162748117703	18.6926816690089	13.8082217181692	-4.18194632187592	20.2518320714466	15.2908201788076	-3.21122333154891	19.6411552273947	14.5240320818544
CRK CTSG	-1.93338397907511	20.0247357815957	14.3014891882336	-3.1372961920369	20.1708740380474	14.6607190085722	-3.54066454860482	21.3061039314849	15.8385061523856	-2.98592488466588	20.4544743403912	14.9135762585435
CRK CTSH	-6.22400520126392	21.2130733106739	15.7662141171488	-5.06239858766856	20.1712536387608	15.0332066263294	-7.73462248562021	21.2653289623684	16.4031398201702	-7.34915997380772	21.0597518325407	15.8678500277538
CRK CTSS	-1.64213556234536	18.9756942830104	15.0639447711312	-1.09976330859965	18.1974784596297	13.384184935125	-1.48228401276977	19.1844300302382	14.9614414805105	-1.31122463499633	18.7450988051255	14.4587641379531
CRK CTSV	0.537706336063339	12.6036890619337	9.4588976279956	0.304781188104309	14.0218791864091	9.75707996496797	0.435225390649878	13.6885999757877	10.029844823861	0.442632858143999	13.5522965162593	9.70057191597016
CRK CTSZ	-1.54319836957089	18.1382907399058	13.4598869526209	-1.65480846809565	18.7062007965726	13.0936289212078	-2.09861748081741	19.5233689883524	14.6139721305218	-1.77752852351931	18.7280769482152	13.7180738318297
CRK CX3CL1	-0.514050017830551	16.4818894002553	12.4403537243419	-1.63389642754776	17.7946944912668	12.5659711265666	-1.16358111407261	17.8306028293475	13.5678846241826	-1.29818395135233	17.5148391999944	13.0006434365477
CRK CXCL1	-11.4298783763011	21.2036813943404	16.3563815771712	-2.22887142799217	19.2456947071075	13.7203513360828	-7.86590559709624	21.222014690844	16.4544055797226	-4.85820636451974	20.6087596311426	15.3548433548455
CRK CXCL10	-1.28989788983423	19.5370003578457	13.6090911359452	-0.7971446079791	17.6220543417977	12.4428229944262	-1.22603009729123	19.0932040516256	13.4833489726163	-1.04292139728911	18.8115772707142	13.3709758729286
