protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CRLF1.CLCF1 CRLF2	-6.73584180782058	20.8526622554142	16.0265917077321	-1.80714970489085	19.3685524699666	14.2610920640972	-4.2849951674185	20.633725118187	15.9294034012267	-3.8570716481039	20.2293502792771	15.5653441971709
CRLF1.CLCF1 CRP	-1.81262141027622	18.5705498523316	14.0995632578656	-1.3814467455067	18.3050040422301	14.0106277443524	-1.9240605106198	19.4508179988786	15.0441267971054	-1.46313353979053	18.7862155796649	14.3143560510503
CRLF1.CLCF1 CRTAM	-4.43160750231186	19.9957898225979	15.4940693119505	-8.28590960063133	21.1559959287575	16.1623678953487	-9.37451089194027	21.1274828710248	16.4383176671457	-8.34906931510413	20.8541318189346	16.4252512612133
CRLF1.CLCF1 CRYZL1	-3.9740766129933	19.7840306390688	15.3879231267404	-9.92758069927214	21.1505689326483	15.6356001008978	-16.8107378751236	21.5403413473989	16.8999074314601	-8.38315364441861	20.858067515886	16.1218602237875
CRLF1.CLCF1 CSF1	-6.15782821726913	20.1687430870805	15.988982745074	-3.43167115450031	19.876974182345	14.6624922634921	-4.78769035014209	20.3049043091699	15.7424433278757	-4.83713323186491	20.230820548412	15.7323605526818
CRLF1.CLCF1 CSF1R	-3.11147175555359	19.6583899712886	15.2087105426861	-7.71038079171379	20.9417685989496	15.4939668495145	-7.64875512122904	20.9706892899829	16.1380542369422	-6.03906660661331	20.5786859360562	15.6980300610018
CRLF1.CLCF1 CSF2	-5.47740701403497	20.3411644008032	15.900254383454	-6.42595688250551	20.3415941099255	15.4542626761142	-9.29126943197579	20.8314485922157	16.4024138761697	-9.03233786292866	20.4126451100931	16.1295710595808
CRLF1.CLCF1 CSF3	-6.70636548583542	20.667350307196	16.3230662888077	-8.11949516212776	21.0396812297796	16.0037472137799	-15.6506885332425	21.6284949234616	16.8672689617234	-14.1136262273381	21.1571498975267	16.5497795619878
CRLF1.CLCF1 CSF3R	-4.97231690289898	20.5438027043915	16.2642936628217	-7.29377297325343	20.5998477163623	15.7827499896355	-7.45967759106854	21.0347293882338	16.5615739169635	-7.77791460160772	20.7579803205057	16.3658951754353
CRLF1.CLCF1 CSH1.CSH2	-12.0515458975943	21.480993552628	16.5912121672314	-13.5527984862618	21.0884451765353	15.897487191485	-22.3498967413408	21.8869669993021	16.9634020235296	-16.7148543859965	21.5186817767167	16.5219267506431
