protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CRP CRTAM	-0.92493691975961	18.0721877713398	13.04100420314	-2.38765884640172	18.9275412830313	14.789140102091	-1.52781910398118	18.5349049027447	14.580181278378	-1.87638844369147	18.8140069427878	14.7162647331294
CRP CRYZL1	-1.1943398305649	18.4267089005512	13.6272182310796	-0.749896046811628	19.0446183734142	13.3811931508406	-0.790752704539001	19.18142934682	14.1334912365591	-0.950504636122359	18.8355775259766	13.788289670758
CRP CSF1	-1.01927639497251	18.9533201027657	13.8241643931669	-1.30320970482305	17.6930270243378	13.5439860730025	-1.04598954776313	18.4577527516106	13.9657145105242	-1.11694678004595	18.6021482603211	14.0631390241011
CRP CSF1R	-0.541452932106734	17.7066115073114	12.4171211124328	-2.10647138010104	19.6707490983314	15.0852727405473	-1.04528528825907	19.3658077010933	14.4044349144705	-1.28581268541444	19.0516401280391	14.0710246249047
CRP CSF2	-0.845058470146731	18.2687751704773	13.9482469734075	-3.50578739952772	19.402963487566	15.4924764592412	-1.74812770841805	18.9354622537526	15.110418347332	-1.53538621655523	19.0646211222595	14.9218100769552
CRP CSF3	-1.22827764608375	18.6839893728863	14.1482075301864	-3.20039693706713	19.568453547758	14.9013045450827	-1.88824950495398	19.1589315096273	14.9586740520265	-1.91092264843428	19.1684242122088	14.8379513169496
CRP CSF3R	-0.919895452197338	18.4801943626473	14.1752277046199	-3.13220051857735	19.0647730690081	15.0367664323099	-1.3472433097033	19.2965718735691	14.9519802964492	-1.53838441257166	19.0454790047708	14.8016192404451
CRP CSH1.CSH2	-1.26190701034663	18.8011652028908	14.6768220731975	-2.80137815308281	19.4342059508733	14.433050017538	-1.37322970273831	19.3143723796339	14.9650134272275	-1.71243166480049	19.4158043205938	14.7559124276699
CRP CSK	-0.718877877101865	18.0203081093261	13.5865950007124	-2.62196076307575	19.272025477401	14.9873817718821	-1.45345778266966	19.2499414553797	14.7686500623071	-1.59612318038732	18.9672113948392	14.5625941726876
CRP CSNK2A1	-0.547528125476232	17.8326464312293	13.4983000165455	-5.08833710352495	19.863339659544	15.3166281664391	-1.5443142230973	18.9892035992559	14.9449867862877	-1.66968147596214	19.0456032121968	14.7655449515971
CRP CSNK2A1.CSNK2B	-1.84905876324277	18.5645099903608	14.4238289605273	-2.57538731843883	19.467133710971	15.0864234249256	-2.0669154994026	19.6143878145113	15.1957240099255	-2.31625396460622	19.3268806817556	15.0621852588256
CRP CSNK2A2.CSNK2B	-1.48039714359716	18.8344558878181	14.2916186480793	-3.73909936956858	19.4770441272033	14.5928148392958	-1.61313357325751	19.4025017154635	14.7810700474897	-2.73694360599444	19.3631950324332	14.9312176045608
CRP CSRP3	-0.438958786176463	16.4724723937081	12.8772482337739	-1.64173075737844	18.3459894103534	13.7409632742448	-1.05529240027534	17.8621957830881	13.5579433951146	-1.03129478941813	17.7855074287346	13.6018793522627
CRP CST1	-0.507098312971204	16.6705424566165	12.8133394785238	-0.915464366604623	17.3248904424714	13.2336823933588	-0.561965738348929	17.1628516365824	13.2357264591884	-0.72331192791938	17.1760969318098	13.3056234851949
