protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CRYZL1 CSF1	-3.29195901095391	20.2640760161377	15.550691109206	-1.56709254923921	18.4439960943259	13.4914282782832	-2.63811934527873	19.8250250006161	15.2382624395977	-2.43686110623202	19.8716563554618	14.9436956526088
CRYZL1 CSF1R	-2.43298002591495	19.1938599273615	14.4776294020201	-8.46093066483663	21.3790971811514	16.0848269329471	-4.29455685445715	20.7794843348575	15.7133153343054	-4.86884609765802	20.7592357136078	15.7657692957999
CRYZL1 CSF2	-5.33902705651772	20.1294359318929	15.5606931054996	-4.07116922854778	20.9683335349046	15.3294812530013	-5.15937035577466	21.0656720001157	16.2094285960177	-6.5354575984544	20.5698701837988	16.0170373427759
CRYZL1 CSF3	-7.62476217832296	20.5178912093709	16.0584086690264	-13.1146033233068	21.0315215976498	16.1680150436555	-10.9745592046791	21.179705448724	16.6219294878847	-12.4474828116882	21.1271756002903	16.4993581417127
CRYZL1 CSF3R	-7.60892582443458	20.0226806701816	15.8446310199183	-4.19034236177449	20.3609531990203	15.3872812550089	-5.15103248788118	20.4557071594207	16.1086714598989	-6.41790414653762	20.4265229711687	15.9730441829512
CRYZL1 CSH1.CSH2	-5.31744209345909	20.7046992338308	15.7170183157062	-5.88318260337391	20.724683991765	15.6652233022377	-13.1112132065228	21.5109973778709	16.9045862370637	-6.95273113948471	21.0637204603539	16.1204278691379
CRYZL1 CSK	-3.52447891501803	20.1141514982592	15.1547140967767	-2.98161525887125	20.1085690764875	14.6250486390215	-4.55197055095003	21.0093133229683	15.9605409470968	-3.55665488471463	20.4705192739454	15.3680927978602
CRYZL1 CSNK2A1	-5.54547879129522	20.4847145793177	15.7443283925885	-6.71758713687348	21.1573917262215	15.4630829332906	-9.35374189088487	21.2375256749085	16.1916524240676	-7.18029102305027	21.1625519700353	15.9864718706784
CRYZL1 CSNK2A1.CSNK2B	-5.57402125925433	20.4104527511493	15.798931301577	-5.95058179204806	21.1392863901359	15.8604030665367	-17.329182396757	21.9050823751457	16.9657307619609	-6.61263057340468	20.990994354947	16.1088540757592
CRYZL1 CSNK2A2.CSNK2B	-3.71555146818092	19.9149815304627	15.1734734838401	-14.2968935673953	21.0821564047928	15.90207033061	-7.71788766962448	21.2661284384199	16.1871241766599	-7.16866332293747	20.6396615719026	15.8868935997047
CRYZL1 CSRP3	-1.2958878327319	19.3715468746514	13.7305253717327	-2.07383158297928	19.3326429301908	13.9002050739144	-2.29626268120471	20.0737732550966	14.6315715815996	-1.79982652285966	19.5494453822582	14.1030254971602
CRYZL1 CST1	-0.986563104760205	17.6819812724339	13.068041677772	-0.638345761110416	16.3848421793295	12.2060091011742	-1.13914285555614	18.163608818111	13.4379748105532	-1.04295609681915	17.445367068528	12.9557319734691
CRYZL1 CST2	-1.31959350522758	18.6377884853119	13.7435091744978	-0.522066778083988	16.5410143034576	12.1578238977643	-1.34445114669425	18.3874010550662	13.652052069801	-1.15000599734659	17.7667794417388	13.3290774220795
CRYZL1 CST3	0.332674919553409	13.3605290428017	9.87808194711004	0.03108685140659	14.4601942798537	10.5212913476567	0.168316695825473	14.3449429429745	10.5016898697283	0.189478393082113	14.1012096962819	10.3334242280131
CRYZL1 CST4	-4.66398869445179	20.081892633032	15.7092004363213	-15.9740741493103	21.5895208259676	16.3505007122757	-10.88013767842	21.1416397205015	16.841432743692	-11.0481315486882	20.9976848888868	16.3700252886265
