protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CSF1R CSF2	-3.22049092942112	19.836295385373	15.6463461160541	-2.83864573309444	19.3958695526323	14.5707197883237	-2.73807503564049	19.5952917554474	15.3541051367361	-3.64052104567959	19.9176498582582	15.6241312285686
CSF1R CSF3	-6.09135056459995	20.585457716453	15.9757095721476	-6.48928718681388	20.4963426324791	15.1027835279448	-6.93590691403954	20.8187196633508	15.8775134929798	-8.56888867774765	20.8197861277604	15.9539492965435
CSF1R CSF3R	-5.01262299264612	20.0499624948736	15.6271870389797	-4.13729967476198	20.2889953405575	15.5130031002118	-4.06060821131563	20.3395318313682	15.7807581204081	-4.34527691800415	20.4930449572473	15.8978978656039
CSF1R CSH1.CSH2	-5.85567430548005	20.6259810196116	15.9655488209993	-11.1462003123246	21.3176956191441	15.935798564449	-9.45289266159055	20.9763462329697	16.3306355216535	-7.44331505366724	21.2022009803595	16.2182399744658
CSF1R CSK	-3.2053677726878	19.8454922289689	15.1695228661954	-5.80295348558294	20.8204625038503	15.6192536607822	-4.68786994783721	20.408979620833	15.5900317847951	-4.420192050141	20.6874726931047	15.7724864757606
CSF1R CSNK2A1	-3.86056764701875	20.485699410827	15.5472933068612	-6.1241073729302	21.3716005628631	15.5773433546533	-5.0006790107804	20.9146062862893	15.9757442516461	-5.41848568399658	21.1352283179201	15.8720573940796
CSF1R CSNK2A1.CSNK2B	-3.52613848929805	20.1457103519779	15.3315287508471	-9.26698528791681	20.9604713246361	16.0050091632254	-8.18300833227215	21.1166459951181	16.1896368759829	-5.23664718690815	20.9386152037675	15.998686998857
CSF1R CSNK2A2.CSNK2B	-2.38445287457542	20.3763788272426	14.9340520112626	-11.0720226518446	21.1428583789536	15.7650542482498	-5.47503867644926	20.6628846638667	15.6193872360896	-4.80572057925754	20.9767659699551	15.732499044612
CSF1R CSRP3	-1.06236907241528	17.8725285969084	13.2855036501291	-2.04147509162027	19.4837343355794	14.3308864046756	-1.50013424561457	18.881022159839	14.0606402802986	-1.47016867887019	19.0315717150965	14.0330538700787
CSF1R CST1	-0.594097788691392	17.4962578155539	12.4962982579383	-1.46179816438268	18.1922059377143	13.595978217691	-0.987126834759555	18.2383277497189	13.4159876532243	-1.07307877954676	18.2496740889952	13.3812035566729
CSF1R CST2	-0.715614916497536	17.7989841288977	12.9540587617049	-1.52053006510765	18.1070511516883	13.3285324112776	-1.10762548407193	18.1352762002231	13.4440453719359	-1.11372454003315	18.3012291051156	13.5129408288458
CSF1R CST3	0.303811116577255	13.7629871168302	10.149274027689	-0.0900951166616575	14.9399011774025	10.3545033132417	0.103418665666281	14.5631731928229	10.6351547017033	0.0660913291589853	14.6365685109369	10.507250689508
CSF1R CST4	-2.80884112767534	19.4966607768713	14.8915954275499	-12.4964255997993	21.1396369372293	16.340567694987	-3.94292030080808	20.3974225209728	15.7662075332372	-5.42909190743214	20.4312964653981	15.8832072329705
