protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CSNK2A2.CSNK2B CSRP3	-1.3554023384572	18.0988367106283	13.7018767068202	-3.07553927493639	19.9653722473973	14.6060604540448	-2.06725520780692	19.2883052044072	14.361880064139	-1.99194849594826	19.5503497716237	14.5688275218385
CSNK2A2.CSNK2B CST1	-1.61930562520039	18.2252281678804	13.8022698024125	-2.35010537079841	19.4164696666073	14.4802112144544	-2.18807209627562	19.1630299893376	14.3734290240999	-2.14721962492452	18.9241345012326	14.533216718968
CSNK2A2.CSNK2B CST2	-1.71774725189876	18.4365932160629	13.9814779946078	-1.86405291989438	18.9830288319228	13.9990097343231	-1.64557216288425	19.0878390519778	14.3409842238673	-2.002739560431	18.988653871247	14.412028775646
CSNK2A2.CSNK2B CST3	0.240160253042278	13.9038370503016	10.4393481219329	-0.161843912264352	15.0055361453433	10.2295583314611	0.0121767221236609	14.8782763990999	10.7618473490267	0.0699812908990541	14.5294545528337	10.4895545537932
CSNK2A2.CSNK2B CST4	-2.48825091944802	18.866049265684	14.5636618552224	-12.497956925781	20.9801941852733	16.1510526220454	-4.30184760097	20.4680846595517	15.724483095791	-5.95404314013527	20.3266339979279	15.8707047655115
CSNK2A2.CSNK2B CST5	-0.710425806592402	17.2064128521101	12.4666968545692	-1.5352287987943	18.1217387235448	13.7216023376611	-1.57043942639316	18.4285079635242	13.8066296227032	-1.19996016624273	17.9291427531059	13.3755516103431
CSNK2A2.CSNK2B CST6	-6.65109551731214	20.6682839674242	15.8386227083932	-1.56120253070338	18.8560604521226	13.8480640351655	-6.63139546157186	20.8205001066041	15.9418132669568	-3.30979218602002	20.0564297250539	15.3404813142198
CSNK2A2.CSNK2B CST7	-5.61323836129269	20.0440015341351	15.5286032327906	-2.86007755757175	19.0277471461599	14.2219380403406	-3.73059630873096	20.4050038152362	15.6775191856611	-4.2845374134728	19.8457025092391	15.3844431866711
CSNK2A2.CSNK2B CTF1	-6.26166430368606	20.0616028798688	15.9138862284675	-1.9188299362678	18.7263855187786	12.9314196278232	-4.06012311991796	20.12031878135	15.0950470528586	-5.00600141156254	19.8097902582377	15.0059390745163
CSNK2A2.CSNK2B CTGF	-1.65375542683457	19.1472320629971	14.0055538897464	-1.26829090065101	18.0860284169301	13.4926081150285	-1.88669179718726	19.3333708259356	15.0647025475018	-1.80243790484249	18.8583353920101	14.1334371714445
CSNK2A2.CSNK2B CTLA4	-6.79736546431069	20.3070324247089	15.8278891038161	-9.46734641517179	20.3428835840902	15.2937437758583	-11.9335940835296	21.3419401992881	16.4670724126664	-11.687174029008	20.5603159169945	15.9370581640738
CSNK2A2.CSNK2B CTSA	-1.00090194734673	17.8704415338048	13.7444863926621	-1.99930640805389	18.6475383111153	14.0341603655066	-2.03565172959295	19.1761838363553	14.8167227841907	-1.94186202551989	18.5010398508612	14.4036210246931
CSNK2A2.CSNK2B CTSB	-2.33425832562766	18.5584632573952	14.264398699952	-2.97297248964264	19.7050121890053	14.2690461235573	-2.63288752260306	19.6719655192525	14.6988726398984	-2.7102704136008	19.4084279354708	14.6210093345549
CSNK2A2.CSNK2B CTSC	-3.20738027260126	19.5103025843173	14.8577901896714	-11.6008892528646	21.1377923324106	15.7742119972057	-9.29489658265434	20.9199284773453	16.2073515157709	-8.093457483673	20.5923667642587	15.7893813185523
CSNK2A2.CSNK2B CTSD	-0.790468496012161	17.0408103160451	13.7667827559802	-2.31957719244217	19.1543833286617	14.0584352812946	-2.03757205711485	18.7619983676701	14.4926610088132	-2.49500349497511	18.6149324355455	14.483247327616
CSNK2A2.CSNK2B CTSE	-7.38474264659087	20.2180670534634	15.8665580603109	-8.94826954792415	20.9090331773711	15.6211074077336	-10.6627384032349	21.1049996834635	16.4905070605807	-12.4186263460299	20.816449648901	16.2112321691359
CSNK2A2.CSNK2B CTSF	-4.15787863212519	19.3078695438247	14.9914530719624	-5.34652840651245	20.1059521963883	14.9230208661663	-6.57052463385315	20.6466608442843	15.9480425236357	-6.04895343597448	20.1048182844569	15.4318582079682
CSNK2A2.CSNK2B CTSG	-1.96170086402495	18.9434367917882	14.4170090578697	-9.20895781400684	20.810778703162	15.9054903298966	-3.76511867320133	20.5073652151129	15.7880660124595	-4.60355252160285	20.1177953219142	15.5449146409246
CSNK2A2.CSNK2B CTSH	-3.77405191593145	20.1376148812428	15.3373217037185	-8.15073280840481	20.477138280588	15.3159464242471	-6.58210229340686	20.8301762802478	15.9044527596739	-7.79720274502234	20.797564636207	15.9323033911694
CSNK2A2.CSNK2B CTSS	-0.901888084127128	16.9777790376494	13.7178742197278	-2.79037267629472	18.9770358552078	14.9872823255735	-1.78822193076227	18.608524124489	15.1992398222061	-1.92412428304029	18.3438439100526	14.8244663881948
CSNK2A2.CSNK2B CTSV	0.578088542850239	12.7117980000866	9.36915911804588	0.200726079167049	14.5196324406867	9.97464842743526	0.345063384121975	14.0326656354767	10.1894179174733	0.383094567524166	13.9290287094585	9.9381793948648
CSNK2A2.CSNK2B CTSZ	-2.03577280541478	18.2698849489851	14.5237219958584	-2.89130741820128	19.9787205589072	14.3707129766373	-1.97993921515081	19.6413136055579	14.9903611059162	-2.82249075907506	19.5034636714963	15.045764170835
CSNK2A2.CSNK2B CX3CL1	-0.951283976516393	16.9537899873599	12.5997841870809	-2.69967152673972	18.6668839591248	13.8247687864472	-2.00506428213686	18.2632979195238	13.9389692098703	-1.76827525875132	17.9622443754494	13.5083257557271
CSNK2A2.CSNK2B CXCL1	-6.95095280035645	20.2713656379807	15.8767111556939	-2.8351637536007	19.7708942753675	14.3494385170663	-5.38039394913269	20.7941505360486	15.9271524512502	-4.6594975438974	20.3344176859702	15.570329562364
CSNK2A2.CSNK2B CXCL10	-1.65708716611933	18.7577292376696	13.2266368403938	-1.229108971606	17.4239670236985	12.4995735109277	-1.61335690417756	18.8552380741355	13.5420306121052	-1.63606464389834	18.4740252332423	13.3238489788117
CSNK2A2.CSNK2B CXCL11	-1.14613565786483	18.6138927898193	13.7096110456643	-1.35258445922254	18.2952397740324	12.8041597186139	-1.00929614537715	19.1312104652831	13.8032944978222	-1.29280803992928	18.6706073389996	13.748130268958
CSNK2A2.CSNK2B CXCL12	-0.914320861773343	17.5472509387794	13.0814233224246	-2.03223765465494	19.0981864584611	13.8155426770167	-1.56471431224533	18.8129625629067	13.846192184382	-1.35872718664205	18.5595780684542	13.7656343256461
CSNK2A2.CSNK2B CXCL13	0.338244459287571	13.8413393338605	10.0685516123879	-1.22482866240483	17.7849627481197	12.5577320052324	-0.448646027316101	16.3326195447138	11.8919014892021	-0.204313388803218	16.0399311613793	11.702114500357
CSNK2A2.CSNK2B CXCL16	-3.27017701088994	18.8132502818764	14.8169282640902	-3.90104497171722	20.1405195646275	14.1528447061126	-4.01120195660838	20.3267675000752	15.0692723771667	-4.42949532460964	19.9671048044137	15.0368856463321
CSNK2A2.CSNK2B CXCL3.CXCL2	-5.58843396733656	21.088565478823	15.7264540585289	-5.58204509417978	19.6508996444309	14.8462745921477	-7.55747158990228	21.2997953009462	16.2794802153218	-9.42929809550234	20.6178062697918	15.9416366099792
CSNK2A2.CSNK2B CXCL5	-3.83175566701435	19.3294605756591	15.7958651980829	-3.11517637454388	19.5021330894876	14.2980999624244	-2.80007538061021	19.9028069661322	15.4366511185682	-4.71283542689537	19.8447224171563	15.5727765948591
CSNK2A2.CSNK2B CXCL6	-4.04937547045621	20.8652547954818	15.6019664265362	-8.19925067410162	20.5210666549656	15.1950710046231	-9.15911498960097	21.3310858455714	16.3013704780819	-7.10319219049754	20.7206267808123	15.8005237389596
CSNK2A2.CSNK2B CXCL8	-4.57304856663057	19.7810924060449	15.3133816029872	-4.13548649805801	19.7956316866769	14.3894650711026	-5.6298657530735	20.2224130694592	15.619149311362	-5.72375043673483	20.0728795047655	15.5106618756927
CSNK2A2.CSNK2B CXCL9	-1.50829104942456	18.9530711101752	13.408832561708	-0.917505145969235	17.2309591052313	12.5577840523162	-1.10542322623015	18.5951186918791	13.3593332652548	-1.10843910652532	18.499890436079	13.2289844860415
CSNK2A2.CSNK2B CYCS	-1.23626299444015	18.5537063203848	13.5534959792366	-2.9676532117707	19.7101495389871	13.8666820727831	-2.51760659141845	19.6785274832326	14.4094897911218	-2.43019631481859	19.4935988389218	14.216790251392
