protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CST5 CST6	-0.0859742381164053	15.8141507972099	11.488268001014	-0.116990936140304	15.7025590932607	11.3098308518446	-0.218286632739676	16.5592036990861	12.2428969529446	-0.136941620998829	16.2240596862571	11.9644999574634
CST5 CST7	-0.370195684816937	16.4996996881554	12.1351952945994	-0.371594850019982	16.7204297963521	12.2714240403155	-0.246262615341315	17.226653404796	12.7043330783119	-0.552299958522439	16.8511767120102	12.6240392731924
CST5 CTF1	-0.496875132835799	17.5005196369178	12.7359787393924	-0.0875330709174953	16.0247309167205	11.9026362338918	-0.955365517948958	18.2095449033989	14.028099174655	-0.581413212403526	17.2917703474882	13.1408089896424
CST5 CTGF	-0.4317451124166	16.6715882644912	12.4229987207601	-0.497005048737485	16.4076252606299	12.4150357460266	-0.7821724347982	17.4736153883016	13.1331493225617	-0.790470842423254	16.9584915647203	12.8359945663542
CST5 CTLA4	-0.419488576033471	16.5693640612505	12.1083759179945	-0.977097140284748	17.5093050131231	13.3754773972038	-1.17391841732182	18.0362183058354	13.4883838104634	-0.798396680345639	17.5311366047237	13.1202751517795
CST5 CTSA	0.121219785983444	14.8074544064792	10.7248426155266	-0.447794591265125	15.9250357793863	12.4063001497612	-0.302638690999095	16.3411741941475	12.4616235291242	-0.332075918767488	15.9206740490742	12.1481818258248
CST5 CTSB	-0.447009867824226	16.3913685518584	11.5985526662155	-0.190467373787947	17.579149827345	12.5198461689022	-0.611999227071617	17.5809746653546	13.0828717086656	-0.414876595511541	17.2207356097863	12.6243578384427
CST5 CTSC	-0.487306191556644	17.1779533465687	12.290708333759	-1.14182905221489	18.3551002465725	13.6071706134542	-1.33294675922715	18.7071602840681	14.125589923102	-0.89255006824814	17.9561611556633	13.2277975765461
CST5 CTSD	0.0694955785747718	14.8964242790502	11.0724217405678	-0.0876199648837248	15.8277880912022	11.734210475542	-0.0658717239991153	16.0805765432995	12.1041480874782	-0.181808367765038	15.8167579680272	12.0044132704659
CST5 CTSE	-0.588314256712941	17.443170158748	12.5640494836534	-0.693144871168504	18.1230199779772	12.9417590289534	-0.588449554172262	18.5367277201564	13.6031494731393	-0.682110070181515	17.9515224408452	13.144727183225
