protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CTF1 CTGF	-11.1610442842545	21.4325685546006	16.965417288403	-1.84714773263502	18.5842273318203	13.1322555701684	-5.33222604567742	20.6585522004691	15.7342048694641	-5.22544855864299	20.3349244940258	15.4469897690134
CTF1 CTLA4	-7.22616714899299	21.5444464835323	16.901404771444	-2.76691569410504	19.155014819551	14.1470128646597	-13.8695862151211	21.3582917870732	16.9608273901416	-6.91391828558861	20.5874667045792	16.0456644249247
CTF1 CTSA	-2.34217689702661	19.3677706263864	15.0232848165106	-1.35120694645045	17.8059553291023	13.0810085775649	-2.81508619800893	19.506825058826	15.4277778026388	-3.17688943895745	19.3038846711892	15.2784823825346
CTF1 CTSB	-2.2301410558	19.3035161712622	15.0778103503176	-0.111856691835453	16.1568956671889	11.7699747052774	-1.30983238487354	18.6925495886076	14.5709750760316	-1.09224245148578	18.5013967264145	14.1477724717596
CTF1 CTSC	-7.08087092368764	20.9297074210536	16.515243640816	-2.70226417401025	18.9195790698536	13.8317180336792	-7.8440040704733	21.1895651238105	16.6035351181988	-6.24557080204366	20.4062957546599	15.8364858814316
CTF1 CTSD	-1.38133102073405	18.5441277393917	14.9718354518909	-1.58515105433399	17.8807549105596	13.4563524403991	-2.1168104274708	19.0169987829793	15.2600188681019	-1.86911787781572	18.5996407849732	14.900954219752
CTF1 CTSE	-12.217635117191	21.4361557867845	16.7163410856235	-2.24007849153585	19.0151222215784	14.2340154792381	-11.2471449993416	21.2861900051647	16.8508763353199	-5.7478664924712	20.4361952693158	15.9764056765224
CTF1 CTSF	-3.54324386462185	20.2248332988709	15.6131897407058	-1.57405704132467	18.3614588883993	13.5127484888386	-5.24045661213202	20.3872420511098	15.9774219032381	-2.91907429671195	19.6373604507671	14.9045248256888
CTF1 CTSG	-2.72917198574121	20.0425009565876	15.008481160896	-1.58657664654465	18.7051975733916	13.6528464431157	-4.33111086930782	20.3584177450543	15.9724871631485	-3.16592228064225	19.6666156035028	15.0500355115335
CTF1 CTSH	-10.2547292233024	20.8315040888673	16.6247527957333	-2.72594599546664	19.2895133057014	13.865935600387	-7.30753987070633	20.8680654308066	16.3175865183477	-7.30871711917739	20.482095864418	15.9666034122759
CTF1 CTSS	-2.56000247226537	19.1114429342539	15.3890308177912	-0.817462518543541	16.9145887706112	13.0173101828991	-3.77753111628806	19.4111223603225	15.922762644997	-2.56139952094454	18.8506390713226	15.2898291619725
CTF1 CTSV	0.355342931267733	13.7304519254805	10.5589446367296	0.5351188273883	11.8374357515932	8.69868422419615	0.455083664103935	13.4904444971796	10.3125228842411	0.352204955938075	13.6485101177295	10.3851096953985
CTF1 CTSZ	-1.97092581704342	18.7022017804604	15.356531978068	-1.27034712726795	18.0070622629579	13.4345457596099	-2.55946437144603	19.9981360271228	15.6681555870232	-2.43111223523909	18.9417351751275	15.0961362967411
CTF1 CX3CL1	-1.01994508370765	17.3201658131446	12.9664987564371	-0.637996227207814	16.4198558317941	12.6687700241512	-0.911704488108278	17.99577358673	14.0864255934372	-1.00143844888543	17.4246600601717	13.315338082751
CTF1 CXCL1	-11.0713490323098	21.6219915180636	16.3510784842151	-1.74421428075153	18.5632840183994	13.244349515831	-8.53675204479775	20.955974282255	16.2075748688826	-4.41816574990395	20.3901947301876	15.491932364126
CTF1 CXCL10	-1.34009652155126	19.1961790750364	13.7737853779346	-0.585212711448062	16.705050489537	11.9412341060689	-1.29424955727199	18.2439177836689	13.4591916731898	-1.01528129452137	18.0670466804259	13.194874057709
CTF1 CXCL11	-1.72789674298897	19.2460140206209	14.9271838897021	-0.636658354676393	17.6823790044598	12.339578220348	-1.16594992109557	18.9647761995984	14.1379972241571	-1.25858847521398	18.6827583802499	14.1380506703878
CTF1 CXCL12	-0.993946289495936	18.0222631055208	13.7991677112753	-1.44459810366767	18.4804648502774	13.2356370751484	-1.65564797528351	18.9889961737045	14.3920144478046	-1.48879056880176	18.6190173111341	14.16029975566
CTF1 CXCL13	0.496624447707769	12.4863034946634	9.58646695027077	-0.647629310952959	16.661964283105	12.2492674122087	-0.0590314128182916	15.5445502066243	12.1249781502771	0.0804944780752131	15.034924903256	11.4155535507719
CTF1 CXCL16	-7.83096530436389	20.3041105387438	15.9291737435719	-1.09907347627543	17.9244399615315	13.045074818547	-3.63018480334857	19.7465449039548	15.4855897149718	-3.2184519227208	19.2706040086073	14.8595878436149
CTF1 CXCL3.CXCL2	-15.7498483901533	21.816894903299	16.8139365996015	-3.39321020350067	19.6869113569263	14.3646853428902	-11.4349708188056	21.4843526608633	16.5301327064152	-7.73732034781432	20.8330718845567	16.0009289343276
CTF1 CXCL5	-11.9715372675074	20.7113130392912	16.960403908621	-2.50927305825854	19.0474346622279	14.3163141647456	-6.28344839783359	20.5234092204389	16.6158668111823	-5.96243304949689	20.1084535653551	16.070591434082
CTF1 CXCL6	-9.96824298078605	21.1879020822152	16.6294020207927	-1.53879867979528	17.5504809416004	12.6381989477292	-6.42708298861332	20.6959319146055	16.0740012541468	-7.31758300377184	20.6575500964414	15.9827912870604
CTF1 CXCL8	-6.97022279068178	20.3117904612269	16.3059957459773	-1.42248323804311	18.0371028104322	13.1487006981976	-3.32251318460262	19.8181237847085	15.6890016208452	-3.74345676481239	19.5411764277242	15.2687986667502
CTF1 CXCL9	-1.09988545774376	18.5429098310027	13.7725849313308	-0.428617953298881	16.1482420407382	11.5086701571687	-0.801198037692678	17.6563120066421	13.4559705920393	-0.73784260722982	17.6665492567531	13.1018519017734
CTF1 CYCS	-2.20175355991355	19.4663355058149	14.5430749864972	-1.03956601138297	16.926518158272	12.1468586285793	-2.08342529412365	19.2490468914899	14.5492297317863	-1.620857911246	18.8789317649106	13.9552824340643
CTF1 CYP3A4	-6.27390554771531	20.7617334638187	16.3740381428136	-2.46186181496535	19.0661379665648	13.7652161726652	-5.96734904528298	20.8801476857444	16.1311064807768	-6.0950384257135	20.4059111865446	15.8438441787368
CTF1 DAPK2	-14.5830343975962	21.82314863293	17.1151153525089	-1.09387173589516	18.1512282646216	13.1747671626662	-9.26008851789538	21.3832513294548	16.7822884197181	-4.50217785977891	20.4540694992088	15.7329439172877
CTF1 DBNL	-6.19423883406401	19.8859448375689	16.6311051945768	-1.9665751952667	18.0706164778965	13.7355241090278	-4.28738822057929	19.7968620066416	16.0272753983982	-4.58418832867793	19.5104055787753	15.7687550562547
CTF1 DCN	-5.66731339779699	21.4217322474645	16.5111469517598	-2.14997522270198	18.8288381334199	13.5455038018868	-7.18166400710665	20.8924213118437	16.4185571445689	-5.51272492171408	20.3898504658532	15.8111373673901
CTF1 DCTN2	-0.941017795837866	18.1713744464347	14.5101910237606	-1.03402052987925	16.7505637360422	12.6486483072886	-1.54520292516681	18.5906295656892	15.052018667393	-1.36676196055623	18.1908167239075	14.5772685246027
CTF1 DCTPP1	-26.0717570426726	21.7586069844609	17.4018794739005	-2.82803132984149	19.0704544835412	14.5603762991257	-7.63019394262717	21.1098005142446	16.8089909806104	-9.91906106405713	20.8501807289225	16.5614130992593
CTF1 DDC	-3.24380447666577	20.9552067809241	15.9423495041369	-1.0691043388331	18.1949448310665	13.301809901371	-2.31359978664053	20.2125761902081	15.6633998182319	-2.54412881066167	20.019277133198	15.1533165795644
CTF1 DDR1	-28.2850321629697	21.6150802548008	17.4296420925206	-2.73978261778757	18.9268688081331	14.2257770910142	-8.36951424699823	20.9527635246935	16.3768785302918	-9.17692496665886	20.8955147405604	16.4173569207013
