protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CTGF CTLA4	-5.49050393975629	20.4931399315635	16.1661329683038	-2.57187569061451	19.8725937261365	14.7636701694732	-7.0194190058727	20.7500022398556	16.2209863115441	-3.88071924415442	20.4405705675389	15.6890678087906
CTGF CTSA	-1.39848699931285	18.4350269556983	14.2978309847888	-0.747498861563588	17.5811604802535	12.7570119644578	-1.33004031847552	18.6657712644161	14.2229881262156	-1.28800198917046	18.2355895925204	13.9790741838522
CTGF CTSB	-1.38348368926094	19.050631604799	13.6374520486268	-1.49940351891366	18.9351231984976	13.5108478838192	-2.01588828945503	19.5865255602263	14.5351220105379	-1.57778029183827	19.2611286761797	13.8701762844765
CTGF CTSC	-4.96228332753808	20.2148987921599	16.038298521942	-2.63546122075912	19.7961182373889	14.4712544044684	-5.24345743445539	20.413304749585	15.8753717118442	-4.21494501226682	20.3104218621839	15.5870653874967
CTGF CTSD	-1.00706945776174	17.7085203590946	14.2902177037316	-1.64895241647679	18.2295762072625	13.4296368943969	-1.57390055121093	18.5599240955182	14.4851092744167	-1.47305734166343	18.3689697133858	14.3047020599498
CTGF CTSE	-10.8737225775495	20.9414186219998	16.4627591698919	-2.41550924564858	19.5479794781588	14.313973474501	-5.79077327730116	20.8992429041008	16.2795167385572	-5.07703619531638	20.5553794624817	15.6808834961667
CTGF CTSF	-3.21111667206964	19.0443922602308	14.6848432943141	-1.79248925442735	18.6535858920792	13.3475897151734	-3.14029767166852	19.7605431598963	14.9670436916652	-2.66256530183749	19.0789977851315	14.4178540802689
CTGF CTSG	-2.65738490587142	19.3309719911686	15.2144621654036	-1.8622801261008	19.3879335151617	14.3685320959428	-3.10172080488286	19.906404759892	15.7985551256913	-2.56869261636205	19.6080416935019	15.0775185075693
CTGF CTSH	-4.90693544261881	20.1852659612989	15.8446821327512	-3.15193190240461	19.5771193275835	14.1744666411343	-5.16301571164268	20.6186265188181	15.8546422600011	-4.34354504082067	20.2994385590435	15.4136896250247
CTGF CTSS	-1.72451696251836	18.692947408168	14.6563622255458	-1.19848499068721	18.8649459949236	13.8108351736998	-1.76557014135526	19.2301266589973	15.2614144557083	-1.66327409357318	19.0226241804949	14.6515013840302
CTGF CTSV	0.419541461660479	12.9760725586605	10.2452279749148	0.311167008426269	13.530670865897	9.66614447847909	0.286115473812566	13.9448159393956	10.6106991636781	0.352490586356925	13.6301209567076	10.3458561608394
CTGF CTSZ	-2.00556600368158	18.5024045691147	14.9040438474366	-1.48905555183727	18.3107985779877	13.4691267127952	-2.32114093704677	19.3658364584987	15.0664435799076	-1.89212232783357	18.6643513519665	14.5871013318801
CTGF CX3CL1	-0.298636290342269	16.2544158570371	12.1462063836152	-0.802236088965615	17.3494973380439	12.4645933453775	-0.855204080188285	17.5326855096996	13.3340049456303	-0.67772617151624	17.1434119291578	12.7022100166456
CTGF CXCL1	-9.46943616183216	20.7896043012537	16.4987955909068	-1.54840091146763	19.5609487016842	13.7829075420595	-5.01963733737646	20.6498011243826	15.9490811490146	-3.24912905387248	20.4077324107236	15.3326233075543
CTGF CXCL10	-1.59005685908323	19.524308235911	13.7890420223574	-0.546889118989673	16.8712871146957	11.9732624569982	-1.20343059818666	18.6398618945695	13.3076514568325	-1.06347191837316	18.3664964182094	13.077811057445
CTGF CXCL11	-1.48418808148633	18.4463071927562	14.3753565881452	-0.865205033990647	17.5082878159045	12.5009025120094	-1.14150051606128	18.8808464996846	14.0420592230117	-1.22856897166101	18.2713128058144	13.7432635346195
CTGF CXCL12	-1.03118673018026	17.7715422529315	13.8126955470737	-2.0167704374821	18.8731517371354	13.7025420038148	-1.57455042212273	18.5241575972177	14.0995079903635	-1.76866478908288	18.6256201924629	14.1481822901616
CTGF CXCL13	0.380608751927978	13.5769385643978	9.95397608515514	-1.05855877742373	17.8396537718277	12.8574753430176	-0.373293400469794	16.4254377548261	12.1277061033377	-0.201767611472285	16.1572944628395	11.7043370453018
CTGF CXCL16	-5.76639350617204	19.9217875058199	15.6885155115758	-1.27269198015196	17.5364450587574	12.6818484502599	-2.84889500511798	19.3885620114816	14.7657859507619	-3.49402838937524	19.3384017817012	14.8986473623674
