protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CTSB CTSC	-1.74668453746301	18.3351496388706	14.4324323113425	-2.44749140670417	19.598484383085	14.2558787005641	-1.96315773769145	19.2034907238215	14.616347117254	-2.36632522744767	19.3325705911239	14.734170659298
CTSB CTSD	-0.362240303394273	17.2044059759815	13.25581646728	-1.84712441792815	18.59264596222	13.5851986874879	-1.32639375056043	18.4719704271842	13.8802816299573	-1.15315920366999	18.1333436060459	13.7327862774081
CTSB CTSE	-2.50437918310258	19.1585537749111	14.3733091400557	-3.25116223590392	20.7183583692713	15.4957096734927	-2.65687725622478	20.3797262679522	15.175328762163	-2.78769253307263	20.1415385085832	15.1312871656573
CTSB CTSF	-1.30356145851003	18.5722998844413	13.7758009766745	-1.77775578984322	19.6936580391326	14.0376136876861	-2.01635278215641	19.534807421618	14.7534042994815	-1.63410468022412	19.3656438329457	14.1997116393945
CTSB CTSG	-1.16090266757176	18.0180283019512	13.1925526711504	-3.15311568475539	19.7926912837864	14.5386780271113	-1.86154005158772	19.0165751346687	14.1070842225021	-1.95723995097169	19.1214100178384	14.0490504172041
CTSB CTSH	-0.958346696621015	17.4948658851818	13.0255340574251	-4.69478970130553	20.302591356715	15.262531692754	-2.13004122338725	19.5028488195662	14.7243070614897	-2.1894159452079	19.2337130916587	14.4602582663808
CTSB CTSS	-0.859926564791851	17.8577067756232	13.66356723844	-1.8680089876846	18.6373463682134	14.0456239579077	-1.26263557087203	18.3465866384687	14.2870343707695	-1.38621322500377	18.4322665941592	14.1367998303272
CTSB CTSV	0.466998508793707	12.6881474892641	9.82455547901204	0.148094847408713	14.4435720624916	10.1564531352007	0.267956384801492	14.0793479554452	10.3760623952628	0.311763562569684	13.8664691878537	10.2253704261582
CTSB CTSZ	-1.9684981868741	18.8239310846001	14.3710572708313	-1.81129569506214	18.9263682112341	14.1026281914085	-2.12198906050111	18.9629175134373	14.5013881522308	-2.18735604739169	19.0610800971319	14.5395136455051
CTSB CX3CL1	-0.62874084714629	16.8386196756003	12.0899274321989	-2.010935571988	18.9301076472466	14.1421993472674	-1.30134234079917	18.3455008563774	13.6827936446147	-1.20137740928463	18.1478486585327	13.4234593997428
CTSB CXCL1	-3.38259742099886	19.2649692887947	14.5820072304116	-1.63246302508479	18.4348504793745	13.8313395040355	-2.73259988238361	19.5259498913335	14.7238906307976	-2.51363066108994	19.1616315856897	14.5246873753037
CTSB CXCL10	-1.81939829721406	19.0724616430394	13.8696801401786	-0.641728853914733	17.4420129078577	13.1155933449498	-1.10237002208899	18.6698807649263	13.6588180782459	-1.00816466823029	18.6725585189259	13.7448711632454
CTSB CXCL11	-0.366017614760982	17.085566378337	12.6174896241772	-0.80056450586086	17.8160264301666	12.8079560801012	-0.878531587894527	17.709179437559	13.1057617967218	-0.757911609535873	17.7802188998426	13.162000472814
CTSB CXCL12	-0.539569770341995	16.998579792248	12.4019468778867	-1.14365289787159	18.2165509446306	12.8390524366353	-0.956790821864981	18.1571511234432	13.113181154874	-0.76369621245543	18.0387804393265	13.098326065666
CTSB CXCL13	0.313416976488054	14.0132739794101	9.9423237227979	-0.886612902663332	17.5527891302368	12.8885431871439	-0.235589142600134	16.5285817641248	12.0611711135853	-0.194476750454704	16.0942137942821	11.7104084603795
