protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CXCL11 CXCL12	-0.279191236661738	16.5762645439918	12.1620341854326	-0.848551545021313	17.6905234382607	12.5465214164672	-0.494206650311107	17.4339761718761	12.8969633427316	-0.533550335683976	17.3884281022812	12.7508151153752
CXCL11 CXCL13	0.396895129863133	13.4158219467858	9.78103074313058	-0.514427837850559	16.9923742495797	12.0769950403372	-0.0474904983796789	15.799074129998	11.3439554648685	0.0160975034388507	15.6405375647577	11.2794756769727
CXCL11 CXCL16	-0.918888213557811	16.9775006370164	12.8801723227053	-0.6661145756435	17.8804020831203	12.6708070794642	-0.865587889423488	17.960908334126	13.3435950922354	-0.901347885682208	18.0016606262359	13.3098792679285
CXCL11 CXCL3.CXCL2	-1.36827211447038	18.3217097759042	13.6961337589661	-1.28533925339579	18.6706962687742	13.1218952743393	-1.38517027768785	19.1786980289075	14.092814825257	-1.27657977727485	18.7379503683588	13.7388976726304
CXCL11 CXCL5	-1.09885219460656	18.1130224251972	13.077027886861	-0.982781382191104	18.0911881720127	13.0619400385803	-1.16635348056322	18.7477754628485	13.8078319552934	-1.04621174409928	18.4280927721895	13.465688188827
CXCL11 CXCL6	-0.718474599068106	17.8655954984628	12.8322797397817	-1.26463315180682	18.747420563931	13.5645188557148	-1.27536978306543	18.6239799668913	13.8556481284058	-0.994584656053056	18.4400197148148	13.462334446475
CXCL11 CXCL8	-2.88847452283197	19.517048957834	15.082623898503	-1.10815557450338	18.2534291618491	13.0140218536082	-1.411213217556	19.1797982627928	14.5429072576532	-1.84250295052597	19.0100912843677	14.2386221988166
CXCL11 CXCL9	-0.299111789737559	17.8355949513713	12.6839468780903	-0.529431150289631	17.02789839679	12.3773501555557	-0.285313143385902	17.6881707837802	12.6444005455438	-0.374193224408179	17.6672820937556	12.6982761736865
CXCL11 CYCS	-0.874802271508426	17.4192028966391	13.0954902063961	-1.049731521161	17.4505364480711	12.6290564832274	-1.23230429687244	17.9540669050309	13.434761358233	-1.1495933399031	17.7375756615526	13.1143900392305
CXCL11 CYP3A4	-0.693352720765468	17.1516508947692	12.8708402831793	-1.65537096916568	19.145084026394	13.8313098098117	-1.41163466220966	18.9028349481223	14.0147015702354	-1.34520846003323	18.4514481116162	13.8168009612032
CXCL11 DAPK2	-2.63139032170994	19.2961826977177	14.9426600822512	-1.84376710898918	18.8794152894447	13.6697300766534	-1.63431475076715	19.2670432518028	14.4911308063176	-2.04335563417974	19.2951896719709	14.591026713202
CXCL11 DBNL	-0.679206846298365	17.1047765651867	13.4657691530539	-0.853977221993273	17.8498009753967	12.5980628190651	-0.775122974487894	18.1476075056621	13.6640795660758	-0.814847078023238	17.7665987443277	13.4563900727459
CXCL11 DCN	-0.940830095030086	18.60448997686	13.7758609189482	-2.54094166545037	19.1632138717631	13.2504903738979	-1.50501896266682	19.6581961426012	14.3850624674014	-1.64679327291592	19.1651963086134	13.8248898838852
CXCL11 DCTN2	-0.247770241973681	16.4067580847431	12.3686552407802	-0.228230994852122	16.1597676283781	11.706180733206	-0.332338349955714	16.9728163574113	12.5874028887383	-0.343252922581688	16.5578542011181	12.3887614907975
CXCL11 DCTPP1	-2.79008858024569	19.8984525824382	15.0595496440417	-1.78354172529217	19.2402958822939	14.0978423884352	-1.7198839158082	19.6483922623842	14.7020744661105	-2.08454609184251	19.8173892109111	14.7696542973302
CXCL11 DDC	-0.80542800228541	18.0118405388242	13.1516563960795	-1.14381058923901	18.0870085212357	12.8256926908329	-1.11943613686782	18.7327351506624	13.9112651280621	-1.22528390215832	18.6645903595309	13.6244468424087
CXCL11 DDR1	-1.78336298479576	19.5653925826776	14.9377059328687	-1.44190069977626	19.3873136914002	13.9835032665525	-1.35666268582168	19.8042962063055	14.7224954170047	-1.54025831005595	19.7180381675178	14.6831867578256
CXCL11 DDR2	-1.55035874861735	18.556769183627	14.325977751857	-0.917487068758035	17.5359427687822	12.5785666555112	-1.16367320447273	18.5000173081473	14.1767883709707	-1.50875814875088	18.4233133878063	13.9939434056444
CXCL11 DDX19B	-1.2459445587396	18.0534447577756	13.5528710569697	-1.64157236759626	19.2690103838393	13.5727319000829	-1.43419137349487	19.302283140786	14.1779612008017	-1.5352621520332	18.9996887920885	13.9668056439596
CXCL11 DHH	-2.28416028142961	19.456911817512	14.6209449635076	-1.0754230146477	18.5843489633712	13.0870475269183	-1.54656645742096	19.9154962442218	14.4822366345579	-1.68074282013011	19.1327737245745	14.1480207484056
CXCL11 DIABLO	-1.02592556945493	17.7495704213196	12.7345640955304	-1.10089447004385	18.9375595981116	12.7746359723635	-1.03116921340924	18.9427854300926	13.4597707677194	-1.01186308267866	18.6413871715468	13.003574698907
CXCL11 DKK1	-1.39799324890278	18.4445451249097	14.2477971980716	-1.75183596205309	19.2207578991503	13.765255979692	-1.12931471390928	19.6470079232891	14.3725497110259	-1.50582912600765	19.1183233189117	14.2634197163419
CXCL11 DKK3	0.318007591068141	13.4643579755961	10.5007255504811	-0.500442764465107	16.4563015596534	11.530812915534	0.120182242340704	15.1388374464611	11.4211675988203	-0.0265334622768318	15.3207529892568	11.34531155231
CXCL11 DKK4	0.130425370346725	14.2985999635657	11.2904699452995	0.400980912933161	13.6663653490595	10.0599474727964	0.233875408045011	14.456829678517	11.3494648432078	0.274437378059083	14.1583901332249	11.0669516998988
CXCL11 DKKL1	-1.59446220675874	18.9279810689237	13.3681889076904	-1.24908937599678	17.7923367686647	12.9386742941537	-1.36842373645789	18.3659676248777	13.6019671518756	-1.62248146533392	18.5383028648793	13.4462812119741
CXCL11 DLL1	0.0447821137317226	15.3261623028263	11.1513223883204	-0.35193132219479	16.4653702795469	11.7620351979498	-0.228521442276591	16.4722493206673	11.951016247648	-0.170285693051787	16.0396649720504	11.5908641728731
CXCL11 DLL4	-1.28343704911975	17.5581992628959	13.4611849532956	-0.928495458916671	18.6670403190682	12.9115488599527	-1.28608890055983	18.9985151412261	13.9013375804439	-1.18360973726371	18.3841802501637	13.6179936760346
