protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
CXCL3.CXCL2 CXCL5	-7.61502442464651	20.1020211087945	16.3617244467112	-3.87470481896661	20.2438894683131	15.6122372286809	-6.98170697479286	20.5602731754807	16.2413999696754	-6.7723983881356	20.3345253257173	16.2334034611332
CXCL3.CXCL2 CXCL6	-13.1870108716549	21.1928783918006	16.6293600014486	-7.2326158887705	21.012794193293	15.8287652464334	-10.4294736701887	21.6223424460577	16.5185738966801	-11.2485569252738	21.320747525909	16.6075140416047
CXCL3.CXCL2 CXCL8	-9.91648442624065	20.4269097747933	16.2425749544694	-4.86210349165353	20.067365852255	15.1956927964735	-6.97848546294185	20.574661607268	16.1287613142507	-6.68672905746037	20.4150092458189	15.9575737483645
CXCL3.CXCL2 CXCL9	-1.13792869394307	19.1936035058692	13.3477600253182	-0.329327297306478	16.3445689395532	12.0743302567939	-0.827588438048238	18.6085763335498	13.1975632610988	-0.795638776758555	18.1811161445387	12.9728927347972
CXCL3.CXCL2 CYCS	-1.8000162190486	19.0679776136452	13.9526875472742	-3.41237846690536	19.7450184591695	14.5362042185367	-2.78298476952106	19.901660592651	14.6186280075329	-2.66400921288407	19.8386848632878	14.5191935067911
CXCL3.CXCL2 CYP3A4	-4.3921552399069	19.6263902733503	15.5330580024467	-4.69925442051497	20.5767976393575	15.7336323996975	-7.4940703828154	20.8288784700978	16.315932329982	-6.21785546976934	20.4401086329148	16.0962447663929
CXCL3.CXCL2 DAPK2	-8.71559348651742	21.1655727335137	16.4622156686213	-4.22217354350438	19.9721043977998	14.6300345524572	-11.8349358332411	21.2437225254271	16.5257755746286	-6.91751583447127	20.8550159198782	15.9202641410629
CXCL3.CXCL2 DBNL	-1.58167546899135	18.532093162786	14.853386457828	-1.94818377492002	19.0628705424686	14.8628578141442	-1.74559181521576	19.0243768354474	15.124369007071	-2.53175155848386	19.1116779756771	15.3813224290469
CXCL3.CXCL2 DCN	-9.94186212715331	20.5466644328597	16.1350367344259	-6.09654318737106	21.3186590519107	15.9395888265611	-21.7758719698488	21.6204998620263	17.07127355075	-9.24418530519092	21.3059538134211	16.4079125896891
CXCL3.CXCL2 DCTN2	-0.473711604680713	17.2399796180343	13.8641856511461	-2.01971854112249	18.7618433716024	14.7857140199493	-1.76345893341708	18.6310584865835	14.8967011495021	-1.05814370871928	18.230047460503	14.5342226593061
