protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
DIABLO DKK1	-2.68891194743805	19.5609761325808	15.1789976753366	-3.47260735197093	20.4665375070251	14.5839575085156	-3.62340948414306	20.3428751305548	15.4625192864662	-2.87018021731147	20.2558032316554	15.113299482431
DIABLO DKK3	-0.00844385556307103	14.4107712006816	11.5867645462524	-3.04155610318817	19.156385272576	13.7985969888215	-0.872508283813752	17.4076152191587	13.0837050863014	-1.1382160743502	17.2867555247636	13.1356701388919
DIABLO DKK4	0.303620327486378	13.7492675244749	10.9066972352401	0.324562026172612	13.4874457154065	10.0710969028938	0.285854072300462	14.4156681015712	11.254678272797	0.341963598070966	13.8820287515495	10.792544327749
DIABLO DKKL1	-1.62604814882936	18.8842891380099	13.6457209108864	-4.89834594327482	20.3717438571127	15.2947639441804	-3.7948498191608	20.4742864311556	15.3796120033555	-3.32639424214419	20.2783971257276	15.0512033024346
DIABLO DLL1	-0.719288059973634	17.3783172697575	12.5997074438711	-1.00151662672286	17.8044302012298	12.5432120129928	-0.732872450973792	18.104515435898	13.1012533380367	-0.855792546209442	17.9468947390284	12.8829036585492
DIABLO DLL4	-1.45302598546685	18.3262330334791	14.2251756038431	-11.4019538106611	21.6926141714906	16.1525091581447	-2.93663238108986	20.4617298215967	15.5567668222006	-3.41712033979147	20.6203609317003	15.6675252298685
DIABLO DNAJB1	-3.12785922786788	19.9034873275968	14.9966422918632	-4.30829174123518	20.7121211347035	15.0114871341993	-5.48075809623207	20.8325739117885	15.8562278673416	-4.21345460015028	20.5579127217185	15.4669914073982
DIABLO DNAJC19	-2.26104617650695	19.0103887400342	15.0281639293947	-1.67014143390045	18.7578173181533	13.8958200173086	-3.01292016798249	19.1129215832675	15.257782412571	-2.25788281487685	19.1016068585761	14.7996968022796
DIABLO DPP7	-4.03181593382904	19.9277823903386	14.8137913373576	-12.0320003289699	21.3360117172699	15.6495523210668	-11.3075774330579	21.0612618943338	16.2828549345476	-6.69412457016036	21.0442693583737	15.6982984192515
DIABLO DPT	-0.00824743358418711	15.0064674528671	10.6542447329229	-2.10284352945615	19.3793847039316	14.281077629403	-1.08156600526326	18.2051223435098	13.4742379106849	-0.912942051348967	17.6880929334424	12.8368230359978
DIABLO DSC2	-0.0152731282680552	15.2448949110759	11.5296015273111	-1.16728870184736	18.1284774858046	12.8032731800222	-0.59139287348821	17.1018548043773	12.5557983142046	-0.528214499406786	17.0610050849516	12.4898075966457
