protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
DKK1 DKK3	0.36899410557422	14.0562949101254	10.7771069351698	-1.46659266019352	17.6773513383124	12.8142628600976	-0.106359000197166	16.3087020354562	12.5581820218146	-0.0907657581539809	16.049721605554	12.1023899721222
DKK1 DKK4	0.502878899761825	12.4048067640234	9.68665798483072	0.414420798598776	12.9245895889829	9.83380626255913	0.462205209404032	13.0769760146659	10.0685798063603	0.463426425806034	12.6951813369444	9.9008597425627
DKK1 DKKL1	-1.67059630856601	19.7807965989635	14.4050189997132	-2.39432717015797	19.7498799427065	14.4036554456263	-2.53460001949403	19.9639472924201	15.0263172928167	-2.24174552212547	19.9187591456665	14.6682371618728
DKK1 DLL1	-0.33013105700703	16.6731781379482	12.0890841684862	-0.328240345360221	16.0298328768959	11.3485044567823	-0.309381940881327	16.5928390161206	12.4925964975965	-0.333354184242092	16.438014776007	12.1212218974837
DKK1 DLL4	-3.12878507214835	19.5444470177179	15.8243985593724	-3.83260676126261	20.2507290617943	15.111904810111	-3.4898916845149	20.4366358145551	15.9720254061555	-3.95283937906361	20.38216025542	15.8929005988905
DKK1 DNAJB1	-0.90767190189461	17.7511885991128	13.7682368936746	-4.84567371263941	20.3472810217255	15.073170882759	-2.07606001716765	19.2549660438151	14.8323764585065	-2.37308536055295	19.2421113189084	14.732428472962
DKK1 DNAJC19	-2.40729044501607	19.3101865083258	15.6219910784083	-2.01049853383678	19.3484118054157	14.6171331726285	-3.00077750459663	19.6870844884739	15.7394576384493	-2.32427187037433	19.4939744165176	15.4415758781587
DKK1 DPP7	-1.58717059588806	19.4567779956497	14.3025092094465	-2.8896701486222	19.692048096037	14.3243470714775	-2.87003813640847	19.8435976031873	15.240146975287	-2.46230584942911	19.8059811260557	14.8260444696008
DKK1 DPT	0.210802576657282	14.4362407007597	10.1638014032814	-0.804814308058181	17.6332303012404	13.3353071916217	-0.377358940220665	16.9093496772753	12.4367986735481	-0.245504181097415	16.309487588492	12.0462592697132
DKK1 DSC2	0.379810528101112	13.7678768674019	10.5215455604959	-0.192252424505762	16.356559028077	12.0238181297642	0.065653049164527	15.4919898558226	11.8954953448071	0.0953244533244273	15.3156620232417	11.5712752116704
DKK1 DSC3	-4.55218242169892	20.0596253219127	16.1124157309187	-3.63266083758303	20.4276672789774	14.8453495267767	-4.65139913632896	20.4665812552855	16.0516638514785	-5.40931729479676	20.5875029461127	15.9226850529992
DKK1 DSCAM	-5.61063800737855	20.1849653254522	16.1338876185806	-1.65877879909513	18.8979578977351	14.3175837081681	-3.67486340175131	19.7266348629465	15.5542194437789	-3.43614918749276	19.7754659252028	15.6463595779954
DKK1 DSG1	-7.68458918823102	20.6645525043553	16.5908312694616	-5.29051452223111	20.6503051114765	15.3869440878791	-12.8349536710253	21.3952457356562	17.1453398075048	-6.60527074721347	20.8897265853212	16.4110749669094
DKK1 DUSP3	-1.04458019030092	17.6212850595958	14.5976698525459	-1.55508733553892	17.926984312987	13.572321265037	-1.12281027052301	17.9957614840183	14.1675654863711	-1.43032786903783	18.2818891581997	14.5917530009365
DKK1 DYNLL1	-3.60255736389736	20.2323194460123	15.6922817216992	-2.91668427828967	20.4574254528442	15.0004295887666	-6.26889498122071	20.82736102192	16.5082130923843	-5.4754571520022	20.7004192846773	15.9820022694643
DKK1 DYNLRB1	-0.710822709794702	17.115108309328	12.9879467410754	-4.26301800301118	19.7013744215428	14.3151403512619	-1.79705728198072	19.3239537931577	14.5411176678341	-2.18656331234307	18.8376452300976	14.0962642816999
DKK1 DYRK3	-2.17218466812228	19.2118247352717	15.9681365453285	-2.92422256901473	19.4633442605483	14.2731231083942	-2.62391984072311	19.446747495433	15.776754427778	-3.03874236769054	19.6182091042396	15.522727594703
DKK1 ECE1	-1.56190847638081	18.8660436533441	15.1400187909195	-3.21331986725224	20.5071284029199	15.0003367903095	-5.7520157915902	20.6666428653142	16.3785998824571	-3.25802459290578	20.1479475714548	15.6850565655914
DKK1 ECM1	-1.17445528034129	16.9424272200261	13.9019715947096	-3.85702939616756	19.4480593668617	14.388180061748	-2.60923779758469	18.9549278049709	15.2737611150361	-3.37864324258652	18.8467228997771	14.7797641063865
DKK1 EDA	-3.73939755369462	20.2612341679128	15.1847028818298	-2.70954924733877	19.9006917557065	14.2463016953247	-3.81003300283863	20.3438241202531	15.6554719423636	-3.22550472890614	20.2569612524782	14.9049416819755
DKK1 EDA2R	0.296257065192656	14.3058142775894	10.2467758195023	-0.103886261237772	14.8077257331984	11.3285638247375	0.118495552024936	14.7900389044511	11.1906077035958	0.137932839189108	14.8469941233376	11.1738112600113
DKK1 EDAR	-3.18873572195398	20.9328389891079	16.0802566976427	-4.31077224005739	20.6819414085552	14.8854376534472	-4.91259898609589	20.8903333544612	16.1439650504868	-4.22878734092955	20.9590156167981	15.8271191949931
DKK1 EEF1B2	-2.66808988664432	19.5027905794105	15.1996638177163	-4.51850281803599	20.6080540602343	15.3701459739924	-6.05074802372018	20.793093079017	16.2870562697517	-4.56111635538981	20.4079367828645	15.8348298802235
DKK1 EFEMP1	0.656366266126988	11.1508621645173	8.09816451402816	0.190232035949346	14.3571711898506	10.0745465412799	0.467647185886136	13.0580880134357	9.29788364133207	0.449903698799327	12.9995119570307	9.37410826167883
DKK1 EFNA2	0.0205487801344014	15.9532417550687	12.4047449662004	-1.41097853528352	18.2151875275683	13.9583222453797	-0.572907930463132	17.5082411713114	13.3614441231731	-0.573223856450368	17.2732737487341	13.4696076813123
DKK1 EFNA3	-3.432514853608	19.6162975515266	15.2578675055759	-2.77769897614334	20.0884838962567	15.1447993453981	-6.65887202686249	20.527665993375	16.307365517619	-4.88744608826485	20.2957283132892	15.8346491604104
DKK1 EFNA4	0.328940610022136	13.698115500349	10.2960726364719	-0.620680395537117	17.687632109001	13.075694138836	0.0070433143058638	16.6196107407552	12.0472244279028	-0.00704210210685985	16.0766252571393	11.8504266121101
DKK1 EFNA5	-0.64163899457391	17.6209997683337	12.8359972075329	-1.25039298760268	18.3330316445642	12.9593412199881	-1.07399303887864	18.5009167246387	13.7670355915956	-0.956246411254388	18.0223473579017	13.11402447805
DKK1 EFNB1	-0.0205041428978683	15.2052751326716	11.3143624689292	-0.518707938661836	16.8254266229891	12.3547669702015	-0.167729066283631	16.4962907291971	12.4590416573365	-0.315637988488568	16.3589866692267	12.2572635713012
DKK1 EFNB2	-1.83184403388314	19.7628263445201	14.7962358975745	-2.49803294718336	19.7098565186387	14.4308119313146	-2.63195652148577	20.3670271484522	15.3850031518967	-2.50527620454544	20.0233695986687	14.9046782549592
DKK1 EFNB3	-0.802499772594054	18.2762250081211	13.4703128504903	-1.6821353689765	19.138058523064	13.7912045282061	-1.63767640294429	19.0402312019303	14.8095597065016	-1.18805344834778	19.0443926270175	14.0156817302882
DKK1 EGF	-0.207292174637632	16.1134380792475	12.8436093732368	-1.17456619191657	17.5744970475401	13.3761484040793	-0.848956199191279	17.5393076369681	14.0158159337086	-0.632043123431535	17.1791096894547	13.6328527572149
DKK1 EGFR	-0.106000518726271	16.0091083749776	10.6392336621998	-0.342740977891424	16.3241065192306	11.3401929974339	-0.313144797940108	16.5425002809675	11.4253109244004	-0.217619545282495	16.2881396477117	11.3046079105331
DKK1 EGFR.1	-3.92356823682507	19.9171649743915	16.3256236915882	-3.04491318699267	19.989055102148	14.0720329831425	-3.66295922887738	20.0237988127327	16.0939948027069	-4.00037118386201	20.0302027025853	15.476303581347
DKK1 EHMT2	-4.56550219617615	20.5601199030728	16.1495929081373	-3.42785129468536	20.3804439885194	14.7303437463019	-4.6753231260463	21.0429328199626	16.060793844918	-4.53760682955014	20.7486430756943	15.70946417353
DKK1 EIF4A3	-1.70240993901099	19.1630719664615	15.4931075931368	-2.10878452887807	19.410732714397	14.4621388429251	-2.59532638481307	19.5210085608081	15.8700061815878	-1.98653246838853	19.4008989144135	15.1324037799728
DKK1 EIF4EBP2	-2.66581509198403	19.1260035554024	15.2165350354113	-3.71136997379056	19.6795035122955	14.8766794361923	-3.84335168296423	19.7301910510462	15.8575694052528	-3.95415533456701	19.7437019130054	15.3796475519692
DKK1 EIF4G2	-1.11536011252027	17.2734026227348	13.4200765703301	-2.0561396902259	19.4507153285906	13.9039208506367	-1.39095582735517	18.9487865233685	14.3378871016408	-1.72468935763191	18.8162096619511	14.162396271863
DKK1 EIF4H	-1.20253628869997	17.0602883188713	13.404863504632	-2.37736829622854	19.2206521724226	14.1138616623838	-1.42055585921612	18.5914615716263	14.2783252730495	-1.85174753223765	18.5170203653745	14.2174266748578
DKK1 EIF5	-9.11377192177757	21.0878884425063	16.9894720281974	-3.51973486980934	20.1108921213461	14.3511787738857	-6.34398139085239	20.7284466553097	16.3822270667842	-7.13976497757511	20.7034071811726	16.0097421197817
DKK1 EIF5A	-2.92773766036002	20.229153544782	15.3819377867365	-4.42110605985577	20.3862443512763	14.8074410832204	-5.96775011659938	20.8574259304725	16.1331884389152	-4.54235053336866	20.5171527247476	15.5565674628911
DKK1 ELANE	-0.966925302136564	18.3150997620491	14.1829896130232	-3.58810818603187	19.6192124126598	14.5476265110671	-2.75197789266372	19.4006502382532	15.5886368289011	-2.53314246330413	19.6644092317584	15.0662635892676
DKK1 ENG	-0.873791392693964	17.7357894235232	14.3867700402051	-2.77065381207477	19.3088844326126	14.6879648069498	-2.40155430725223	19.2725059718616	15.2237680685652	-2.22331443834281	18.8975110610454	14.8898668244151
DKK1 ENO1	-0.686712971661113	17.9771247220588	14.1171798207784	-3.70501285333437	20.1682512735883	14.5089724191355	-3.42904440544908	19.7065922737307	15.3743061405648	-1.89068359159854	19.2445130365897	14.6530022074232
DKK1 ENO2	-0.223202876541257	16.2581697195618	12.5761754344589	-1.98624424413147	18.8251614705942	14.3892616446526	-1.25090313033258	18.4029565105997	14.3237450909915	-1.04288211211137	18.0472046513258	13.8529676644049
DKK1 ENPP7	-2.23345710814508	19.9372852808557	15.3920333204617	-3.03401738729846	19.5668099957363	14.8679973292949	-3.40496089773464	20.4208410517576	16.1482677787396	-2.80246915516715	19.87031904878	15.4171346112828
DKK1 ENTPD1	-6.91898621195889	20.8584710856208	16.3507499618446	-2.81754797970989	19.9448390625605	14.1972542614244	-9.47071424237212	20.8907696498266	16.5610553766628	-6.07940866000733	20.7320847457099	15.7641415323383
DKK1 ENTPD3	-5.18829324847658	20.5795992722501	16.5304234777374	-3.15744500369425	20.1494070047917	14.6651651556918	-6.0281443981639	20.7211028159177	16.2875074207642	-5.35759385155448	20.546710817474	15.9410056152695
DKK1 ENTPD5	-4.20747337717355	20.2563939086786	15.8349679831652	-5.47514578853791	20.7390469573473	15.0691463549566	-6.08714515129205	20.7564666552673	16.0618587933256	-5.22874763733526	20.7815224836191	15.8747834138634
DKK1 EPB41	-4.32518920090569	20.6438728668607	16.4407645892977	-2.99969340627974	20.5320135333591	15.1867625566026	-5.83927419950376	20.8691881562009	16.7995005915251	-4.77110066280297	20.8999690628163	16.2568699281724
DKK1 EPHA1	-8.53540816187118	21.4502887223582	16.9466269202328	-1.97246278579721	19.0658235545174	14.284342562133	-4.90401141976464	20.8345540791657	16.2545611789406	-4.95094605626743	20.5165265673405	15.9256254218545
DKK1 EPHA10	-2.9535501502731	19.5751497914574	15.0066893092539	-4.41468476482037	20.6795418564453	15.1472759937511	-4.92223690721058	20.1943982021046	15.804313212975	-4.29568622393036	20.1631715361645	15.4540020464614
DKK1 EPHA2	0.347061286205649	13.7891044939331	10.1575501541129	-0.69588172386782	17.1324496328778	12.223654433825	-0.0223413000272445	15.7165685694051	11.7036964548363	-0.027829043290845	15.6335041858784	11.3719165151709
DKK1 EPHA3	-5.27648018699147	20.0769051323815	16.6317412866644	-2.01863167253493	18.6443665787251	13.8128637545559	-4.3857985954572	19.8031648062086	15.8469697379861	-3.85006256118533	19.6182450813617	15.7329038030621
DKK1 EPHA5	-2.26931128047811	20.897754791681	15.4123019571037	-3.36503624473559	20.7439420430708	15.2599350431289	-3.38943817850605	20.9189656279338	16.1733284412735	-3.09395575686318	20.8897401578845	15.6683125364204
DKK1 EPHB2	0.0990438341238293	15.3903079420759	11.5099384950642	-0.962377079234767	17.9490092426015	13.1054406834109	-0.805390506574315	17.3656465444026	13.5384812124459	-0.327685400551456	17.0203234369831	12.6528336763851
DKK1 EPHB4	-1.60974077248736	19.8045942705938	15.9162404181821	-1.97715935189746	19.3426697276655	14.2935828282564	-1.9161715124219	19.9155430555316	15.6904783861622	-2.16245956423062	20.0276376153613	15.624129064677
DKK1 EPHB6	-0.122982155492994	15.9216464007082	12.4982011699477	-1.52978286437171	19.1919083423303	13.2245414917914	-1.24144772253743	18.5331535728016	13.9404118637068	-0.803271999550915	17.7382727430111	13.1120982298671
DKK1 EPO	-5.26751498477108	20.3665972386574	15.9514969725943	-2.62008879340224	19.6096386013866	14.5051596893715	-5.01859858618936	20.2337335783004	15.9028740159459	-4.2008587207447	20.4816976862505	15.6267855379206
DKK1 EPOR	-3.22066024618387	20.3608853800943	16.2477932998291	-2.54522727238443	20.2627995452575	14.7142296743191	-4.98802665423753	20.5831984701409	16.3029387809618	-2.98922646048121	20.4556473564425	15.634720208322
DKK1 EPS15L1	-1.5497239270859	18.1755824353435	14.6656884746025	-3.11345724793188	20.2453044385238	15.0788879309115	-2.99111171143179	19.6768522292358	15.5217751685362	-3.03980435162442	19.4920507798386	15.3061854195142
DKK1 ERAP1	-6.98243307624101	20.1501134696255	16.2575750522518	-3.1259217490489	19.5827888986451	14.1850706769586	-5.06338668790897	20.8497378859195	16.4412222282274	-5.24954809167725	20.1388126645739	15.6993117682639
DKK1 ERBB2	-4.83610719294901	19.6727390749457	16.1340849431224	-2.97100927410211	20.4095425457264	15.0324602062567	-3.93063800478444	20.4913457005484	16.1276233477169	-4.29034013370257	20.1217020391798	15.8421421593611
DKK1 ERBB3	-2.86950237770192	19.8007392480289	15.0949813625532	-1.98316307956027	19.1439737886087	13.8013257511072	-2.36150587134059	19.4751105654376	14.6944344147439	-2.61058199717629	19.8205917752227	14.7627594957954
DKK1 ERBB4	-4.28839327809093	19.7157673378975	15.9379842526575	-2.93934038371021	19.8545770566089	14.3055387567345	-4.03183980380331	20.3627764753755	15.4881732934766	-4.46859223084755	20.2082108384936	15.6328674523941
DKK1 EREG	-5.16359228946621	19.5944703601286	15.6318342835215	-4.53360993314547	21.066755185991	15.5858522950588	-9.46828669454434	20.836688480921	16.3947953641375	-5.84070256671009	20.6251141595497	15.9865757448146
DKK1 ERP29	-1.32368011482537	18.0774998499826	14.0071493737006	-0.844592532970649	17.5716851381502	12.6600451774133	-1.01415076646955	18.4356894694438	14.4972425504578	-1.17597169671972	17.9365680454993	13.7504094865374
DKK1 ESAM	-0.483297011430121	17.504777746366	13.2744378592498	-0.293136707291973	16.2350169956509	11.776471685399	-0.504618673134467	17.3592658551233	13.4420470328422	-0.520886874933159	17.2925193442219	12.9248879659712
DKK1 ESD	-2.40118158038023	18.9474519020659	14.7354260969266	-4.68731690706624	20.9340417446643	15.4921483216739	-7.0513131369183	20.3864314359309	16.0049001834862	-3.46167716763836	20.0825925978763	15.3161506626722
DKK1 ESM1	-0.582554013203816	17.5259407304036	12.9406746133386	-1.94672872434834	19.5588722676281	13.8631094260226	-1.3759697214814	18.6838051055829	14.1741221919617	-1.20961567212822	18.7685010001645	13.7323710622163
DKK1 ESR1	-2.37202828524764	19.4244365581055	15.9978661539577	-1.83720629927143	18.3870032110512	13.8160650945388	-2.56844260242537	19.1915658291612	15.5487034771472	-2.81749351938323	19.1623176271853	15.2332521865518
DKK1 ETHE1	-1.61349007895003	18.9402737714661	14.9521224839267	-2.047775128468	19.2475463769892	14.1451790906295	-2.61914520233611	19.6020567705715	15.481456619892	-2.25286665556967	19.3345052359844	15.0031070501546
DKK1 F10	0.0319252457366068	15.3987858911566	11.302783927344	-0.85661646399426	17.8275597467465	12.5986025756292	-0.487893330222288	16.9170752682072	12.4340869366173	-0.362782497246221	16.713017050698	12.1447432013087
DKK1 F10.1	-0.0808372489191131	15.1137690106261	11.8272966037054	-0.991291669753238	17.3556971890218	12.4176594348513	-0.396811450776786	16.7363565749868	12.7555271595745	-0.446145765150719	16.4440033491119	12.3866873440762
DKK1 F11	-2.50342496967986	20.4461122277544	15.28403755267	-3.64785009932854	19.7014890638838	14.6923914968391	-3.38122414836447	20.4908196867985	15.5659110507602	-3.45112907200408	20.6160415030104	15.4660487673397
DKK1 F2	-0.678368877930617	17.0155274660499	13.9625542672019	-0.909967975161156	17.1018697461475	12.9413022614679	-0.696760019490477	17.4984033502859	14.2841160282679	-0.903261026559963	17.3153889631247	13.8212423341207
DKK1 F2.1	-0.513774833467454	17.6402360986277	13.0798155448257	-0.882443881123777	17.5930616237317	12.5520065048218	-0.901256515966466	17.870233038255	13.5193990906859	-0.809042654381456	17.7182580794443	13.1838722120562
DKK1 F3	-2.01899810806659	20.0065417433084	15.8584606589654	-2.74256857505183	19.5696460411115	14.2506959242165	-4.19025635346575	20.0520749809943	15.8386382575312	-2.56912282095022	20.0326181225582	15.4527802341644
