protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
DSG1 DUSP3	-1.79468579923683	19.1420851581684	15.0915683858886	-15.9483741295587	21.2784484772991	16.4143356790488	-10.6398253194999	20.7630341540488	16.656111649348	-8.63673380233143	20.8272242636859	16.6137345429604
DSG1 DYNLL1	-13.5757934508741	20.5602014024201	16.555866446746	-40.9244835600092	21.4624150941605	16.4761017279598	-36.1042843537641	21.8029891076828	17.1403255964265	-42.905033472426	21.6821268909765	17.0929181498808
DSG1 DYNLRB1	-4.09535604390148	19.8402441649948	15.9947462361027	-14.4926754864158	20.348937554077	15.8341242388484	-17.1815658979779	21.0022755452753	16.6730899260473	-8.41290522479605	20.4105760119415	16.349086159268
DSG1 DYRK3	-2.97885150343835	19.3844937656148	14.9750466470095	-12.5345213346503	20.924556948318	15.936813950208	-8.72350293692197	20.6389039346746	16.6251758856262	-9.89852124269225	20.4362058519421	16.1774790893425
DSG1 ECE1	-3.07890211680186	19.265362859306	14.7724697851936	-4.46562751836648	21.1287016641242	15.3998767369953	-9.32080299276686	21.1605363951298	16.5064803271658	-6.66816087595538	20.9401835887288	15.9962369394176
DSG1 ECM1	-0.859700464033213	17.031939847494	13.8114371406165	-6.71508494747228	20.1578526421835	16.0779515417809	-2.75600596495713	19.2042686573327	15.6214436047163	-3.38361523606233	19.2807947682341	15.5313811980159
DSG1 EDA	-5.2018228005103	21.1565656780675	15.7187188858656	-7.32177534960797	20.8915123096815	15.6535621750235	-5.86545853924535	21.2806173706802	16.0305731673466	-7.4882661798103	21.1489181954367	16.0093918084184
DSG1 EDA2R	0.368789089058987	13.7565224239797	9.83034039798698	-0.210343246823314	15.8366422712401	12.0948690029376	0.184126579603765	15.1252783577087	11.4048727013591	0.135531787690467	15.0810129454803	11.2487706954132
DSG1 EDAR	-11.2726887840551	20.9003682462335	16.4464286591377	-5.02480578622629	20.430070029509	15.3373736032381	-9.36956488477875	21.229968994866	16.5464134897565	-10.1539204994398	21.1105796708715	16.4350290883066
DSG1 EEF1B2	-4.16350624879192	19.6431059205106	14.8938329215858	-5.08679481914567	20.3212245766939	15.5123090637597	-8.3294252436092	20.9753581796423	16.3810743611328	-6.70904270291929	20.456607402095	15.8344303160807
DSG1 EFEMP1	0.629313629368571	11.3710325348086	8.54830762092972	0.113786302183993	14.7497999862656	10.5859534586686	0.432872518828108	13.3280637607875	9.72363131548589	0.417761671208556	13.3939563388308	9.82122254377986
DSG1 EFNA2	-0.147677899266436	17.5619184919865	12.6902700674187	-2.06273576002918	19.3283592184026	14.284137355538	-1.14264209930555	19.1527713362076	14.0885191555796	-0.79636401652163	18.5120122068981	13.6112288797108
DSG1 EFNA3	-8.41717663152565	21.2152728211007	16.3392585106807	-3.89412850342701	20.0337296992233	15.3328828527705	-6.53437242503927	21.1215290174346	16.3753166665065	-7.10220196791347	20.8650236074316	16.2717056332553
DSG1 EFNA4	0.225723153087001	14.5479262892011	11.1503928604327	-1.27676593968774	19.6327423821009	13.2786012726693	-0.413586090381386	17.7787208739813	12.8500951676164	-0.431164713770078	17.4790834975207	12.5166492500476
DSG1 EFNA5	-1.87739839911574	19.5497034572121	14.1841120601965	-2.24758114833258	19.6757475344463	14.0064793253287	-2.00239004827058	19.9257831752982	14.7608355951843	-2.01254261280161	19.8156922817147	14.5224254830036
DSG1 EFNB1	0.0057347499664423	15.3228052409438	11.8462848775261	-0.303668212359441	16.1720212262136	11.725724300787	-0.264048918018102	16.2856008667824	12.4020276259746	-0.151866917582081	15.9681619007824	12.0138905562848
DSG1 EFNB2	-3.89585062000938	21.1120203935252	15.5861819286251	-12.4046665542999	20.8861793820776	16.1055283180513	-5.67710299385632	21.4505965260245	16.3760319038322	-6.04659740775681	21.1990687864898	16.1082335996154
DSG1 EFNB3	-1.1449991603318	17.9942701171688	13.3792882779473	-3.51698947887583	20.4166233017139	15.154927660809	-2.31941627275727	19.9731556215227	15.0745357806338	-2.14670622366942	19.8143869337411	14.8648450655823
DSG1 EGF	-0.172967812649204	16.3685085957436	12.9571936165015	-3.79376212249933	19.5175996407061	14.6052888219939	-1.85316089018273	18.9446435297258	14.9635361486164	-1.18490997872476	18.4669544689085	14.4463270049693
DSG1 EGFR	-0.0572884086800403	14.8364934283035	10.6446081810483	-0.257242345280511	15.9842583154618	11.0089063273563	-0.218527793297804	15.9022417039756	11.3215896944529	-0.139122880402582	15.5414681902907	11.1196633563007
DSG1 EGFR.1	-5.26928050872207	19.7470319190537	15.8739624568278	-11.3140058776057	21.0969482169009	16.0673720003389	-15.9892378490875	21.3951441661563	16.9899019764614	-10.16702785084	20.9146844931354	16.4853905904812
DSG1 EHMT2	-6.30356088356308	19.9751342491224	15.5995406164374	-4.24312704709238	21.0798945365943	15.2858723634859	-7.47432495227634	21.4599422891259	16.3558885444389	-6.26639741763645	21.3057112004297	16.0912300194355
DSG1 EIF4A3	-2.7600790025378	19.0687532873815	15.2845365869472	-3.71236534354841	19.368405319514	14.858891997741	-2.76186873288781	19.5989366888484	15.6629909276996	-3.83582065868488	19.5495495995892	15.5390037598812
DSG1 EIF4EBP2	-5.8480258609177	19.4342066409795	15.4219974684279	-5.99382604658924	20.2477679653667	15.8745839680348	-6.12394883724783	19.9805412793348	16.0080060270088	-7.56737417955485	20.1576882770465	16.0382152689785
DSG1 EIF4G2	-2.97561263643894	20.2089601469173	15.8957580470008	-17.7263596849368	21.4855093162166	16.5789554567609	-26.9933327888698	21.3885176529452	17.0890842613625	-11.7036557600495	21.1374119249613	16.8887178687267
DSG1 EIF4H	-2.78838308158594	20.0281245247333	15.375840674597	-39.4350824390214	21.7685197173305	16.7214484171499	-14.0342942314832	21.3113873755748	16.9371667352416	-8.62170818148076	21.0717182790419	16.3844239439404
DSG1 EIF5	-15.780528305967	21.5263272889667	16.7061620040336	-8.46893381197864	20.9652478452471	16.1661542046557	-13.5752845577374	21.4960600377592	17.0299725880136	-14.2684668524852	21.5093444086425	16.8097863676425
