protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
EDAR EEF1B2	-5.06343023998382	20.8119875633312	15.6195067406087	-5.84670144444543	21.0851840423202	16.090181457652	-5.6958321759039	21.2289293746617	16.2069022751998	-5.96907970184441	21.2208064670897	16.1422401286082
EDAR EFEMP1	0.541862533923023	11.9994851578353	8.53545218454828	0.0748676355985101	14.9630085322445	10.7705857226685	0.332549910292582	13.6567700907024	9.91127879477585	0.341570340931414	13.6088592621723	9.82320133529122
EDAR EFNA2	-0.565580546865533	17.6034066275801	13.0293199817701	-0.996736604089109	18.2827046405801	13.3984619724717	-0.90203792885656	18.2984945971765	13.60347130339	-0.793892353078584	18.0906520123349	13.3937688542677
EDAR EFNA3	-7.30220957999304	21.1833264197796	16.0007001538492	-4.63475706806847	20.0171471287856	15.2836601386045	-6.22702835077982	20.8605916049853	16.0140509971543	-6.61969691728912	20.8106331539407	15.9699998608356
EDAR EFNA4	0.097020290688872	14.7537198250501	11.1078058236799	-0.76389783725478	17.728323101295	12.4212828768131	-0.296591476322457	16.501832571617	12.2120882893993	-0.293012299212757	16.7229984053574	12.0996151870564
EDAR EFNA5	-1.97896881962778	19.5350080718744	14.0852574446797	-1.76205413297083	19.2443596765728	13.1334863981953	-1.85683980305428	19.4633071171844	14.0778081333786	-2.01750222020765	19.4714187680746	14.1073347180371
EDAR EFNB1	0.00963338299440097	15.3537471661334	11.0991543582378	-1.05437793950573	17.0364773846432	12.5072260908743	-0.238838235127734	16.436636860184	12.2570067100455	-0.348409690988104	16.4889745507926	12.226494063864
EDAR EFNB2	-5.79886208918623	20.8031783000133	15.622369179462	-5.17465653314475	20.7049119504985	15.41190649117	-5.76416094574107	20.8557491345526	15.6441320506431	-5.61962670101187	20.9213082903793	15.7176880539158
EDAR EFNB3	-1.0634463324864	18.5466745731863	13.7291701344645	-1.9208027690547	19.1728341270275	14.2000231299743	-1.89978134429943	19.5342629716411	14.6642323042679	-1.52767268005083	19.1779554008996	14.3687426684169
EDAR EGF	-0.564027228727729	16.4583258475285	12.9530027272976	-3.69763503511414	19.4735853085853	14.6478318200931	-1.74750828739604	18.5527923384348	14.5990149487165	-1.44591654698125	18.5146515082854	14.4104267982776
EDAR EGFR	-0.0902826564127657	15.0125753839559	10.760245571819	-0.53852929736596	16.7910373819956	11.4647430009573	-0.389966755748038	16.4292015982733	11.4949676044266	-0.341632579658926	16.2070532812757	11.3896618297318
EDAR EGFR.1	-7.17465437950693	21.246227971636	16.4749900981074	-4.21441287555999	20.5771374925201	15.2087269609347	-7.01089424433761	21.3066675050521	16.3767760944287	-5.28994939955856	21.0999200924578	16.1076742697995
EDAR EHMT2	-6.68607457559769	20.6521499534388	15.7924167885127	-3.14787272980964	21.4411852391192	15.1656661294565	-5.26585977882565	21.3123964946479	15.8788577901482	-4.71610974476769	21.3131780592523	15.7956044887226
EDAR EIF4A3	-1.69101820140109	19.5854741911673	14.8198254981131	-1.86391920826189	18.6430651217333	14.2109661273137	-2.07193993738804	19.0617405546057	14.9246036298801	-1.99069475374113	19.2263089743811	14.807480687904
EDAR EIF4EBP2	-3.09916335166351	19.720917066939	15.3407828330392	-2.4158952031934	19.388192290718	14.5781338051485	-2.87723204511572	19.7627481235495	15.2367401768018	-3.01970309940498	19.8129352144905	15.3202293170839
EDAR EIF4G2	-3.08835387722945	19.8966700733975	15.773291118351	-6.24790711827831	20.6656463917385	15.872227798951	-5.43176530062853	20.780481334176	16.2442709206308	-7.08191512516055	20.6238729848263	16.2465163769361
EDAR EIF4H	-2.74544376769017	19.2956765239599	14.8319301726367	-7.60185428468157	20.52246759711	15.7814655402348	-4.18482367016748	20.2374702920029	15.7515230417212	-5.37511666970129	20.1069840810117	15.656243404821
EDAR EIF5	-8.26202473280493	21.9781943535506	16.9410661662484	-4.0501562119864	20.6361469082087	15.1300042072579	-6.53815619944655	21.4486436752707	16.4634220674998	-6.14681479048183	21.6076939359736	16.3666819852447
EDAR EIF5A	-5.2449852448869	21.0860347975887	15.4854802503784	-4.00580988671659	20.238124713568	15.2274188850797	-5.11824062659785	20.9522057454631	15.8845702872998	-5.92308431677044	21.0309353754295	15.8674641047514
EDAR ELANE	-1.91620478291341	19.0864161533827	15.2146853640283	-3.14011118423473	19.7620283860589	14.5594120859805	-2.80766280664306	19.8122836846766	15.418275235324	-2.77141411871449	19.7009222150223	15.1721059019456
EDAR ENG	-1.31474157828501	18.13854487224	14.0364371375625	-2.10305484831954	18.7315401801589	14.4208238818369	-1.81302386235963	18.8167666875286	14.864051269008	-1.90104949396767	18.7639985692527	14.6229394589149
EDAR ENO1	-4.0527903563016	20.2365557996269	15.8195616096873	-5.64491696000875	21.4227016886511	15.9273141969395	-7.85491065767335	21.2672210995482	16.5418925232926	-5.82752453567855	20.9178141572574	16.1637144122274
EDAR ENO2	-0.059568827315913	16.8452990827209	12.2645869975503	-5.59383801918929	20.1686961449275	15.456990684513	-1.627173601047	18.9480432872641	14.7671300683177	-1.19452271380412	18.5263328518177	14.1021016319071
EDAR ENPP7	-10.202718562405	22.2691897253639	16.6620497691788	-3.7453823012489	19.7531196348397	14.9163840877629	-7.8402961029862	21.2032661504439	16.268524873886	-6.88153374622546	21.1034378774912	15.9748645187497
EDAR ENTPD1	-14.5011164479222	21.0096721095737	16.3778034245284	-4.72549813112941	19.9822973160285	14.6945966212442	-6.42301219099294	20.5152349262797	15.5869234776646	-10.5052402706889	20.9038494328324	15.9930927877577
EDAR ENTPD3	-8.91989122247942	21.2784036520831	16.1589042725948	-5.84481347743845	20.3628842925002	15.3445803224942	-11.8711098041652	21.2564899852567	16.3715702177609	-11.1663332530384	21.1777715358668	16.3825655426906
EDAR ENTPD5	-4.54706628106481	20.5509041517668	15.5162565302586	-7.60870525226445	20.7468879558422	15.4757508699463	-6.55632629864813	21.2488267299172	16.0370509322343	-6.97836560111725	21.0479523473368	16.0018330513615
EDAR EPB41	-7.44944838295878	21.8446865087983	16.5794690419053	-7.56623964417637	20.769311265115	15.8628812436357	-7.23802088452933	21.6621016826019	16.4333729962001	-8.27314873248155	21.5773041359675	16.5222375210932
EDAR EPHA1	-8.56517044019175	21.4398887447786	16.7375541856015	-5.93655441500281	20.274954505115	15.344775428518	-8.84966763601311	21.425322701953	16.4762636792755	-9.49791237545707	21.0227285687609	16.3485644541839
EDAR EPHA10	-4.21332965280372	19.9802115989073	15.6196152867732	-6.31222263851284	20.3891251143678	15.2358820268393	-5.23208318669545	20.621596868068	15.9173186354761	-6.13963028079607	20.5579475447513	15.8676285552647
EDAR EPHA2	-0.300215716970788	15.9266473191594	11.6363459113286	-0.758709796680341	17.3529979646289	12.1917623199994	-0.599849041979279	16.8976749597828	12.3538542659521	-0.653571681904984	16.8324367770457	12.1715150227496
EDAR EPHA3	-7.99947318030873	20.5593780302988	16.1805131057598	-3.85669365430568	20.2264227154187	15.3512086303892	-5.05000225861944	20.3401348628817	15.8203754285279	-6.76552069727279	20.5043963638795	16.0743696315092
EDAR EPHA5	-9.28542091411125	21.3041915480487	16.2707821918627	-4.96492531007996	20.7007113706275	15.4051825981752	-6.14373415494205	21.0470060118453	16.0045148704316	-6.71328540872817	21.1832096523765	16.1332409853323
EDAR EPHB2	-0.455548300090082	17.1417021534191	13.4176690680448	-1.45733654296186	18.0013120285986	12.9151399253635	-1.16899848382493	18.4186982441827	14.0031377465241	-1.04384088294458	18.1128486752813	13.6510331974966
EDAR EPHB4	-4.66735917002965	21.0663264822395	16.3474314948653	-6.5444409504992	20.6392105910687	15.8035593406759	-5.78539325321797	20.8429878806875	16.4499914339257	-6.13986650526318	21.0523701354353	16.417985220016
EDAR EPHB6	-0.672331414228114	16.7770951443396	12.5382267544174	-3.64310469960277	20.3703889739885	14.7435098051368	-2.01138615808382	19.2587569781551	14.1155677458866	-1.71763248301981	18.9923610691328	14.0232130972827
EDAR EPO	-6.13529334833244	20.841283887071	15.9632254033106	-5.51945742698645	20.4058419438294	15.6386392855659	-8.68941486647885	21.1444139467978	16.3399007080963	-7.04885735734602	20.7617508987347	16.0688547012291
