protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
EFNB3 EGF	-0.217940684342348	16.3291023190303	12.3487269360308	-1.71868867829767	18.1336130099567	13.1414688485092	-1.03016395024667	17.5186845051343	13.5304434346957	-0.865598643283376	17.4531861579079	13.0831287730528
EFNB3 EGFR	0.202497207321407	14.1186150345718	9.70976248727663	-0.121320870445595	15.9781073900077	10.6176764142316	0.046621350470294	15.4579128634236	10.4306824493684	0.0320387075459452	15.2865881325335	10.3831517303132
EFNB3 EGFR.1	-1.59638740164549	19.2118679421457	14.1429700390914	-3.34377356874245	20.2338782628907	14.6269869525233	-2.2958377981901	20.1069613143625	14.6741470778143	-2.61808229238627	19.956222373846	14.6688249150578
EFNB3 EHMT2	-1.12492119711488	18.4112667742251	13.1125134184454	-3.02752345740194	19.9459784050912	14.5835864366922	-1.62839688412111	19.3822692071567	14.1194820762871	-1.72314461105326	19.5322852773719	14.0531559193688
EFNB3 EIF4A3	-0.969557872670924	18.3804237755776	14.0100143566169	-1.73735199157718	18.8586132368482	14.206744703884	-1.25851294382843	18.456438304879	14.4575941302143	-1.26795638336488	18.7230469390142	14.3018515735555
EFNB3 EIF4EBP2	-0.908199333136276	18.1571067460726	13.3701807321346	-3.90847327882015	20.4241061915047	15.1661867663386	-1.84613096291671	19.7874707567479	14.5475426937033	-2.06095467900786	19.5935500465599	14.5224522212277
EFNB3 EIF4G2	-1.58048437773207	19.5097421416793	14.4487411527321	-1.95041372047975	20.2902663062543	14.4337368169716	-2.37364549835984	20.3197698010142	15.0869717465829	-1.97676095386236	20.1329661085944	14.6663065079579
EFNB3 EIF4H	-1.14800559731091	19.1195838607528	13.8243680664941	-2.30372969168715	20.2748842077884	14.4645765910122	-2.09258144866585	20.3799199389907	14.7902476315244	-1.80310843943304	19.7366597811299	14.4116169272008
EFNB3 EIF5	-1.70520798838395	19.105302666777	14.3187678755716	-2.13876937129547	18.8491867183872	13.8571640481505	-2.49185778134112	19.4645045534217	15.005470385594	-1.9279706541638	19.0811239325337	14.3687308934604
EFNB3 EIF5A	-0.801456178437318	18.230142649542	13.5315474955577	-1.38097381044454	19.1762735939387	13.8847910874113	-1.39157912281484	19.2393692415791	14.2195417440701	-1.18891961305612	18.9421432111296	14.0427331454462
EFNB3 ELANE	-0.669917898799447	17.7299168140882	13.6982569884096	-4.31231209265546	20.6218851745351	15.3187851259495	-2.46809941367657	19.7058114514869	15.1905273760696	-1.88441090700428	19.7566881010584	14.8194707501489
EFNB3 ENG	-0.452081024796142	17.4730190598801	13.1433331947458	-3.27920548348584	19.3822542432273	15.0695226121191	-1.32437714880527	18.7937330560777	14.4058445100952	-1.35713701575315	18.8825325644172	14.2986100225897
EFNB3 ENO1	-0.841449792378309	18.298213092305	13.9433107808946	-1.53370959896415	19.955905446743	13.6911180588496	-1.74372397361751	20.1829406873059	15.0142109709977	-1.36218051519828	19.1902211320429	14.0440617962787
EFNB3 ENO2	-0.468806457344453	17.7613212617832	13.0465774562152	-4.35195015234473	21.1597202112197	15.2532230318258	-2.24780671461936	19.8118478124238	14.9918373033422	-1.69174111710381	19.48143867807	14.3291136627052
EFNB3 ENPP7	-1.25102879698957	19.0867596310345	14.0138003016504	-3.60055210463099	19.519324444043	14.5543596174484	-2.10840990835657	19.8201886913265	15.1921231053008	-2.15393126924455	19.4304235993571	14.5383950541752
EFNB3 ENTPD1	-1.09529286324635	18.2569254493255	13.2796871722894	-3.28467591961843	19.0169216049935	14.1429955730567	-2.01895133226437	19.2892717599521	14.5347477649575	-2.04853827334812	19.0774840574175	14.1304712272277
EFNB3 ENTPD3	-1.0245421509632	18.1892224736512	13.5273701409514	-4.45965477154661	19.992949578925	14.9052855225333	-2.26567330890117	19.636941492389	14.7113814566798	-2.3544850643801	19.5894904801281	14.6210722803862
EFNB3 ENTPD5	-0.891805091291799	18.2870471323635	13.5522033940806	-3.15303986306224	20.1626175610284	14.6307664176252	-1.63449769865409	19.8729637899326	14.4226710566317	-1.76952242973841	19.8121183293212	14.3804656548151
EFNB3 EPB41	-1.12392190236889	18.5235076041264	13.510905234935	-4.01513776165534	20.1273507000103	15.0505708826846	-2.29840170777215	19.6655332073129	14.6208551143532	-2.18758536568321	19.66536542341	14.6205985146491
EFNB3 EPHA1	-1.34581742995132	18.9586470425274	13.9653759025003	-3.15545085013829	20.0545274933555	14.6205123796991	-2.29298632193487	20.1859878297607	14.8190741879023	-2.21423817380934	19.8586756519348	14.5939962913066
EFNB3 EPHA10	-1.39442370506385	18.054380780969	13.8998375222186	-3.51321191410835	20.7102000601122	15.2730554754132	-2.37484696684764	19.4696458629321	14.8163454928498	-2.57729118381537	19.6405431723676	14.9096939921837
EFNB3 EPHA2	0.0570429041778758	14.6586439219838	10.4261944468159	-0.550630827436127	16.9891047028674	11.7084032914678	-0.232027644976305	16.0930684569407	11.5943979078083	-0.177861992551425	16.0175076585682	11.3696358652651
EFNB3 EPHA3	-1.65329489631708	19.1450518548819	14.312014120128	-2.16750241366351	19.1607997013207	14.0237259805781	-1.66100605946089	19.4676680986837	14.4226586449183	-1.94420171642935	19.4927200683004	14.4840642017223
EFNB3 EPHA5	-1.21876687733007	19.1284389387595	13.5788994821329	-3.50560988820419	20.6484293628438	15.0919186156762	-2.29705938753353	19.9770385442036	14.655650756087	-2.31671821964017	20.0243556969183	14.5654945427241
EFNB3 EPHB2	-0.163962853506761	16.5647055126572	12.1271061239379	-1.79431582177991	19.1521323466502	13.8537784836946	-0.790912102693956	18.2747692181406	13.5655495210997	-0.808524188254086	17.9083263539716	13.1121162940677
EFNB3 EPHB4	-1.6345698059756	19.0703589095936	14.1471975664438	-3.84124202574859	20.2497065264044	14.5381531897571	-2.41506295551266	19.6303580263909	14.6069900249344	-2.45906377700398	19.8895779131826	14.6221115383786
EFNB3 EPHB6	-0.586214710442001	16.9280798406106	12.5599806079478	-1.81991587531863	20.3746474843754	14.2499346877877	-1.44578749739949	18.8305032547454	13.7094179751727	-1.27983122917724	18.8033485424338	13.6701400707686
EFNB3 EPO	-1.03427907503872	18.0352235114698	13.2931336269624	-3.49681489506498	19.7554637527295	14.7999384150512	-2.37652879014072	19.4721059527913	14.7302496561983	-2.04781051797443	19.3363636457862	14.4552267544796
EFNB3 EPOR	-1.23895936994938	19.1640434201206	13.9725798399792	-1.73597438401941	19.2363789897304	14.0830749699635	-2.13498531439004	19.9480898910531	15.1580093929078	-1.47908006438078	19.3049631404385	14.1634711926646
EFNB3 EPS15L1	-1.1554288582488	18.4665154832058	14.159729543694	-4.51785639752986	20.7299965949069	15.5152183294166	-2.3271873135941	19.9997766598533	15.0906694186663	-2.33994133172971	20.0056132495729	15.1395294649934
EFNB3 ERAP1	-1.5606787609102	18.259486957013	13.8855262352583	-3.49892457186314	20.3134620657368	15.1105042661312	-2.23892522263171	19.9393589741466	15.0329536095011	-2.31086390651893	19.6007001703235	14.7735224990051
EFNB3 ERBB2	-1.51149320622658	18.8936783999665	14.0223187014644	-3.71295991642763	20.7283828695552	15.3758266462992	-2.20272099899631	20.4738269807219	14.9968201064157	-2.4347749420447	20.1197639031549	14.9775868661352
EFNB3 ERBB3	-0.406592077478168	16.7878387159182	11.5619468339712	-0.885907323502191	18.3156166817447	12.585364661413	-0.735948332076703	18.1302945806592	12.8507976141777	-0.66207748172181	17.7617780887894	12.4137879601775
EFNB3 ERBB4	-1.19682132067203	18.4953436241773	13.5790917918543	-2.43261980979907	19.7906976968571	13.7579186608961	-2.06352947785969	19.6793066217894	14.4028702106878	-1.86059651281273	19.6582588248802	14.150618127286
EFNB3 EREG	-1.19536944146581	17.9289936022755	13.5231284654797	-2.19102929910909	19.5700186666148	14.9429411278009	-1.82852721673028	19.4297705246766	14.7553756516015	-1.52792676320807	19.2274527513857	14.5999220911978
EFNB3 ERP29	-0.690902373772373	17.7553386540048	13.1380919022697	-0.949302486827916	18.1660417968049	13.2417307224192	-1.29380070760849	18.622766160067	13.9681352000326	-0.725649088041932	18.14835066465	13.4974660736662
EFNB3 ESAM	-0.471097911055122	16.3090940707478	12.4496049132645	-0.349096713615755	16.4114857787149	11.6477131297734	-0.486813491151629	16.721658054269	12.7933925455533	-0.470661381105723	16.6209469600686	12.3882200784867
EFNB3 ESD	-0.714817592705967	17.6588036532422	13.2208522525315	-4.05951398754778	19.6239516339352	15.0163168495202	-2.08462259670374	19.4695471039784	14.7553781085262	-1.84094000798281	19.0598575537715	14.5631672145337
EFNB3 ESM1	-0.819204367895655	17.7934411417372	13.0802942760337	-3.2929368988618	20.0920108124336	14.4081415580087	-1.56785715421384	18.7797457469196	13.7034095384467	-1.74014736275655	19.0436649967197	13.8708351482696
EFNB3 ESR1	-1.30555506545731	18.7004133119577	13.8451854717591	-2.11236144485646	18.9845470337275	14.6764993458694	-1.98860169832027	19.3773894213181	14.5960445957549	-1.8833967437004	19.1797356175963	14.6504420529279
EFNB3 ETHE1	-0.638090952999885	17.6777343058913	12.8650479842829	-2.74307447295353	19.261522396186	14.6241789524589	-1.21035491321332	18.5029075663079	14.106053409062	-1.40351822537934	18.8927587779355	14.1510866334942
EFNB3 F10	0.205690500571049	14.8391543503465	10.2751501119657	-0.869840169063605	18.026455111472	12.5216557344724	-0.315525369895967	16.8432872506369	11.7458723317408	-0.299778446168703	16.6825032482768	11.5572548143111
EFNB3 F10.1	0.292205863676171	14.2464285265295	10.0829908315139	-1.1828162099675	18.0986412949736	12.8513673457676	-0.450542677925849	16.7565110125968	11.9959513495825	-0.298183677953714	16.3992708377581	11.643235951714
EFNB3 F11	-1.12156094424936	18.1592887440285	12.7344089243579	-2.56088796847737	20.5048913879492	14.125510075551	-1.35474240375348	19.7630820640176	13.792180084433	-1.68912083541298	19.6275581657206	13.8810732381224
EFNB3 F2	-0.393776305296658	17.210330644995	12.9866566502191	-0.370018060484716	16.5314606740805	12.5469422498299	-0.538653254244098	17.2516631015146	13.4683803372643	-0.472311461149813	17.1417987924053	12.984992438908
EFNB3 F2.1	-0.248439496082394	16.4115116338544	11.9888398660012	-1.00973532804093	17.9422857773996	13.1459447601057	-0.536354974979844	18.0104508149106	13.129783027682	-0.609479833849052	17.6242553019855	12.82703674383
EFNB3 F3	-0.896732559173079	17.9919111935969	13.7908092961325	-3.99106826511747	21.1464079890098	15.0947622560001	-2.25890885944916	19.912094273536	14.951197842223	-2.06903789363485	19.782123579384	14.6786271560442
EFNB3 F5	-1.28753133629709	18.9779175630734	14.1908806130827	-4.23713357020304	20.9203327307419	15.3513318123846	-2.48165490233555	20.0457869868622	15.0807670141383	-2.51057339780865	20.1459721772762	14.9662698689774
EFNB3 F7	-1.26591297828567	19.1172542560543	13.92454545764	-3.44960284720791	19.8794417049503	14.9064133643206	-1.5175501121795	19.9393328157032	14.8573673032251	-1.90782881819543	19.7620036399299	14.6474871679474
EFNB3 F9	-1.36102149684172	19.1319579498377	14.2500619385159	-1.04604342151511	18.4051595580781	13.060444577504	-1.16301468162717	19.6107293680345	14.5375987999663	-1.18474018997214	18.8446141938492	13.8417385650965
EFNB3 F9.1	-1.35828626852766	19.0454229207714	14.2887232414896	-0.929541791388028	18.0189003705845	12.6285270700607	-1.02699339781178	19.3570089412371	14.35139957315	-1.05781131083147	18.7931359839118	13.6775318679939
EFNB3 FABP1	-1.74178280004418	19.1437625820419	14.4735649224723	-4.27560635894734	20.4964490981647	15.3201627781826	-2.65802620113889	20.1790319548826	15.0996046313819	-2.74559019765359	20.0963357072371	15.1060750758757
EFNB3 FABP3	-0.123583486079942	15.5669048009494	11.4246626336898	-2.905403457932	19.657362540986	14.5664119068221	-0.88108708728754	18.4166453518187	13.5738867700768	-0.981278617328017	18.0820998450913	13.3774378370149
