protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
EHMT2 EIF4A3	-2.45053008558806	19.4405626974435	15.3881619806768	-1.8077129371674	18.7374511730749	14.319177924835	-1.79883354971425	19.3521000388449	15.1723488243744	-2.39926567507104	19.3748901084168	15.1809808625285
EHMT2 EIF4EBP2	-4.15163823770601	19.4146483207355	15.3067877413774	-2.48857484414685	19.2064151399024	14.3494278571041	-2.32657719736347	19.0547395888222	14.9359229420529	-3.17603691796865	19.5532012028476	15.1442717618993
EHMT2 EIF4G2	-2.43190989215212	20.0624447728752	15.4144422238805	-4.62367664197601	21.5026334477902	15.0463234121525	-6.8156248795677	20.9738075099339	16.2523305163232	-4.11672884609365	21.1377504022886	15.687034875038
EHMT2 EIF4H	-2.08372548537439	19.1821181504448	14.9531437417862	-3.69830111116531	21.6877252677774	15.1245797173333	-4.08212118434928	20.6145540264931	15.8334925538916	-3.32208173286046	20.8469691284275	15.5189302245838
EHMT2 EIF5	-6.48120342755118	21.0701232180079	16.1433745427221	-4.03037099927849	20.7003027359278	14.9270699896983	-7.04343511853804	21.0347632248578	16.1318406196628	-5.16396961417537	21.1037783835051	15.8248454328417
EHMT2 EIF5A	-5.44829384057196	20.6873181679126	15.6511668023482	-2.37115576432066	20.1999799225081	14.18468311783	-4.81047571603127	21.0912780410654	15.8358837302481	-4.03621583995394	20.5465140502709	15.3536429235858
EHMT2 ELANE	-1.40130823680809	18.4766083385976	14.4379577153718	-2.94377396168068	19.9765006811756	14.5574043744144	-1.92154542328327	19.3553503134069	14.7728343182527	-2.48465761463367	19.8249482773406	15.0336450329156
EHMT2 ENG	-0.543080955064905	16.8605313200477	13.4918541049568	-0.998620694798796	18.1800062677846	13.9551740056756	-0.877963413101318	18.1200987111278	14.2406872242603	-0.955646058600431	18.154566680703	14.2417781296188
EHMT2 ENO1	-4.08338759445311	20.0308025170833	15.4632945312053	-3.6104812014545	20.9660559472391	14.7505385251391	-5.03817489925395	20.9597879636979	15.8821685517393	-3.82885229246999	20.7890013382817	15.4023318754205
EHMT2 ENO2	-0.57611919789513	17.8104077988712	13.2526042826104	-4.88707105442153	21.1120722059166	15.4703061550167	-2.32829025544214	19.7646561734072	15.1978643056385	-1.91584081300504	19.8807475807549	14.6670163613317
EHMT2 ENPP7	-7.40584649000128	21.0773201411245	16.546749000109	-2.86614356283547	19.5873770444361	14.538493070141	-4.97636380669397	20.7434734724566	16.094711223937	-5.28551817502836	20.7950923847467	15.9712789078034
