protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
EIF4EBP2 EIF4G2	-2.22120404256944	19.0915194758383	14.9812075280872	-2.61039882233764	19.1983762808146	14.3484571670119	-2.75301742026002	19.8075498281451	15.2223408758581	-2.88598618918392	19.4937375084053	15.0001846972047
EIF4EBP2 EIF4H	-1.07925609218611	18.1101170012528	13.6884053535917	-2.94172897041284	19.8875326274509	14.6661854504063	-2.58698152524749	19.8785624525504	15.0621754724758	-2.26807136089063	19.2232736985597	14.5407545523438
EIF4EBP2 EIF5	-6.25312415103293	20.0336199505362	16.1320774384837	-1.96530176957053	19.0171805100926	14.1583457936473	-4.85523646411148	19.6185265599932	15.8954510730126	-3.53903126663326	19.8239603753807	15.5674306624735
EIF4EBP2 EIF5A	-3.41369782272741	19.9139244097087	15.4205127547072	-2.00992061342609	18.6595021559462	13.9513929645448	-3.66300340341402	19.6273339687049	15.3282867544823	-3.08734689399784	19.5701615200921	15.1857430188303
EIF4EBP2 ELANE	-1.23852031721173	17.642577001069	13.9052934691605	-6.58182488400288	19.9825374139931	15.5586917916065	-2.93744816092913	19.1492995701842	15.1752128557296	-3.17605193239171	19.0905045122496	15.1809304022692
EIF4EBP2 ENG	-0.959375699577581	17.42612835064	14.0194350363166	-3.24247582571387	18.8169378518231	14.7107930472033	-2.47518767656194	18.82607492019	15.1315841057883	-2.14230508312971	18.5934160770444	14.9255373770367
EIF4EBP2 ENO1	-1.37780464802133	18.4031311563641	14.4172328856619	-2.83032502845059	19.1005756227134	14.421392817457	-2.74840996614198	19.30475098259	15.316830840822	-2.45080386223993	18.9448305452564	14.7922011714224
EIF4EBP2 ENO2	-0.30049945604485	16.9192789194832	12.7931631675266	-5.73707234339532	20.3109557267664	15.7127765371346	-1.5796473943153	19.1136607332924	14.7984692597006	-1.53608982434407	18.8208007086826	14.3865263860044
EIF4EBP2 ENPP7	-3.71468743022273	19.6266884593754	15.6113158453341	-4.05278630682024	18.6032759926421	14.7186772994517	-4.5323967438044	19.6017812869706	15.9478357811432	-4.41323139404679	19.5031253642595	15.7453003048378
EIF4EBP2 ENTPD1	-4.85482023697715	19.2015999315938	15.133599222794	-3.72701897271023	18.8279582907817	14.73534149339	-4.39262608454435	19.3446279002969	15.4330055793057	-5.84683516422157	19.5389778744992	15.4988070400986
