protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
EIF4G2 EIF4H	-4.40424693045863	20.0610681993779	15.8633361069206	-9.09854055998986	20.6706708793792	15.8970576248145	-6.98875582737436	20.8250374994124	16.5448513623011	-7.75915844564398	20.6181203975233	16.2258853559166
EIF4G2 EIF5	-4.89804494738295	19.5463825247936	15.9725586583825	-5.65298708258863	20.6099303943356	15.4338221872302	-4.81162129909716	20.3308923656029	16.1803330578306	-5.32225668951931	20.6003565383447	16.0609176103426
EIF4G2 EIF5A	-1.71757771240123	18.4303426008447	14.394643754011	-2.31980509855344	18.8138060144796	14.316003250332	-2.10717291614735	18.7380658948388	14.9814183162195	-2.32656313078512	18.8318881434087	14.6922581643134
EIF4G2 ELANE	-3.25337005453503	19.7343713145226	15.3812475671912	-4.17403965872453	19.897920648432	15.1371044530746	-3.90686176041501	20.0590865597911	15.490048067411	-4.92779178473608	20.4411814798115	15.774907210377
EIF4G2 ENG	-1.1722961637866	17.8403433957784	13.7995795151753	-2.25454785953822	18.5409764778185	13.9092652884877	-1.68238958618477	18.6796017700933	14.8716891962911	-1.80086098763736	18.6064341836848	14.4128841343303
EIF4G2 ENO1	-5.18549991280384	20.4721998793062	16.1631042082986	-4.32495839849033	20.5279727619021	15.3488138216189	-13.9172177527742	21.1642429601087	16.9027559026374	-5.25593506940864	20.6766767814465	15.9900249498052
EIF4G2 ENO2	-0.552461445111518	17.459575771338	12.8463544252305	-5.6409865268572	20.4767034508573	15.6109290323476	-2.17956644339872	19.7699763924448	15.1053876376367	-1.99493961138458	19.2587714054176	14.6707600937057
EIF4G2 ENPP7	-5.1754248029635	20.8972779678073	16.1728925582626	-6.08158692291078	19.7814519176004	15.4587072109797	-10.6975148429542	20.9615148563949	16.6048384096879	-7.99782949097002	20.7975176569521	16.3384608049343
EIF4G2 ENTPD1	-5.28445138399826	20.5569446309644	16.2328804591405	-5.87608655100978	20.6795147936712	15.1449880796633	-9.63123757108298	21.3242619540637	16.4821284761825	-7.96604484024413	20.9793805798477	16.196794516734
EIF4G2 ENTPD3	-6.17587974291108	20.7133516703717	16.4732638159766	-5.07041973457491	20.3289493420656	15.0081366653593	-9.72235319321335	21.2839246449192	16.7596623173517	-7.2020557664331	20.8057770553292	16.0929195308032
EIF4G2 ENTPD5	-1.53204659752439	18.0435459567948	14.1214924045726	-20.8493853129885	20.8414642268843	15.8501292114987	-6.74956834237071	20.3690744417271	15.7616988747084	-5.24208258222507	20.1427462186614	15.7927270790491
EIF4G2 EPB41	-2.72828800525814	19.4617053936262	15.4782998528997	-3.74806955490836	20.1190811162116	15.0239521130196	-4.17767220845415	20.1398228954629	15.8403772386178	-4.55458233973384	20.1332609431461	15.7398106283139
EIF4G2 EPHA1	-5.74467131346142	20.5833588091901	16.3329836016623	-10.056551594624	20.6457525613263	15.5667926163408	-13.8767150206723	21.534259626598	16.834327858125	-11.7610006046369	21.041724208343	16.4670538488129
EIF4G2 EPHA10	-3.78221788751402	19.6501946685517	15.4813049894287	-9.51815913991192	20.9771100474175	15.4397831234901	-8.54872318009376	20.543163650503	16.1387980344714	-7.11272261944695	20.8338852967147	16.0570344036669
EIF4G2 EPHA2	-0.0600802070581239	15.6346458357797	11.20544218651	-0.720932781899534	16.9199902563413	11.8060170542927	-0.536563167655131	16.6286753479872	12.1339517007783	-0.442795440134694	16.4997253814906	11.8681212293697
EIF4G2 EPHA3	-5.76737638404348	20.4020167504675	16.647787416752	-5.88724996893872	19.7731592366889	15.2087011751595	-7.27481245017521	20.3963187511845	16.2309549338169	-9.08945694215355	20.3932042728552	16.3133163833426
EIF4G2 EPHA5	-4.04120550989929	21.0226571386508	16.0080578988673	-8.3745132827278	21.0803399305147	16.0076614007346	-11.3473755675956	21.5363496726898	16.733178631072	-7.46972672128691	21.0837267546756	16.3336297831008
EIF4G2 EPHB2	-0.518188706662322	17.0727258753028	13.1145290883506	-1.85357249308117	18.8538245976664	14.0571223675279	-1.42265214716831	19.1281577945256	14.4787216796813	-1.27252590376249	18.396034921156	13.9816090943152
EIF4G2 EPHB4	-3.6966439662185	20.5946477853452	16.2164806672986	-6.20924901666663	20.2219032341423	15.4738006860525	-8.75560485224379	21.0382776306656	16.7932835873191	-6.96820699486475	20.7968320405408	16.2999355499211
EIF4G2 EPHB6	-0.594095911969875	17.2210559298716	12.7084172077625	-2.87486956375619	20.1797564639454	14.1118722316667	-1.9991823364933	19.8122451283283	14.3333645418098	-1.86823507026202	19.2767639414054	14.0418795154211
EIF4G2 EPO	-5.06755801723346	20.6551248815843	15.6543808046518	-5.96619358727743	20.292748684085	15.5666073620799	-7.62077283788104	21.1157474478365	16.3635634842987	-6.80641170807569	20.668419474363	15.9444863138711
EIF4G2 EPOR	-3.46565565154942	20.1186841181128	16.1222801988224	-1.7840925480989	18.9642899065238	13.6499576899855	-3.87258738235622	20.0021418495952	15.8852759404469	-2.88741786794747	19.7467318560903	15.1855854498097
EIF4G2 EPS15L1	-4.198077914458	20.4140894346823	16.2047421031293	-13.3843163240599	21.5757627150745	16.2913461132939	-7.49628079357272	21.1988331324446	16.4849669484385	-8.76266852872453	21.197005540766	16.5679396338414
EIF4G2 ERAP1	-2.58340562843455	20.532502906932	15.5068018139826	-12.6549707131329	20.5738741214604	15.7859888658744	-8.66493294757081	21.0094499992044	16.3652616877995	-6.05695537539692	20.8587890853823	16.1200418666437
EIF4G2 ERBB2	-4.73985610272442	20.7574136607836	16.5713925035378	-15.5388902949112	21.0971218532309	16.2005998751938	-16.2369342753491	21.2947369421497	17.0598689411579	-12.8529031969617	21.2185613758216	16.8079719503719
EIF4G2 ERBB3	-0.125818144945168	15.8608722998884	11.6863476345079	-2.2325491515223	19.0759069308147	13.8283592422421	-1.23154839887794	18.2842406564293	13.519126318914	-1.31221227970344	18.0675126009219	13.4880882821541
EIF4G2 ERBB4	-4.67885873992475	20.4246729552974	16.2795264157664	-5.78635655774575	20.8377866369983	14.9935074748918	-12.5453112686968	21.3577788767015	16.6475151896343	-6.53822715655802	20.9944100002833	16.2258279541173
EIF4G2 EREG	-5.32154874552413	20.1190342564067	16.0104967228556	-2.35908098924707	19.4588168088351	14.6876783405143	-3.81150988599864	20.2630921540572	15.9830317156344	-4.37235291321147	20.1446821208974	15.7454928239851
EIF4G2 ERP29	-1.75546467890178	18.4268543307647	14.2059167436959	-0.872281416870716	17.4311376010708	13.1005394882563	-2.11215691660484	19.0971697842048	14.8510995695982	-1.71457157343483	18.3785429796157	14.3004625612375
EIF4G2 ESAM	-0.280918495372692	16.4453581849456	12.6765445600584	-0.141002083080238	15.3850751249646	11.257523808024	-0.191171295286222	16.5021759113091	12.4138323893572	-0.395286668356557	16.572564181465	12.7021917510655
EIF4G2 ESD	-1.74242419126421	18.7962389143107	14.808913603213	-19.8266145753851	21.3235508142189	16.3928112937111	-6.82441256193954	21.0771681819739	16.3289179835647	-5.26213496635312	20.4756575735378	16.0876220465523
EIF4G2 ESM1	-1.12916272598317	18.224531139954	13.5390143328938	-2.94004900960978	20.0441516535452	14.2386884549115	-2.38876981724757	19.5974280721219	14.5286437810324	-1.88300621059684	19.3276261183521	14.2156787814676
EIF4G2 ESR1	-4.88111664787497	20.2383563542258	15.8876900024257	-1.91705808151563	18.7013659066669	14.0919399584629	-4.31197270640897	19.7566338666036	15.7810473529677	-3.31958182188666	19.796634139111	15.5158273420056
EIF4G2 ETHE1	-2.52504298401448	18.9697781664665	15.0062716796318	-4.3658671928701	18.7824802239157	14.0962609130654	-4.38690280979232	19.4442527940401	15.268963891844	-4.79471783551871	19.6813969396986	15.3068206220873
EIF4G2 F10	0.0938411258521389	14.9791781584369	11.1427022970527	-0.935195432930627	17.5559966166356	12.5245476103559	-0.255927882798026	16.6218120112421	12.1758298815409	-0.374041748575636	16.6606539860036	12.1415125124002
EIF4G2 F10.1	-0.0505423930053464	15.4301881703093	11.9272949726527	-1.13126663580638	17.5879932353534	12.7300006496695	-0.736529121786862	17.0962021068443	12.861131961474	-0.604094914637461	16.9084814393805	12.6667718860399
EIF4G2 F11	-2.89191575635207	20.5023674524953	15.3237589158951	-6.28296091289849	20.7784388376132	15.6979175681471	-5.53128493030117	20.9824249188975	16.0199157343779	-5.23019421999264	21.0821704018853	16.1956476182264
EIF4G2 F2	-1.22556811568459	19.3346858912104	15.0632493469046	-0.872693746477269	16.4925662941505	12.8108544752013	-0.938861233136685	17.8724575294539	14.2562440527183	-1.13398867629433	18.1800803640537	14.2308307667967
EIF4G2 F2.1	-0.676855357396996	17.1816984125003	13.2757201540761	-1.33228250712635	18.4435573102161	13.3965813628197	-1.26662592591787	18.6308170867937	14.3850660821397	-0.954320071726509	18.1012059623051	13.7851718425973
EIF4G2 F3	-1.24336816267194	19.6842157013399	14.5312225971109	-11.6202609533229	21.3249786457204	15.6794616486761	-7.65002195195639	21.1502986539208	16.2394177709389	-3.73162113455876	20.7529359583922	15.6084867550991
EIF4G2 F5	-6.91698490884299	20.4980701927648	16.4705817452777	-12.0425522043455	20.6216429414564	15.4131806101245	-10.8511988318079	21.3939027310437	16.6204774130478	-15.3303261615351	21.1323354648788	16.4892980177831
EIF4G2 F7	-3.69671767393679	20.312585482156	16.2275844204711	-6.2034489044898	20.0299273343286	15.3293254079969	-7.74899552375995	20.9291728303878	16.5584592042497	-6.04782254972031	20.5672633105458	16.2884257667622
EIF4G2 F9	-4.646831999651	20.1963657628886	15.9710280529327	-1.21239212129446	18.25336777739	12.4967692676712	-3.33801278921198	20.0498791371863	15.1854904582335	-3.15951133103964	19.6101481450828	14.7543534060984
EIF4G2 F9.1	-3.17137452649602	19.7955782318262	15.6913618472851	-1.24537253022036	18.0461980735112	12.4787169341737	-2.6785827016592	19.7004406816365	14.9731521326645	-2.32623582149719	19.3033343587352	14.515892998117
EIF4G2 FABP1	-4.67701630503521	20.1494897839643	15.7403170892281	-26.2871864356785	21.1540942319299	16.2445091309844	-8.87450436665631	21.2591784162275	16.6379861259406	-14.0335193799271	21.0823760904804	16.5309570072258
EIF4G2 FABP3	-0.207376332615032	16.5736359345925	11.5755776195746	-3.78868340600539	18.8151400308427	14.1751209523791	-1.7494821401024	18.8793230489208	14.2915083102141	-1.47457214169865	18.5077918026344	13.5313646858431
EIF4G2 FABP5	-3.52013364096211	19.4083863615508	15.2393777800093	-5.29875713103597	20.3945148212538	15.0962935233566	-7.32119248128254	20.5151565898033	15.913133727274	-4.6216486993171	20.2941576497868	15.6067912753167
EIF4G2 FAM107A	-6.8936790122647	20.8554778592705	16.2135737296601	-3.15634202715482	19.7132913550419	14.7174280498032	-6.351052014099	20.6696600474026	16.2538376807608	-5.43809751578181	20.5610924523435	15.8343038146261
EIF4G2 FAM107B	-1.71116362312121	18.4167938755354	14.2816596515088	-3.55303412552546	19.1640374019629	14.7551585736385	-2.16855714428253	19.3906105822804	15.2393390215295	-2.97451519880382	19.178845980482	15.0533944290778
EIF4G2 FAM3B	-2.72741839624976	19.4295099849799	15.2213585808512	-8.41620378756182	20.9339130670138	15.8637015263673	-8.68081163956645	20.8738607367467	16.4754921575667	-6.7386523949083	20.6194786973465	16.0333469662942
EIF4G2 FAM3D	-2.90309854801072	20.1282792195711	15.2369054652284	-22.6703096905357	21.089082705671	16.2737010913892	-12.3860755623685	21.2043782506265	16.7462459840407	-7.58084821368618	21.0288901319261	16.2654644934173
EIF4G2 FAP	-0.858115583986967	17.3168266256426	13.2224596364503	-1.27631987912212	17.8958795057912	13.0873578482294	-0.880462482169828	18.148678529626	14.089922669638	-1.06919157886018	18.1935400831159	13.9092244813509
EIF4G2 FAS	-0.931928313031572	18.7738322214116	15.1600893846362	-1.20588129834271	17.4273130929276	13.4083171675865	-1.44914769973215	18.8868594615467	14.879113606572	-1.1615440248205	18.3253952355131	14.4956521514877
