protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ENPP7 ENTPD1	-5.98207657847562	20.6703419220781	15.8091022643047	-2.95481209695818	19.5158339697776	14.0823428458517	-3.74552354185465	20.4524570268071	15.5788563833304	-5.6519994850721	20.3932795736209	15.3641263024891
ENPP7 ENTPD3	-17.5545553940154	21.397407146973	16.741544508426	-10.2167565294449	20.0691204306975	15.6350889228086	-17.9627444072698	20.9003564236289	16.7998815927478	-14.890038940654	20.9784956306411	16.5926927451051
ENPP7 ENTPD5	-12.1723569116841	20.9471317702606	16.2747691750403	-4.19529424868491	20.2948068825222	15.237035918545	-7.95554120077801	20.7410058815889	16.209769597835	-11.0015233779305	20.9165718768813	16.2757624755872
ENPP7 EPB41	-8.52799908766957	20.8484622839013	16.5119713756003	-2.8126203541279	19.2284509160112	14.7412366633949	-3.95171883730357	20.3993485730789	15.9176646378229	-5.49144820097294	20.3895738414198	15.9365422255978
ENPP7 EPHA1	-16.3488211058682	21.2507736408956	16.8585172297929	-2.39283895164255	19.3830133071884	14.7196706780237	-7.11799417952185	20.7937043290256	16.4327172084361	-6.56800524055108	20.6533249192893	16.2268479421997
ENPP7 EPHA10	-3.7594840599643	19.5486053339328	15.2907655001749	-3.07602393881333	19.6577565215516	14.6599102338924	-4.60203000934964	20.3469041556695	15.9916341577534	-4.77742159190294	20.0878052984393	15.5433303849609
ENPP7 EPHA2	-0.321717550338683	15.9850428835254	11.5938248432189	-0.428840549161968	17.0075892222444	11.99181052971	-0.356978454232655	16.9036682401706	12.2881532334448	-0.534911006136051	16.8946750568213	12.2159431190309
ENPP7 EPHA3	-11.6136059122474	21.1460781039675	16.8515620773848	-4.16818325540754	19.4177535770489	14.9521794884227	-7.92641566496432	20.3525949611022	16.4358057075223	-9.04938307100545	20.5879043562979	16.2832575449177
ENPP7 EPHA5	-10.6262017400217	21.9619071048176	16.7233251378291	-6.68026843880194	19.8470738653006	15.2387469342539	-10.9858728248878	20.845620634025	16.5017416589078	-11.6521001747167	21.2424170049738	16.3544120635365
ENPP7 EPHB2	-1.29046563714713	17.8862511151008	14.0385992436464	-1.58774150656975	18.0167535876618	13.3728412646114	-1.41437183576208	19.0503163218519	14.7217734061397	-1.46488842911615	18.3941627916081	14.058919904145
ENPP7 EPHB4	-6.27820262485171	20.93341346334	16.5865670364801	-2.16963099083951	18.2879197367454	13.8795949418323	-5.08045545950086	20.4891316104434	16.5603094395814	-5.73582864294279	20.127051424009	15.8680594481764
ENPP7 EPHB6	-0.698056624202385	17.3821742502829	13.2131202719817	-2.01342812964619	19.2809487135294	14.4735763780702	-1.72427652103158	18.8423079418748	14.3103845021469	-1.42002225707441	18.6107340626674	14.2213063055082
ENPP7 EPO	-9.65181879692494	21.2685342462165	16.3812691638515	-3.41223717720234	19.3489682060296	14.8299528855268	-8.78200709182128	20.9429966044928	16.5648245510216	-8.23735917429558	20.6585974422831	16.0336164957148
ENPP7 EPOR	-9.86780338999731	21.1987028311759	16.5530635898431	-1.93085307572255	18.3390786097489	14.0020642185786	-4.95677389047583	19.9868042377892	16.1480781867925	-5.13846918592303	20.110700075965	15.7420229621737
ENPP7 EPS15L1	-9.59990244024511	20.6527589102815	16.3856270490057	-5.01341859923602	20.0990833582465	15.6907058161535	-7.70673444174324	20.6428971490528	16.5033343634113	-9.18124789627523	20.5747360137745	16.3281206535225
ENPP7 ERAP1	-10.6201517570801	21.5761649907975	16.8239050491438	-5.03110650432647	20.0870564803892	15.3688090819697	-9.56275392816625	21.1531921416941	16.8778299248092	-9.37712117749173	21.0623233236886	16.3880507091976
ENPP7 ERBB2	-14.2125949701488	20.9969733187571	16.9509124175691	-12.426672626404	20.6127391819485	16.1827566929936	-29.6924709905557	21.3890580532463	17.2657858880204	-16.9479190721376	21.1318997016739	16.8820053829038
ENPP7 ERBB3	-1.99540379494633	18.4252577486761	14.4505519152295	-0.735772903728427	17.3459099574839	12.4405048056174	-1.24253198250563	18.2974729425116	13.6406281959492	-1.54401373761441	18.3854981419793	13.8133203675076
ENPP7 ERBB4	-4.63336002093761	19.9912160137475	15.4394822155544	-3.35800075496923	20.014685988628	14.5148091737495	-5.87565225377928	20.6806650881049	15.9907397875896	-4.5259733774395	20.3863950167353	15.4433752316132
ENPP7 EREG	-7.79624012744535	20.4419187916384	16.0803977735092	-2.47446565510561	18.6766965047753	14.4888267498375	-7.8787261828506	20.4471760808369	16.6052684752502	-5.64615282275317	19.9623889268046	15.7910650528566
ENPP7 ERP29	-3.11239140558461	19.7009107000359	15.026299926272	-0.656695514660603	17.2363487080893	12.4948486765748	-2.09036229536745	19.1759268099872	14.8147147759895	-1.99857568968953	18.853361288529	14.2881246453552
ENPP7 ESAM	-0.77374332375208	17.5629691335564	13.9466912688673	-0.0346240754051652	15.310079821146	11.3569880266678	-0.466072391996049	17.2841028346605	13.4418002267618	-0.483194835701512	16.8928000982221	13.2242261342935
ENPP7 ESD	-3.40025106751941	19.5168456266126	15.3397522790925	-10.1481419217414	20.7191030292271	15.9155569955435	-6.75236374957256	20.4953833883082	16.0652494800478	-5.55163774467768	20.4223125018733	15.9359207229096
ENPP7 ESM1	-1.00593478597304	17.83376937136	13.772296214606	-2.20630413480774	19.3719836602249	14.1081256131487	-1.69973700820919	18.9268680001389	14.206637582503	-1.73156257171133	18.8903711490616	14.1963515304141
ENPP7 ESR1	-5.52693716146409	20.1353966682484	16.1606130205762	-0.956351921950902	17.1204420670949	13.1583229954724	-2.97167890591867	19.5614724310859	15.6436401959857	-3.70331819719732	19.2164665066345	15.2485880723088
ENPP7 ETHE1	-2.88406602415378	19.2242214436744	15.1534085286291	-5.28273406656772	19.5077866894822	15.1283710804355	-3.96290843443091	19.6227552840625	15.581320533999	-4.76602237872295	19.7789767414738	15.6712651609189
ENPP7 F10	-0.0230853577263523	15.7572839923582	11.6129785334564	-0.464943731636488	16.476982629353	11.7891699919883	-0.270117990295115	16.4277506989393	11.957828459186	-0.28132469147437	16.2837350501226	11.8997283928944
ENPP7 F10.1	-0.216164246448804	15.9735276026445	12.6403701899342	-0.39930727700377	16.0468202637271	11.4907284797212	-0.217545244390518	16.349471933694	12.2385261915369	-0.283433043479959	16.1893512938434	12.2219791189704
ENPP7 F11	-9.6983654838949	21.295720640267	16.4023379690577	-2.59753256924611	19.3211163562388	14.5996956072157	-9.06451419681071	20.6537233557089	16.565613898215	-8.12048790860468	20.7748929991066	16.2084848198588
ENPP7 F2	-2.00951849832566	18.5426029963795	14.868335239019	-0.228304377601277	15.5607142975195	12.3817072992576	-0.98606330659626	17.7702044360136	14.5238925287594	-1.02456078784549	17.4378036063992	13.9449148271553
ENPP7 F2.1	-0.839263490722429	17.3504356138257	13.3979737430026	-0.262590042088723	16.1191075168136	12.3262850718529	-0.747464203957328	17.6815239355768	13.9166949487514	-0.632285158391846	17.0595177242961	13.3802131246274
ENPP7 F3	-4.24063855326048	20.3039497973051	16.1204592385586	-2.74258421618431	19.4853648265105	14.1947304979506	-5.69150712388327	20.5267676828702	16.2328377737163	-4.66993479039709	20.2803628819215	15.6705543269685
ENPP7 F5	-19.205845973333	21.8423437871458	17.029414940956	-3.12725822630073	19.068714547469	14.7093898783732	-6.97204361287782	20.7380796374109	16.4238805284352	-8.31094810139186	20.7980786763192	16.1804187130612
